0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21531 15243	9	 * 	309.43	DCR|4VULN|3DUR|2ASPD|1DMG|1TLV	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9TLV|aDMG
2	21561 15224	10	 * 	308.99	DCR|5VULN|3DUR|2DMG	1367aVULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9MBVNT
3	21561 15232	10	   	305.80	DCR|4VULN|3DUR|2DMG|1TLV	1367VULN|29BEXP|47DMG|567DUR|67BPWR|8RCR|aTLV
4	21561 15321	8	   	303.20	DCR|4VULN|3DUR|2DMG|1CDMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8LHND|9RCR|aCDMG
5	21561 15321	7	   	303.20	DCR|4VULN|3DUR|2DMG|1CDMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8LWND|9RCR|aCDMG
6	21561 15211	9	   	303.10	DCR|4VULN|3DUR|2DMG|1CDMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9DUST|aCDMG
7	21561 15221	9	   	303.10	DCR|4VULN|3DUR|2DMG|1CDMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9MBVNT|aCDMG
8	22316 43511	7	 * 	301.34	DCR|3VULN|3DUR|3CDMG|1DMG|1TLV	19aVULN|2RPLT|39aCDMG|4TLV|5AART|6DMG|7RCR|89aDUR|9aBPWR
9	21561 15212	10	   	299.11	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9DUST|aAART
10	21561 15222	10	   	299.11	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9MBVNT|aAART
11	21531 15242	9	   	299.02	DCR|4VULN|3DUR|2ASPD|1TLV	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9TLV|aAART
12	21561 15211	8	   	297.86	DCR|4VULN|3DUR|2DMG	1367VULN|2aBEXP|47DMG|567DUR|67BPWR|8RCR|9LIT
13	21561 15213	8	   	297.86	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9LIT|aLHND
