0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22224 22462	6	 * 	282.74	DCR|3VULN|3DMG|2DUR|1CDMG|1SELL	1SELL|29DUR|359DMG|45CGEN|59BPWR|6RCR|7CDMG|89aVULN
2	22332 14888	1	 * 	280.66	DCR|4VULN|3DMG|2TLV|1SELL	1SELL|27aDMG|3MBVNT|457aVULN|6LEGI|7aBPWR|8aTLV|9RCR
3	43622 61333	4	 * 	277.98	DCR|5VULN|3ASPD|1DMG	19aERES|2RCVC|3DMG|4569aVULN|79aASPD|8RCR|9aBPWR
4	46222 61333	4	   	277.98	DCR|5VULN|3ASPD|1DMG	19aERES|2DMG|3DMSP|4569aVULN|79aASPD|8RCR|9aBPWR
5	32651 36321	8	 * 	276.70	ACR|5VULN|3DUR|2DMG	1RCR|2RMIN|34aDUR|5679aVULN|8aDMG|aBPWR
6	43621 61333	4	 * 	276.02	DCR|4VULN|2DMG|3ASPD	19aERES|2RCVC|35DMG|469aVULN|79aASPD|8RCR|9aBPWR
7	46221 61333	4	   	276.02	DCR|4VULN|2DMG|3ASPD	19aERES|25DMG|3DMSP|469aVULN|79aASPD|8RCR|9aBPWR
8	31346 21412	4	 * 	274.83	ACR|3VULN|3DMG|3DUR|1TLV	1RCR|2TLV|39aDUR|4LIT|5MLV|69aDMG|7ERES|89aVULN|9aBPWR
9	43314 61333	1	 * 	271.95	DCR|4VULN|3DMG|1ASPD	19aERES|2ASPD|39aDMG|4RCVC|5DMSP|679aVULN|8RCR|9aBPWR
10	43316 61333	1	   	271.95	DCR|4VULN|3DMG|1ASPD	19aERES|2ASPD|39aDMG|45RCVC|679aVULN|8RCR|9aBPWR
11	43334 61333	1	   	271.95	DCR|4VULN|3DMG|1ASPD	19aERES|2ASPD|39aDMG|45DMSP|679aVULN|8RCR|9aBPWR
12	43336 61333	1	   	271.95	DCR|4VULN|3DMG|1ASPD	19aERES|2ASPD|39aDMG|4DMSP|5RCVC|679aVULN|8RCR|9aBPWR
13	31361 34431	6	 * 	270.11	ACR|5VULN|3DUR|3TLV|1ASPD	1RCR|279TLV|379DUR|4DMSP|56789VULN|79BPWR|aASPD
14	22223 22336	7	 * 	269.59	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|2aDUR|3aDMG|4CGEN|5RMIN|6RCR|7TLV|89aVULN|aBPWR
15	22223 22636	8	 * 	269.59	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|2aDUR|3aDMG|4CGEN|5RMIN|6RCR|7TLV|89aVULN|aBPWR
16	22223 22656	9	 * 	269.59	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|2aDUR|3aDMG|4CGEN|5RMIN|6RCR|7TLV|89aVULN|aBPWR
17	22223 24336	6	 * 	269.59	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|2aDUR|3aDMG|4CGEN|5RMIN|6RCR|7TLV|89aVULN|aBPWR
18	54111 13362	3	 * 	269.30	DCR|2VULN|2DMG|2DUR|1CDMG|1ASPD|1AART	1FEWX|2aDUR|3CDMG|4LIT|5aDMG|6AART|7RCR|8ASPD|9aVULN|aBPWR
19	43162 61333	4	 * 	269.04	DCR|3VULN|3DMG|3ASPD	19aERES|2RCVC|356VULN|49aDMG|79aASPD|8RCR|9aBPWR
20	22326 25438	1	 * 	265.01	DCR|4VULN|2DMG|2TLV|1SELL	1SELL|2aDMG|3MBVNT|4FEWX|569aVULN|7aTLV|8RCR|aBPWR
21	22334 35438	1	 * 	264.91	DCR|4VULN|2DMG|3TLV|1SELL	1SELL|2aDMG|3MBVNT|469aVULN|56aTLV|6aBPWR|7LEGI|8RCR
22	22332 15438	1	 * 	264.91	DCR|4VULN|2DMG|2TLV|1SELL	1SELL|2aDMG|3MBVNT|459aVULN|6LEGI|7aTLV|8RCR|aBPWR
23	22346 25438	1	 * 	264.91	DCR|4VULN|2DMG|2TLV|1SELL	1SELL|2aDMG|3MBVNT|4DUST|569aVULN|7aTLV|8RCR|aBPWR
24	32552 36321	8	   	263.47	ACR|5VULN|2DMG|2DUR	1RCR|2RMIN|3679aVULN|4aDUR|5RCVC|8aDMG|aBPWR
25	31322 31452	9	 * 	262.89	ACR|3VULN|3DUR|2DMG|2TLV	1RCR|27TLV|37aDUR|4ERES|5MLV|67aVULN|7aBPWR|8LIT|9aDMG
26	31351 36322	8	   	261.93	ACR|5VULN|2DUR|1DMG|1TLV	1RCR|2TLV|34DUR|5679aVULN|8DMG
27	31351 36622	6	   	261.93	ACR|5VULN|2DUR|1DMG|1TLV	1RCR|2TLV|34DUR|5689aVULN|7DMG
28	22136 14363	6	 * 	261.61	DCR|3VULN|2DUR|1DMG|2LIT|1ASPD|1SELL	1SELL|28DUR|3ASPD|48LIT|5RCVC|678VULN|8BPWR|9DMG|aRCR
29	22136 14363	5	 * 	261.61	DCR|3VULN|2DUR|1DMG|2LIT|1ASPD|1SELL	1SELL|28DUR|3ASPD|48LIT|5RCVC|678VULN|8BPWR|9DMG|aRCR
30	22136 14363	4	 * 	261.61	DCR|3VULN|2DUR|1DMG|2LIT|1ASPD|1SELL	1SELL|28DUR|3ASPD|48LIT|5RCVC|678VULN|8BPWR|9DMG|aRCR
