0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62652 13211	9	 * 	297.36	DCR|4VULN|3DMG|2CDMG|1TLV	138DMG|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aTLV
2	62652 13212	9	   	297.36	DCR|4VULN|3DMG|2CDMG|1DUR	138DMG|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aDUR
3	62651 21122	10	   	293.44	DCR|4VULN|3DMG|1TLV|1DUR	137DMG|234aVULN|3BPWR|5DUR|6DMSP|8RCR|9TLV
4	22611 14253	8	 * 	291.78	DCR|4VULN|3DMG|3ASPD	138ASPD|238aVULN|38BPWR|4ERES|5CGEN|678DMG|9RCR
5	22222 14653	8	   	291.68	DCR|4VULN|3DMG|3ASPD	148ASPD|268aVULN|3LEGI|578DMG|8BPWR|9RCR
6	62641 11213	4	   	290.74	DCR|4VULN|3DMG|1DUR|1CDMG	137DMG|2378VULN|37BPWR|4DUR|5CDMG|679ERES|aRCR
7	62651 11213	3	   	290.74	DCR|4VULN|3DMG|1DUR|1CDMG	137DMG|2378VULN|37BPWR|4DUR|5CDMG|679ERES|aRCR
8	62641 22232	4	 * 	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	13DMG|2379VULN|3BPWR|4aDUR|5CDMG|6DUST|8RCR
9	62651 22232	3	   	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	13DMG|2379VULN|3BPWR|4aDUR|5CDMG|6DUST|8RCR
10	22534 23612	5	 * 	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	18ASPD|248aVULN|3FEWX|5TLV|678DUR|8BPWR|9RCR
11	62621 13216	9	 * 	287.35	DCR|4VULN|3DMG|3CDMG	138DMG|236aVULN|38aBPWR|458aCGEN|78aCDMG|9RCR
12	62641 22233	4	   	286.09	DCR|4VULN|2DMG|1DUR|1CDMG|1ASPD	13DMG|2379VULN|3BPWR|4DUR|5CDMG|6DUST|8RCR|aASPD
13	62651 22233	3	   	286.09	DCR|4VULN|2DMG|1DUR|1CDMG|1ASPD	13DMG|2379VULN|3BPWR|4DUR|5CDMG|6DUST|8RCR|aASPD
14	62633 21351	4	   	285.72	DCR|3VULN|3DMG|2CDMG|1TLV|1ASPD	137DMG|237VULN|37BPWR|4LWND|5TLV|67CDMG|8ASPD|9RCR|aRMIN
15	62633 21353	4	   	285.72	DCR|3VULN|3DMG|2CDMG|1TLV|1ASPD	137DMG|237VULN|37BPWR|4LWND|5TLV|67CDMG|8ASPD|9RCR|aLHND
16	62633 21352	4	   	285.62	DCR|3VULN|3DMG|2CDMG|1TLV|1ASPD	137DMG|237VULN|37BPWR|4LWND|5TLV|67CDMG|8ASPD|9RCR|aDUST
17	22652 13216	9	 * 	284.32	DCR|5VULN|3ASPD|3CDMG	138ASPD|2346aVULN|38aBPWR|58aMLV|78aCDMG|9RCR
18	62643 23112	4	 * 	282.86	DCR|3VULN|3DUR|2DMG|1TLV	13DMG|23aVULN|3BPWR|467DUR|5TLV|8DUST|9RCR
19	62653 23112	3	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	13DMG|23aVULN|3BPWR|467DUR|5TLV|8DUST|9RCR
20	22232 16613	10	   	282.75	DCR|4VULN|2DMG|2ASPD|1TLV	18ASPD|2468VULN|3LEGI|58DMG|7RCVC|8BPWR|9TLV|aRCR
21	22336 41213	10	   	282.75	DCR|4VULN|2DMG|2ASPD|1TLV	18ASPD|2468VULN|3CGEN|5ERES|78DMG|8BPWR|9TLV|aRCR
22	62621 21333	6	   	282.56	DCR|4VULN|3DMG|2ASPD	137DMG|2379VULN|379BPWR|4579CGEN|6RPLT|89ASPD|aRCR
23	22232 14631	8	   	282.16	DCR|4VULN|3DMG|2ASPD	18ASPD|2468VULN|3LEGI|578DMG|8BPWR|9RPLT|aRCR
24	62642 33123	9	   	281.71	DCR|3VULN|3DMG|1TLV|1DUR|1ASPD	137DMG|238VULN|3BPWR|4DUR|5ASPD|6DUST|9TLV|aRCR
25	22655 13233	6	   	281.41	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	13ASPD|2346VULN|3BPWR|5TLV|7DUR|8CGEN|9RCR|aDMG
26	62652 13212	10	   	281.11	DCR|4VULN|3DMG|2CDMG	138DMG|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aBEXP
27	62652 13213	10	   	281.11	DCR|4VULN|3DMG|2CDMG	138DMG|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aRPLT
28	62652 13213	9	   	281.11	DCR|4VULN|3DMG|2CDMG	138DMG|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aZMB
29	52632 32223	10	 * 	281.08	DCR|5VULN|2DMG|1DUR	135ERES|23459VULN|359BPWR|69CGEN|7RCR|89DMG|aDUR
30	62652 13211	10	   	281.01	DCR|4VULN|3DMG|2CDMG	138DMG|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aLEGI
31	62653 22313	4	 * 	281.01	DCR|4VULN|3DMG|2TLV	138DMG|2348VULN|38BPWR|5DUST|6ZMB|78TLV|9LHND|aRCR
32	62653 22323	4	   	281.01	DCR|4VULN|3DMG|2TLV	138DMG|2348VULN|38BPWR|5DUST|6ZMB|78TLV|9FEWX|aRCR
33	62652 32222	4	   	280.98	DCR|5VULN|2DMG|1DUR	13DMG|23469VULN|3BPWR|5DLOT|7DUR|8FEWX|aRCR
34	62652 32322	4	   	280.98	DCR|5VULN|2DMG|1DUR	13DMG|23469VULN|3BPWR|5DLOT|7DUR|8BEXP|aRCR
35	62132 23256	2	   	280.61	DCR|3VULN|3DMG|1DUR|2LIT|1ASPD	14aDMG|24aVULN|3BELT|4aBPWR|5DMSP|6ASPD|7DUR|8aLIT|9RCR
36	63332 23256	2	   	280.61	DCR|3VULN|3DMG|1DUR|2LIT|1ASPD	14aDMG|2BELT|34aVULN|4aBPWR|5DMSP|6ASPD|7DUR|8aLIT|9RCR
37	62661 31333	3	 * 	279.78	DCR|3VULN|3DMG|2ASPD|2CDMG	137DMG|239VULN|379BPWR|4MBVNT|57CDMG|679CGEN|89ASPD|aRCR
38	22642 22423	10	 * 	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	13ASPD|2378VULN|3BPWR|49DUR|5DMG|6CGEN|aRCR
39	22652 13215	10	 * 	278.60	DCR|4VULN|3ASPD|1DMG|2CDMG	138ASPD|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aDMG
