0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33423 63225	3	 * 	302.90	DCR|5VULN|3DMG|1TLV	179LWND|2AART|379DMG|45789VULN|6RCR|79BPWR|aTLV
2	12463 33411	3	 * 	297.67	DCR|5VULN|3DMG|2DUR	1469aVULN|2aDUR|35aDMG|7RCR|8RPLT|aBPWR
3	12663 33411	1	   	297.67	DCR|5VULN|3DMG|2DUR	1469aVULN|25aDMG|3aDUR|7RCR|8RPLT|aBPWR
4	12463 33352	3	   	297.57	DCR|5VULN|3DMG|2DUR	1469aVULN|2aDUR|35aDMG|7RCR|8TBNT|aBPWR
5	12663 33352	1	   	297.57	DCR|5VULN|3DMG|2DUR	1469aVULN|25aDMG|3aDUR|7RCR|8TBNT|aBPWR
6	12663 33421	1	 * 	292.55	DCR|4VULN|3DMG|3DUR	146aVULN|25aDMG|39aDUR|7RCR|8RPLT|aBPWR
7	12463 33421	3	   	292.55	DCR|4VULN|3DMG|3DUR	146aVULN|29aDUR|35aDMG|7RCR|8RPLT|aBPWR
8	12443 31234	1	   	284.75	DCR|3VULN|3DMG|1TLV|1DUR|2LIT	138VULN|238DMG|38BPWR|4BELT|58LIT|6MBVNT|7RCR|9DUR|aTLV
9	12662 21121	1	   	284.70	DCR|4VULN|3DMG|2CDMG|1DUR	148aVULN|26aDMG|3DUR|5LHND|7aCDMG|9RCR|aBPWR
10	12663 21121	1	   	284.70	DCR|4VULN|3DMG|2CDMG|1DUR	148aVULN|25aDMG|3DUR|6LHND|7aCDMG|9RCR|aBPWR
11	12663 41121	1	   	284.60	DCR|4VULN|3DMG|2CDMG|1DUR	148aVULN|25aDMG|3DUR|6DUST|7aCDMG|9RCR|aBPWR
12	12665 21121	1	   	284.60	DCR|4VULN|3DMG|2CDMG|1DUR	148aVULN|26aDMG|3DUR|5DUST|7aCDMG|9RCR|aBPWR
13	12433 21121	5	   	283.73	DCR|4VULN|2DMG|2DUR|2CDMG	158aVULN|2aDUR|36DMG|45FEWX|5aBPWR|7aCDMG|9RCR
14	12324 21121	2	   	283.63	DCR|4VULN|2DMG|2DUR|2CDMG	138aVULN|2aDUR|4BEXP|56DMG|7aCDMG|9RCR|aBPWR
15	12462 21121	3	   	283.63	DCR|4VULN|2DMG|2DUR|2CDMG	148aVULN|2aDUR|36DMG|5LHND|7aCDMG|9RCR|aBPWR
16	12463 21121	3	   	283.63	DCR|4VULN|2DMG|2DUR|2CDMG	148aVULN|2aDUR|35DMG|6LHND|7aCDMG|9RCR|aBPWR
17	12662 11121	1	   	283.63	DCR|4VULN|2DMG|2DUR|2CDMG	148aVULN|2aDMG|36DUR|5LHND|7aCDMG|9RCR|aBPWR
18	12463 41121	3	   	283.53	DCR|4VULN|2DMG|2DUR|2CDMG	148aVULN|2aDUR|35DMG|6DUST|7aCDMG|9RCR|aBPWR
19	12465 21121	3	   	283.53	DCR|4VULN|2DMG|2DUR|2CDMG	148aVULN|2aDUR|36DMG|5DUST|7aCDMG|9RCR|aBPWR
20	12665 11121	1	   	283.53	DCR|4VULN|2DMG|2DUR|2CDMG	148aVULN|2aDMG|36DUR|5DUST|7aCDMG|9RCR|aBPWR
21	12415 32331	7	 * 	283.37	DCR|4VULN|2DMG|2TLV|1DUR	168aVULN|2DUR|38DMG|4CGEN|5BEXP|78TLV|8BPWR|9RCR
22	12433 22331	7	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	158aVULN|2DUR|38DMG|45FEWX|58BPWR|6ERES|78TLV|9RCR
23	11223 61322	8	   	281.64	DCR|4VULN|2DMG|2DUR	1589VULN|2ASPD|3AART|49DMG|69DUR|7RMIN|9BPWR|aRCR
24	11226 42322	8	   	281.64	DCR|4VULN|2DMG|2DUR	1789VULN|2ASPD|3AART|49DMG|5RMIN|69DUR|9BPWR|aRCR
25	13414 42322	8	   	281.64	DCR|4VULN|2DMG|2DUR	1789VULN|2AART|39DMG|4ZMB|5ASPD|69DUR|9BPWR|aRCR
26	13543 28222	1	   	281.00	DCR|4VULN|2DMG|2DUR|2AART	1789VULN|23AART|4MBVNT|59DMG|69DUR|9BPWR|aRCR
27	13543 28222	2	   	281.00	DCR|4VULN|2DMG|2DUR|2AART	1789VULN|23AART|4MBVNT|59DMG|69DUR|9BPWR|aRCR
28	12433 11121	5	   	279.37	DCR|4VULN|3DUR|1DMG|2CDMG	158aVULN|26aDUR|3DMG|45FEWX|5aBPWR|7aCDMG|9RCR
29	12463 13411	3	   	279.33	DCR|4VULN|3DMG|2DUR	149aVULN|2aDUR|35aDMG|6RCVC|7RCR|8RPLT|aBPWR
30	12663 13411	1	   	279.33	DCR|4VULN|3DMG|2DUR	149aVULN|25aDMG|3aDUR|6RCVC|7RCR|8RPLT|aBPWR
31	12324 11121	2	   	279.27	DCR|4VULN|3DUR|2CDMG|1DMG	138aVULN|26aDUR|4BEXP|5DMG|7aCDMG|9RCR|aBPWR
32	12462 11121	3	   	279.27	DCR|4VULN|3DUR|1DMG|2CDMG	148aVULN|26aDUR|3DMG|5LHND|7aCDMG|9RCR|aBPWR
33	12463 13352	3	   	279.23	DCR|4VULN|3DMG|2DUR	149aVULN|2aDUR|35aDMG|6RCVC|7RCR|8TBNT|aBPWR
34	12663 13352	1	   	279.23	DCR|4VULN|3DMG|2DUR	149aVULN|25aDMG|3aDUR|6RCVC|7RCR|8TBNT|aBPWR
35	12134 61121	6	   	279.17	DCR|4VULN|3DUR|1DMG|2CDMG	168aVULN|24aDUR|34DUST|4aBPWR|5DMG|7aCDMG|9RCR
36	12465 11121	3	   	279.17	DCR|4VULN|3DUR|1DMG|2CDMG	148aVULN|26aDUR|3DMG|5DUST|7aCDMG|9RCR|aBPWR
37	12431 31126	1	   	279.00	DCR|4VULN|2DMG|1TLV|2CDMG	138aVULN|23DMG|3aBPWR|4aLHND|5TLV|6ERES|7aCDMG|9RCR
38	13424 52222	10	 * 	278.29	DCR|3VULN|2DMG|2DUR|1TLV	156VULN|2AART|34DMG|78DUR|9RCR|aTLV
39	13431 43522	10	   	278.29	DCR|3VULN|2DMG|2DUR|1TLV	158VULN|2AART|37DMG|46DUR|9RCR|aTLV
40	12235 23452	2	 * 	277.97	DCR|3VULN|3DMG|2TLV|1DUR	179VULN|2DUR|37TLV|4MLV|5CGEN|678DMG|7BPWR|aRCR
41	13114 12225	1	 * 	277.64	DCR|4VULN|2TLV|2DUR|2AART	168aVULN|24AART|3TBNT|5aTLV|7aDUR|9RCR|aBPWR
42	13114 12225	2	   	277.64	DCR|4VULN|2TLV|2DUR|2AART	168aVULN|24AART|3TBNT|5aTLV|7aDUR|9RCR|aBPWR
43	22331 33411	2	   	276.90	DCR|4VULN|3DUR|2DMG	12aDUR|3RCVC|469aVULN|5aDMG|7RCR|8RPLT|aBPWR
44	12443 31241	1	   	276.81	DCR|3VULN|3DMG|1TLV|2LIT	138VULN|238DMG|38BPWR|4BELT|58LIT|6MBVNT|7RCR|9ASPD|aTLV
45	22331 33352	2	   	276.80	DCR|4VULN|3DUR|2DMG	12aDUR|3RCVC|469aVULN|5aDMG|7RCR|8TBNT|aBPWR
46	43446 33371	9	   	276.80	DCR|4VULN|3DUR|2DMG	1DMSP|2MBVNT|369DUR|459aVULN|79DMG|8RCR|9BPWR
47	13463 63221	3	   	276.69	DCR|5VULN|3DMG	15789VULN|2AART|379DMG|479LHND|6RCR|79BPWR|aFEWX
48	13463 63221	1	   	276.69	DCR|5VULN|3DMG	13789VULN|2AART|379BPWR|479LWND|579DMG|6RCR|aLHND
49	13463 63221	2	   	276.69	DCR|5VULN|3DMG	13789VULN|2AART|379BPWR|479LWND|579DMG|6RCR|aLHND
50	13463 63223	3	   	276.69	DCR|5VULN|3DMG	15789VULN|2AART|379DMG|479LHND|6RCR|79BPWR|aRPLT
51	33423 63221	3	   	276.69	DCR|5VULN|3DMG	179LWND|2AART|379DMG|45789VULN|6RCR|79BPWR|aLHND
52	63423 63221	3	   	276.69	DCR|5VULN|3DMG	179LHND|2AART|379DMG|45789VULN|6RCR|79BPWR|aFEWX
53	63423 63223	3	   	276.69	DCR|5VULN|3DMG	179LHND|2AART|379DMG|45789VULN|6RCR|79BPWR|aRPLT
54	14233 63221	2	   	276.69	DCR|5VULN|3DMG	1789aVULN|279LHND|3AART|4DMSP|579DMG|6RCR|79BPWR
55	13463 63222	2	   	276.59	DCR|5VULN|3DMG	13789VULN|2AART|379BPWR|479LWND|579DMG|6RCR|aBBNT
56	13463 63222	3	   	276.59	DCR|5VULN|3DMG	15789VULN|2AART|379DMG|479LHND|6RCR|79BPWR|aTBNT
57	13463 63222	1	   	276.59	DCR|5VULN|3DMG	13789VULN|2AART|379BPWR|479LWND|579DMG|6RCR|aBBNT
58	33423 63222	3	   	276.59	DCR|5VULN|3DMG	179LWND|2AART|379DMG|45789VULN|6RCR|79BPWR|aBBNT
59	33423 63224	3	   	276.59	DCR|5VULN|3DMG	179LWND|2AART|379DMG|45789VULN|6RCR|79BPWR|aERES
60	63423 63222	3	   	276.59	DCR|5VULN|3DMG	179LHND|2AART|379DMG|45789VULN|6RCR|79BPWR|aTBNT
61	12443 31271	1	   	276.58	DCR|3VULN|3DMG|2TLV|2LIT	138VULN|238DMG|38BPWR|4BELT|58LIT|6MBVNT|7RCR|9aTLV
62	33424 63231	5	   	276.49	DCR|5VULN|3DMG	17LWND|2AART|347DMG|5789aVULN|6RCR|7BPWR
63	13421 63231	5	   	276.49	DCR|5VULN|3DMG	1789aVULN|2AART|347DMG|57LWND|6RCR|7BPWR
64	13423 63231	4	   	276.49	DCR|5VULN|3DMG	1789aVULN|2AART|347DMG|57LWND|6RCR|7BPWR
65	12234 21121	4	   	275.91	DCR|3VULN|3DUR|2DMG|2CDMG	18aVULN|24aDUR|34FEWX|4aBPWR|56DMG|7aCDMG|9RCR
66	12234 21121	5	   	275.91	DCR|3VULN|3DUR|2DMG|2CDMG	18aVULN|24aDUR|34FEWX|4aBPWR|56DMG|7aCDMG|9RCR
67	12433 21621	5	   	275.91	DCR|3VULN|3DUR|2DMG|2CDMG	15aVULN|28aDUR|36DMG|45FEWX|5aBPWR|7aCDMG|9RCR
