0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41153 11115	10	 * 	285.21	DCR|3VULN|2DMG|2TLV|2DUR	19DUR|289VULN|3aDMG|4LIT|5RPLT|6RCR|79TLV|9BPWR
2	41153 11113	10	   	281.27	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aCDMG
3	41153 11114	9	 * 	280.85	DCR|3VULN|3DUR|2TLV|1DMG	19aDUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR
4	41153 11353	7	   	280.85	DCR|3VULN|3DUR|2TLV|1DMG	189DUR|29aVULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR
5	41356 33211	10	 * 	274.91	DCR|4VULN|3DUR|1TLV|1AART	136DUR|2589VULN|4AART|7RCR|aTLV
6	41356 33223	8	   	274.91	DCR|4VULN|3DUR|1TLV|1AART	136DUR|258aVULN|4AART|7RCR|9TLV
7	41153 11613	10	   	274.17	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	19DUR|29VULN|38DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aCDMG
8	44326 22122	4	   	272.81	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	134DUR|23LIT|3BPWR|568VULN|7TLV|9RCR|aCDMG
9	41312 22324	7	 * 	271.50	DCR|3VULN|3DMG|3DUR	137DUR|278VULN|4RPLT|578DMG|6DMSP|78BPWR|9TBNT|aRCR
10	41312 22354	7	   	271.50	DCR|3VULN|3DMG|3DUR	137DUR|278VULN|4RPLT|578DMG|6DMSP|78BPWR|9BBNT|aRCR
11	42122 22324	7	   	271.50	DCR|3VULN|3DMG|3DUR	137DUR|2RPLT|478VULN|578DMG|6DMSP|78BPWR|9TBNT|aRCR
12	42122 22354	7	   	271.50	DCR|3VULN|3DMG|3DUR	137DUR|2RPLT|478VULN|578DMG|6DMSP|78BPWR|9BBNT|aRCR
13	42111 43331	10	   	269.81	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	139DUR|2RPLT|49TLV|5CDMG|6LIT|7RCR|89VULN|9BPWR|aDMG
14	42113 53331	10	   	269.81	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	139DUR|2RPLT|49TLV|5LIT|6CDMG|7RCR|89VULN|9BPWR|aDMG
15	11366 16323	3	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1aLHND|24aVULN|38DUR|5TLV|6RCR|7aDMG|9LEGI|aBPWR
16	41153 11111	9	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aLHND
17	41153 11111	10	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aBELT
18	41153 11112	9	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aLWND
19	41153 11114	10	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aCGEN
20	41153 11116	9	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aFEWX
21	41153 11116	10	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aMLV
22	41153 11151	8	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aLHND
23	41153 11152	8	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aLWND
24	41153 11112	10	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aDUST
25	41153 11115	9	 * 	267.52	DCR|3VULN|3TLV|2DUR|1DMG	19DUR|289VULN|3DMG|4LIT|5RPLT|6RCR|79aTLV|9BPWR
26	41621 61133	8	   	267.14	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD|1SELL	1aDUR|25aVULN|3RPLT|4TLV|6DMG|7aASPD|8RCR|9SELL|aBPWR
27	41311 23335	4	 * 	265.80	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aLIT
28	41313 23335	6	   	265.80	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aLIT
29	41313 23335	5	   	265.80	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aLIT
30	42121 23335	4	   	265.80	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aLIT
31	42123 23335	6	   	265.80	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aLIT
32	42123 23335	5	   	265.80	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aLIT
33	33416 33533	8	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1BEXP|27DUR|3CDMG|4TLV|58aVULN|6RCR|9DMG
34	31423 63632	9	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	1BEXP|24aVULN|3CDMG|5ASPD|6aDUR|7LHND|8aDMG|9RCR|aBPWR
35	41332 46131	5	 * 	262.85	ACR|5VULN|3DUR|2DMG	13aDUR|25679VULN|4RCR|8aDMG|aBPWR
36	41153 11351	7	   	262.71	DCR|2VULN|3DUR|2TLV|1DMG|2LIT	189DUR|29VULN|3DMG|4aLIT|5RPLT|6RCR|79TLV|9BPWR
37	41132 44133	4	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|26aVULN|38DMG|4RCVC|5TLV|7RCR|9ASPD
38	41151 21322	8	 * 	262.25	DCR|3VULN|2DMG|3CDMG|1DUR	1DUR|268VULN|37DMG|4LIT|569CDMG|6BPWR|aRCR
