0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13152 32224	4	 * 	299.65	DCR|3VULN|3DUR|2DMG|2TLV|1SELL	18DMG|246VULN|368DUR|5SELL|68BPWR|78TLV|9AART|aRCR
2	13112 31462	4	 * 	296.86	DCR|4VULN|3DUR|2DMG|2CDMG|1NUKE	19DMG|2568VULN|369DUR|4NUKE|69BPWR|79CDMG|aRCR
3	63135 13223	7	 * 	290.93	DCR|5VULN|3DUR|3ASPD	149ASPD|25679VULN|359DUR|59BPWR|8AART|aRCR
4	13155 11151	9	 * 	290.53	DCR|5VULN|2DUR|1TLV|1DMG	1DMG|24568VULN|35DUR|5BPWR|7LHND|9TLV|aRCR
5	13155 13121	9	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	1DMG|24567VULN|35DUR|5BPWR|8TLV|9LWND|aRCR
6	13155 13131	9	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	1DMG|24567VULN|35DUR|5BPWR|8TLV|9FEWX|aRCR
7	13155 13131	8	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	1DMG|24567VULN|35DUR|5BPWR|8TLV|9BEXP|aRCR
8	13155 13161	8	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	1DMG|24567VULN|35DUR|5BPWR|8TLV|9LHND|aRCR
9	13155 13251	9	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	1DMG|24567VULN|35DUR|5BPWR|8FEWX|9TLV|aRCR
10	13155 13161	9	   	290.43	DCR|5VULN|2DUR|1TLV|1DMG	1DMG|24567VULN|35DUR|5BPWR|8TLV|9DUST|aRCR
11	13123 43615	4	 * 	289.59	DCR|2VULN|3DMG|2DUR|1TLV|2ASPD|1CDMG	18aDMG|25VULN|3aDUR|4CDMG|6RCR|7TLV|9aASPD|aBPWR
12	13123 42315	4	 * 	287.16	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD|1CDMG	1aDMG|25VULN|37aDUR|4CDMG|6RCR|8TLV|9aASPD|aBPWR
13	13123 43515	4	   	287.16	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD|1CDMG	1aDMG|25VULN|38aDUR|4CDMG|6RCR|7TLV|9aASPD|aBPWR
14	63123 42325	4	   	287.16	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD|1CDMG	1aASPD|25VULN|37aDUR|4CDMG|6RCR|8TLV|9aDMG|aBPWR
15	32623 62522	8	 * 	286.46	DCR|3VULN|2DMG|3TLV|2DUR	1AART|29DMG|356VULN|479TLV|89DUR|9BPWR|aRCR
16	13155 12261	6	 * 	285.31	DCR|4VULN|3DUR|1TLV|1DMG	1DMG|2456VULN|35aDUR|5BPWR|7TLV|8MBVNT|9RCR
17	32623 62523	7	 * 	284.99	DCR|4VULN|2DMG|3TLV	1AART|29DMG|3569VULN|479TLV|8RCR|9BPWR|aLIT
18	13142 12353	8	   	284.97	DCR|3VULN|2DMG|2DUR|1TLV|2ASPD	1aDMG|268VULN|3aDUR|4MLV|5TLV|7aASPD|9RCR|aBPWR
19	16431 12353	8	   	284.87	DCR|3VULN|2DMG|2DUR|1TLV|2ASPD	1aDMG|2TLV|3aDUR|468VULN|5ERES|7aASPD|9RCR|aBPWR
20	13152 42315	4	   	284.73	DCR|3VULN|2DMG|2DUR|1TLV|2ASPD|1SELL	1aDMG|24aVULN|37DUR|5SELL|6RCR|8TLV|9aASPD|aBPWR
21	13123 33156	8	 * 	282.91	DCR|2VULN|3DMG|2TLV|2CDMG|1DUR	168DMG|2aVULN|3DUR|4aCDMG|5aTLV|7RCR|9AART|aBPWR
22	13123 33656	7	   	282.91	DCR|2VULN|3DMG|2TLV|2CDMG|1DUR	168DMG|2aVULN|3DUR|4aCDMG|5aTLV|7RCR|9AART|aBPWR
23	13443 12153	3	 * 	281.95	DCR|3VULN|3DUR|2DMG|1TLV|1NUKE	1aDMG|25aVULN|3CGEN|4TLV|6NUKE|78aDUR|9RCR|aBPWR
24	11343 52153	2	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1aDMG|2ZMB|35aVULN|4TLV|6ERES|78aDUR|9RCR|aBPWR
25	12341 61161	1	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	17DMG|2MLV|379VULN|4TLV|5ERES|678DUR|7BPWR|aRCR
26	13155 13326	7	 * 	281.81	DCR|5VULN|2DMG|2DUR	1aDMG|24567VULN|35DUR|5BPWR|8TBNT|9RCR
27	13132 64214	10	   	280.52	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	1aDMG|2aVULN|368DUR|4ASPD|5TLV|7RCR|9aLIT|aBPWR
28	13132 14141	8	   	279.46	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1DMG|2689VULN|3DUR|4ASPD|5TLV|7RCR|aCDMG
29	13632 21462	6	 * 	279.45	DCR|5VULN|2DMG|2CDMG	19DMG|24589VULN|3ASPD|6LHND|79CDMG|9BPWR|aRCR
30	13632 31462	6	   	279.45	DCR|5VULN|2DMG|2CDMG	19DMG|24589VULN|3ASPD|6FEWX|79CDMG|9BPWR|aRCR
31	63155 13121	9	   	278.77	DCR|5VULN|2DUR|1TLV	1ASPD|24567VULN|35DUR|5BPWR|8TLV|9LWND|aRCR
32	63155 13131	9	   	278.77	DCR|5VULN|2DUR|1TLV	1ASPD|24567VULN|35DUR|5BPWR|8TLV|9FEWX|aRCR
33	13332 52166	9	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|28aVULN|3RPLT|4AART|5BEXP|6TLV|7aDUR|9RCR|aBPWR
34	32623 13522	8	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV	1AART|28DMG|358VULN|4TLV|6FEWX|78DUR|8BPWR|9BEXP|aRCR
35	32623 13522	7	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV	1AART|28DMG|358VULN|4TLV|6FEWX|78DUR|8BPWR|9BEXP|aRCR
36	32623 13562	9	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV	1AART|28DMG|358VULN|4TLV|6FEWX|78DUR|8BPWR|9BEXP|aRCR
37	32623 13552	7	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	1AART|28DMG|358VULN|4TLV|6FEWX|78DUR|8BPWR|9LEGI|aRCR
38	32623 13552	8	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	1AART|28DMG|358VULN|4TLV|6FEWX|78DUR|8BPWR|9LEGI|aRCR
39	32623 43522	8	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	1AART|28DMG|358VULN|4TLV|6DUST|78DUR|8BPWR|9FEWX|aRCR
40	32623 43532	9	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	1AART|28DMG|358VULN|4TLV|6DUST|78DUR|8BPWR|9FEWX|aRCR
41	13331 52166	9	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|28aVULN|3RPLT|4AART|5DUST|6TLV|7aDUR|9RCR|aBPWR
42	63152 32224	4	 * 	278.15	DCR|3VULN|3DUR|2TLV|2ASPD|1SELL	18ASPD|246VULN|368DUR|5SELL|68BPWR|78TLV|9AART|aRCR
43	16433 52332	10	 * 	277.32	DCR|2VULN|3DUR|2DMG|1TLV|2CDMG	1aDMG|2TLV|37aDUR|48VULN|5LWND|6RCR|9aCDMG|aBPWR
44	13132 14123	9	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|268VULN|3aDUR|4ASPD|5TLV|7RCR|9aMLV|aBPWR
45	13132 21353	8	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|278VULN|3aDUR|4ASPD|5TLV|6aMLV|9RCR|aBPWR
46	13132 14163	9	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|268VULN|3aDUR|4ASPD|5TLV|7RCR|9aERES|aBPWR
47	13113 44153	4	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR|1NUKE	1aDMG|26aVULN|38DUR|4NUKE|5CGEN|7aTLV|9RCR|aBPWR
48	13114 14153	6	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR|1NUKE	1aDMG|26aVULN|38DUR|4NUKE|5MLV|7aTLV|9RCR|aBPWR
49	13111 14153	6	   	276.70	DCR|3VULN|2DMG|2TLV|2DUR|1NUKE	1aDMG|26aVULN|38DUR|4NUKE|5ERES|7aTLV|9RCR|aBPWR
50	13111 44153	5	   	276.70	DCR|3VULN|2DMG|2TLV|2DUR|1NUKE	1aDMG|26aVULN|38DUR|4NUKE|5ERES|7aTLV|9RCR|aBPWR
51	32623 62522	7	   	276.68	DCR|4VULN|2DMG|3TLV	1AART|29DMG|3569VULN|479TLV|8RCR|9BPWR|aRMIN
52	32623 62521	7	   	276.58	DCR|4VULN|2DMG|3TLV	1AART|29DMG|3569VULN|479TLV|8RCR|9BPWR|aERES
53	34624 21122	5	 * 	276.08	DCR|3VULN|3DMG|2AART|1DUR|2LIT	17AART|2RPLT|39LIT|469DMG|569VULN|69BPWR|8RCR|aDUR
54	63126 42312	5	   	275.88	DCR|2VULN|3DUR|1TLV|1DMG|2CDMG|2ASPD	18ASPD|28VULN|357DUR|48CDMG|6RCR|8BPWR|9DMG|aTLV
55	13114 31462	4	   	275.81	DCR|3VULN|3DUR|2DMG|2CDMG|1NUKE	19DMG|268VULN|369DUR|4NUKE|5DMSP|69BPWR|79CDMG|aRCR
56	13126 42324	5	   	275.81	DCR|3VULN|3DUR|2DMG|2CDMG	18DMG|28aVULN|357DUR|48CDMG|6RCR|8BPWR|9LHND
57	13126 42341	5	   	275.81	DCR|3VULN|3DUR|2DMG|2CDMG	18DMG|289VULN|357DUR|48CDMG|6RCR|8BPWR|aMLV
58	13126 42342	5	   	275.81	DCR|3VULN|3DUR|2DMG|2CDMG	18DMG|289VULN|357DUR|48CDMG|6RCR|8BPWR|aBELT
59	13126 42343	5	   	275.81	DCR|3VULN|3DUR|2DMG|2CDMG	18DMG|289VULN|357DUR|48CDMG|6RCR|8BPWR|aLWND
60	13112 61462	4	   	275.71	DCR|3VULN|3DUR|2DMG|2CDMG|1NUKE	19DMG|258VULN|369DUR|4NUKE|79CDMG|9BPWR|aRCR
61	63112 31462	4	   	275.36	DCR|4VULN|3DUR|2CDMG|2ASPD|1NUKE	19ASPD|2568VULN|369DUR|4NUKE|69BPWR|79CDMG|aRCR
62	13112 14123	9	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR|1NUKE	1aDMG|268aVULN|3DUR|4NUKE|5TLV|7RCR|9aMLV|aBPWR
63	13112 21353	8	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR|1NUKE	1aDMG|278aVULN|3DUR|4NUKE|5TLV|6aMLV|9RCR|aBPWR
64	13112 14163	9	   	274.99	DCR|4VULN|2DMG|1TLV|1DUR|1NUKE	1aDMG|268aVULN|3DUR|4NUKE|5TLV|7RCR|9aERES|aBPWR
65	63126 23612	10	   	274.17	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1ASPD|2aVULN|35DUR|4CDMG|6aTLV|7RCR|8ZMB|9aDMG|aBPWR
66	13133 44153	4	 * 	273.74	DCR|2VULN|3DUR|2DMG|2TLV	1aDMG|26VULN|38aDUR|4ASPD|5CGEN|7aTLV|9RCR|aBPWR
67	13134 14153	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	1aDMG|26VULN|38aDUR|4ASPD|5MLV|7aTLV|9RCR|aBPWR
68	13131 14153	6	   	273.64	DCR|2VULN|3DUR|2DMG|2TLV	1aDMG|26VULN|38aDUR|4ASPD|5ERES|7aTLV|9RCR|aBPWR
69	13131 44153	5	   	273.64	DCR|2VULN|3DUR|2DMG|2TLV	1aDMG|26VULN|38aDUR|4ASPD|5ERES|7aTLV|9RCR|aBPWR
70	46115 11313	9	 * 	273.53	DCR|4VULN|3DUR|2TLV	13aDUR|2aTLV|4BEXP|5MLV|678aVULN|9RCR|aBPWR
71	46135 11313	9	   	273.53	DCR|4VULN|3DUR|2TLV	13aDUR|2aTLV|4FEWX|5MLV|678aVULN|9RCR|aBPWR
72	13142 12153	7	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	1aDMG|26VULN|38aDUR|4MLV|5TLV|7aASPD|9RCR|aBPWR
73	13142 12453	8	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	1aDMG|26VULN|38aDUR|4MLV|5TLV|7aASPD|9RCR|aBPWR
74	13142 62353	8	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	1aDMG|28VULN|36aDUR|4MLV|5TLV|7aASPD|9RCR|aBPWR
75	13142 12441	9	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	19DMG|26VULN|389DUR|4MLV|5TLV|79ASPD|9BPWR|aRCR
