0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11384 73184	7	 * 	298.08	DCR|4VULN|3DMG|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|4589VULN|6AART|789DMG|89BPWR|aRCR
2	11382 73184	7	 * 	291.61	DCR|3VULN|3DMG|2DUR|3ASPD	189ASPD|2MBVNT|35DUR|489VULN|6AART|789DMG|89BPWR|aRCR
3	11184 61322	8	 * 	291.34	DCR|4VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2MBVNT|349aVULN|5DUR|6TLV|79DMG|8RCR|9BPWR
4	11384 61322	8	 * 	284.87	DCR|3VULN|2DMG|2DUR|1TLV|2ASPD	19ASPD|2MBVNT|39DUR|45aVULN|6TLV|79DMG|8RCR|9BPWR
5	11388 61322	8	 * 	283.17	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	19ASPD|2MBVNT|359DUR|45VULN|59BPWR|6TLV|79DMG|8RCR|aAART
6	11181 63182	7	   	281.83	DCR|4VULN|3DMG|3ASPD	189ASPD|2MBVNT|3489VULN|5AART|6RCR|789DMG|89BPWR|aLWND
7	11181 63183	7	   	281.83	DCR|4VULN|3DMG|3ASPD	189ASPD|2MBVNT|3489VULN|5AART|6RCR|789DMG|89BPWR|aZMB
8	11181 63184	7	   	281.83	DCR|4VULN|3DMG|3ASPD	189ASPD|2MBVNT|3489VULN|5AART|6RCR|789DMG|89BPWR|aBELT
9	11512 63182	7	   	281.83	DCR|4VULN|3DMG|3ASPD	189ASPD|2MBVNT|3AART|4589VULN|6RCR|789DMG|89BPWR|aLWND
10	11512 63183	7	   	281.83	DCR|4VULN|3DMG|3ASPD	189ASPD|2MBVNT|3AART|4589VULN|6RCR|789DMG|89BPWR|aZMB
11	11512 63184	7	   	281.83	DCR|4VULN|3DMG|3ASPD	189ASPD|2MBVNT|3AART|4589VULN|6RCR|789DMG|89BPWR|aBELT
12	11181 63181	7	   	281.73	DCR|4VULN|3DMG|3ASPD	189ASPD|2MBVNT|3489VULN|5AART|6RCR|789DMG|89BPWR|aDUST
13	11512 63181	7	   	281.73	DCR|4VULN|3DMG|3ASPD	189ASPD|2MBVNT|3AART|4589VULN|6RCR|789DMG|89BPWR|aDUST
14	11184 44427	9	 * 	281.50	DCR|4VULN|3DUR|1TLV|2ASPD	17ASPD|2MBVNT|3479VULN|567DUR|7BPWR|8TLV|aRCR
15	11384 44427	9	   	281.50	DCR|4VULN|3DUR|1TLV|2ASPD	17ASPD|2MBVNT|367DUR|4579VULN|7BPWR|8TLV|aRCR
16	11388 61331	10	 * 	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1ASPD|2MBVNT|35DUR|459aVULN|5BPWR|6TLV|7DMG|8RCR
17	11388 61332	9	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1ASPD|2MBVNT|35DUR|459aVULN|5BPWR|6TLV|7DMG|8RCR
18	11384 43828	10	 * 	279.72	DCR|4VULN|2DMG|2DUR|2ASPD	1aASPD|2MBVNT|36DUR|459aVULN|7RCR|8aDMG|aBPWR
19	11184 61324	8	   	278.60	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2MBVNT|349VULN|5DUR|6TLV|79DMG|8RCR|9BPWR|aLIT
20	11344 35184	3	   	277.03	DCR|3VULN|3DMG|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|489VULN|589DMG|6RCVC|7AART|89BPWR|aRCR
21	11384 35184	4	   	277.03	DCR|3VULN|3DMG|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|489VULN|589DMG|6RCVC|7AART|89BPWR|aRCR
22	11388 62322	8	 * 	276.45	DCR|4VULN|2TLV|2DUR|2ASPD	19ASPD|2MBVNT|35DUR|459aVULN|59BPWR|69TLV|7RMIN|8RCR
