0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61243 31163	6	 * 	263.67	DCR|4VULN|2DMG|2DUR	17LHND|2RMIN|3aDMG|47DUR|5678VULN|7BPWR|9RCR
2	53132 35132	3	 * 	259.60	DCR|5VULN|1TLV|1DMG	1FEWX|2LHND|34568VULN|7RCR|9DMG|aTLV
3	23132 35132	3	   	259.50	DCR|5VULN|1TLV|1DMG	1DUST|2LHND|34568VULN|7RCR|9DMG|aTLV
4	23126 64233	10	 * 	258.74	DCR|4VULN|2DMG|1TLV	17DUST|2LHND|3567VULN|47DMG|7BPWR|8LEGI|9RCR|aTLV
5	62212 42126	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|25aVULN|3CDMG|4DMG|6RCR|7DUR|8LIT|9TLV
6	61213 31163	3	 * 	258.27	DCR|3VULN|3DMG|2DUR	17LHND|2RMIN|35aDMG|47DUR|678VULN|7BPWR|9RCR
7	61243 31163	4	   	258.27	DCR|3VULN|3DMG|2DUR	17LHND|2RMIN|35aDMG|47DUR|678VULN|7BPWR|9RCR
8	62111 51163	1	   	258.27	DCR|3VULN|3DMG|2DUR	17LHND|278VULN|36aDMG|4CGEN|57DUR|7BPWR|9RCR
9	61213 31166	3	 * 	255.85	DCR|3VULN|3DUR|2DMG	17LHND|2RMIN|35DMG|47aDUR|678VULN|7BPWR|9RCR
10	31125 23431	9	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1LWND|2RMIN|3TLV|4CDMG|5678VULN|9DMG|aRCR
11	41133 35162	1	 * 	254.38	DCR|3VULN|2DMG|2TLV	1aCGEN|2ASPD|3aTLV|4LHND|57DMG|68aVULN|9RCR|aBPWR
12	53121 51233	10	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|2LHND|389VULN|47DMG|5DUR|6RCR|aTLV
13	53121 51236	9	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|2LHND|389VULN|47DMG|5DUR|6RCR|aTLV
14	36123 35133	2	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	12LWND|2BPWR|3TLV|468VULN|5aDMG|7RCR|9DUR
15	66123 35133	2	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	12LHND|2BPWR|3TLV|468VULN|5aDMG|7RCR|9DUR
16	23121 51233	10	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|2LHND|389VULN|47DMG|5DUR|6RCR|aTLV
17	23121 51236	9	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|2LHND|389VULN|47DMG|5DUR|6RCR|aTLV
