0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14231 42622	9	 * 	289.21	DCR|5VULN|3DUR|1AART	1AART|2678aVULN|3LIT|4aERES|56aDUR|6aBPWR|9RCR
2	35142 32326	6	 * 	288.69	DCR|5VULN|3DMG	1LIT|25678VULN|369DMG|4LEGI|6BPWR|aRCR
3	14216 32622	9	   	282.53	DCR|5VULN|2DUR|2LIT|1AART	1AART|2478aVULN|34LIT|4aBPWR|5aERES|6aDUR|9RCR
4	14214 12622	9	   	282.53	DCR|5VULN|2DUR|2LIT|1AART	1AART|2478aVULN|34LIT|4aBPWR|5aDUR|6aERES|9RCR
5	14215 61312	8	   	282.53	DCR|5VULN|2DUR|2LIT|1AART	1AART|2457aVULN|34LIT|4aBPWR|6RCR|8aDUR|9aERES
6	32336 32535	2	 * 	281.26	DCR|4VULN|2DMG|3LIT|1DUR|1SELL	138LIT|2DUR|4578VULN|68DMG|8BPWR|9SELL|aRCR
7	14224 42323	9	   	279.41	DCR|4VULN|2DMG|1DUR|1AART	1AART|2678VULN|3LIT|4DUST|56DMG|6BPWR|9RCR|aDUR
8	35142 34223	9	   	279.41	DCR|4VULN|2DMG|1DUR|1AART	1LIT|2567VULN|36DMG|4LEGI|6BPWR|8AART|9RCR|aDUR
9	14224 42321	10	   	278.81	DCR|4VULN|3DMG|1AART	1AART|2678VULN|3LIT|4DUST|56aDMG|6BPWR|9RCR
10	35142 34221	10	   	278.81	DCR|4VULN|3DMG|1AART	1LIT|2567VULN|36aDMG|4LEGI|6BPWR|8AART|9RCR
11	32336 26325	2	 * 	278.26	DCR|4VULN|2DUR|3LIT|1DMG|1SELL	137LIT|27DUR|4578VULN|6SELL|7BPWR|9DMG|aRCR
12	14215 31132	9	 * 	278.12	DCR|5VULN|2ASPD|3LIT|1AART	1AART|24589VULN|349LIT|49BPWR|6DMSP|79ASPD|aRCR
13	14215 31135	10	   	278.12	DCR|5VULN|2ASPD|3LIT|1AART	1AART|24589VULN|349LIT|49BPWR|6DMSP|79ASPD|aRCR
14	14136 22621	10	   	278.07	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2378VULN|3BPWR|4DUR|5TLV|6LIT|9RCR|aDMG
15	35142 33115	8	   	277.01	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|256VULN|36DMG|4LEGI|6BPWR|7CDMG|8RCR|9TLV|aDUR
16	14215 61313	9	   	276.64	DCR|4VULN|2DUR|2LIT|1CDMG|1AART	1AART|2457VULN|34LIT|4BPWR|6RCR|8aDUR|9CDMG
17	35142 33116	8	   	276.41	DCR|3VULN|3DMG|1TLV|1CDMG	1LIT|256VULN|36aDMG|4LEGI|6BPWR|7CDMG|8RCR|9TLV
18	14231 42621	10	 * 	276.40	DCR|4VULN|2DUR|1DMG|1AART	1AART|2678VULN|3LIT|4ERES|56DUR|6BPWR|9RCR|aDMG
19	14215 21313	8	   	276.22	DCR|4VULN|3DUR|2LIT|1AART	1AART|2457VULN|34LIT|4BPWR|689DUR|aRCR
20	14215 21353	9	   	276.22	DCR|4VULN|3DUR|2LIT|1AART	1AART|2457VULN|34LIT|4BPWR|689DUR|aRCR
21	14231 42522	9	   	276.22	DCR|4VULN|3DUR|2LIT|1AART	1AART|267aVULN|38LIT|4aERES|56aDUR|6aBPWR|9RCR
22	14263 12622	9	   	275.88	DCR|5VULN|2DUR|1AART	1AART|2578aVULN|3LIT|4aDUR|6aERES|9RCR|aBPWR
23	31321 53145	8	   	274.00	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1LIT|2CDMG|3aDUR|468VULN|5TLV|7DMG|9RCR
24	35142 34122	10	 * 	273.46	DCR|4VULN|2DMG|2CDMG	1LIT|2567VULN|36DMG|4LEGI|6BPWR|8aCDMG|9RCR
25	22111 26521	2	 * 	273.46	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	17LWND|24ASPD|367VULN|57DUR|7BPWR|8RCR|9TLV|aDMG
26	22163 26521	2	   	273.46	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	17LWND|25ASPD|367VULN|47DUR|7BPWR|8RCR|9TLV|aDMG
27	42111 26521	2	   	273.46	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	17LHND|24ASPD|367VULN|57DUR|7BPWR|8RCR|9TLV|aDMG
28	14322 34126	4	   	273.15	DCR|5VULN|1DMG|1DUR|1AART	1AART|2459aVULN|34LWND|4BPWR|6DUR|7DMG|8RCR
29	14132 26126	4	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	1AART|2359aVULN|3BPWR|4DUR|6DMG|7LWND|8RCR
30	14112 34126	3	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	1AART|2359aVULN|3BPWR|4LHND|6DUR|7DMG|8RCR
31	14122 34126	4	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	1AART|2359aVULN|3BPWR|4LWND|6DUR|7DMG|8RCR
32	14132 21126	4	   	272.95	DCR|5VULN|1DMG|1DUR|1AART	1AART|2359aVULN|3BPWR|4DUR|6DMG|7LEGI|8RCR
33	35515 12311	6	   	271.83	DCR|5VULN|1TLV|2LIT|1CDMG	14LIT|2458aVULN|3DLOT|4BPWR|6CDMG|7RCR|9TLV
34	14215 61113	10	   	271.76	DCR|5VULN|1DMG|2LIT|1AART	1AART|24579VULN|34LIT|4BPWR|6RCR|8ZMB|aDMG
35	14136 22622	9	   	271.66	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1AART|2378VULN|3BPWR|4DUR|5TLV|6LIT|9RCR|aCDMG
36	22164 21521	2	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1LWND|2ASPD|3567VULN|4DUR|8RCR|9TLV|aDMG
37	14132 22126	4	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1AART|235aVULN|3BPWR|4DUR|69DMG|7BEXP|8RCR
38	14132 24126	4	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1AART|235aVULN|3BPWR|4DUR|69DMG|7FEWX|8RCR
