0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34412 35332	9	 * 	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1BEXP|2345aVULN|6DUR|7CDMG|8DMG|9RCR
2	24412 31326	9	 * 	276.02	DCR|4VULN|2DMG|2DUR	1LHND|2345VULN|68DUR|7RCR|9aDMG
3	24412 31412	9	   	273.23	DCR|5VULN|1TLV|1DUR|1CDMG	1LHND|2345aVULN|6DUR|7RCR|8TLV|9CDMG
4	34412 31412	9	   	273.23	DCR|5VULN|1DUR|1TLV|1CDMG	1BEXP|2345aVULN|6DUR|7RCR|8TLV|9CDMG
5	24412 14213	10	   	273.15	DCR|5VULN|1DMG|1DUR|1AART	17LHND|23457VULN|6AART|7BPWR|8DUR|9DMG|aRCR
6	24412 11213	10	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	1LHND|23457VULN|6AART|8DUR|9DMG|aRCR
7	24412 11623	10	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	1LHND|23457VULN|6AART|8DMG|9DUR|aRCR
8	24451 11213	10	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	1LHND|23567VULN|4AART|8DUR|9DMG|aRCR
9	54431 11213	10	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	1LWND|23567VULN|4AART|8DUR|9DMG|aRCR
10	34412 35331	9	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1BEXP|2345VULN|6aDUR|7CDMG|8DMG|9RCR
11	31434 23132	10	 * 	271.86	DCR|4VULN|3DUR|1DMG	17BEXP|2LWND|347aVULN|567DUR|7BPWR|8DMG|9RCR
12	53434 23132	10	   	271.76	DCR|4VULN|3DUR|1DMG	17LWND|2DUST|347aVULN|567DUR|7BPWR|8DMG|9RCR
13	24412 31122	8	   	271.70	DCR|5VULN|1DMG|1DUR	1LHND|23458VULN|6DUR|7RCR|9LIT|aDMG
14	24412 31122	7	   	271.70	DCR|5VULN|1DMG|1DUR	1LHND|23458VULN|6DUR|7RCR|9LIT|aDMG
15	24412 31212	9	   	271.70	DCR|5VULN|1DMG|1DUR	1LHND|23459VULN|6DUR|7RCR|8LIT|aDMG
16	24412 31262	8	   	271.70	DCR|5VULN|1DMG|1DUR	1LHND|23459VULN|6DUR|7RCR|8LIT|aDMG
17	34412 31122	8	   	271.70	DCR|5VULN|1DMG|1DUR	1BEXP|23458VULN|6DUR|7RCR|9LIT|aDMG
18	34412 31122	7	   	271.70	DCR|5VULN|1DMG|1DUR	1BEXP|23458VULN|6DUR|7RCR|9LIT|aDMG
19	34412 31212	9	   	271.70	DCR|5VULN|1DMG|1DUR	1BEXP|23459VULN|6DUR|7RCR|8LIT|aDMG
20	34412 31262	8	   	271.70	DCR|5VULN|1DMG|1DUR	1BEXP|23459VULN|6DUR|7RCR|8LIT|aDMG
21	24412 31132	8	 * 	271.56	DCR|5VULN|2DUR|1CDMG	1LHND|23458VULN|69DUR|7RCR|aCDMG
22	24412 31132	7	   	271.56	DCR|5VULN|2DUR|1CDMG	1LHND|23458VULN|69DUR|7RCR|aCDMG
23	24412 31322	8	   	271.56	DCR|5VULN|2DUR|1CDMG	1LHND|23459VULN|68DUR|7RCR|aCDMG
24	24412 31622	7	   	271.56	DCR|5VULN|2DUR|1CDMG	1LHND|23459VULN|68DUR|7RCR|aCDMG
25	34412 31132	8	   	271.56	DCR|5VULN|2DUR|1CDMG	1BEXP|23458VULN|69DUR|7RCR|aCDMG
26	34412 31132	7	   	271.56	DCR|5VULN|2DUR|1CDMG	1BEXP|23458VULN|69DUR|7RCR|aCDMG
27	34412 31622	7	   	271.56	DCR|5VULN|2DUR|1CDMG	1BEXP|23459VULN|68DUR|7RCR|aCDMG
28	22344 33225	6	 * 	271.19	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	1LHND|29DMG|35VULN|4LIT|69DUR|7TLV|89CDMG|9BPWR|aRCR
29	24412 31135	8	 * 	271.14	DCR|5VULN|3DUR	1LHND|23458VULN|69aDUR|7RCR
30	24412 31135	7	   	271.14	DCR|5VULN|3DUR	1LHND|23458VULN|69aDUR|7RCR
31	24412 31325	8	   	271.14	DCR|5VULN|3DUR	1LHND|23459VULN|68aDUR|7RCR
32	34412 31135	8	   	271.14	DCR|5VULN|3DUR	1BEXP|23458VULN|69aDUR|7RCR
33	34412 31135	7	   	271.14	DCR|5VULN|3DUR	1BEXP|23458VULN|69aDUR|7RCR
