0	Index      	 *	Score 	Summary	Detail	
1	25226 21522	 * 	266.04	橙橙3易伤	16敌人爆炸2雷电3激光减费456易伤6序列升级7赏金邻近8金币生成9a核
2	23117 41272	   	257.25	橙橙2易伤1攻速	1敌人爆炸2技能点3加一4a易伤5攻速69核7低血量敌人8爆破对壮
3	23117 43784	   	257.25	橙橙2易伤1攻速	1敌人爆炸2技能点3加一48易伤5攻速6a核7赏金塔9掉矿
4	23148 72272	   	257.25	橙橙2易伤1攻速	1敌人爆炸2技能点3加一4喷火对黄5低血量敌人6a易伤79核8攻速
5	23181 44272	   	257.25	橙橙2易伤1攻速	1敌人爆炸2技能点3加一4攻速5最后敌人69核7a易伤8爆破对壮
6	23181 48272	   	257.25	橙橙2易伤1攻速	1敌人爆炸2技能点3加一4攻速5最后敌人69核7导弹对黄8a易伤
7	23117 46272	   	257.15	橙橙2易伤1攻速	1敌人爆炸2技能点3加一4a易伤5攻速69核7挖尘8爆破对壮
8	42331 51313	   	253.11	橙橙2易伤1平台1卖塔	1平台2a易伤3双倍矿4挖尘5双倍秒伤6额外掉落7卖塔89核
9	33354 22122	   	249.98	橙橙1易伤1矿等2时间	1挖青2低血量敌人3易伤48时间5基地爆炸6雷电7矿等9a核
10	33623 53122	   	249.88	橙橙1易伤1矿等2时间	1挖青2低血量敌人3矿等4挖尘58时间6雷电7易伤9a核
11	21614 32151	   	244.79	橙橙1易伤1矿等1平台	1敌人爆炸2低血量敌人3矿等4易伤5平台6雷电7双倍秒伤8最后敌人9a核
12	33614 32151	   	244.69	橙橙1易伤1矿等1平台	1挖青2低血量敌人3矿等4易伤5平台6雷电7双倍秒伤8最后敌人9a核
13	54323 21522	   	244.00	橙橙2易伤	15立即金币2雷电36低血量敌人46易伤6序列升级7赏金邻近8金币生成9a核
14	25223 21522	   	243.90	橙橙2易伤	16敌人爆炸2雷电3激光减费46易伤5立即金币6序列升级7赏金邻近8金币生成9a核
15	21424 53112	   	243.80	橙橙2易伤	19敌人爆炸2低血量敌人3双倍秒伤4金币生成58易伤6雷电7a核
16	21424 53122	   	243.80	橙橙2易伤	1敌人爆炸2低血量敌人3双倍秒伤4金币生成58易伤69雷电7a核
17	25223 61522	   	243.80	橙橙2易伤	1敌人爆炸2雷电3激光减费46易伤5立即金币7赏金邻近8金币生成9a核
18	21154 33112	   	243.70	橙橙2易伤	19敌人爆炸2低血量敌人3掉矿4双倍秒伤58易伤6雷电7a核
19	21154 33122	   	243.70	橙橙2易伤	1敌人爆炸2低血量敌人3掉矿4双倍秒伤58易伤69雷电7a核
20	21154 33152	   	243.70	橙橙2易伤	1敌人爆炸29低血量敌人3掉矿4双倍秒伤58易伤6雷电7a核
21	51124 33522	   	243.70	橙橙2易伤	1立即金币2技能点35易伤4赏金塔6金币生成7掉矿8雷电9a核
22	54332 23132	   	243.70	橙橙2易伤	1立即金币2雷电3低血量敌人4赏金塔58易伤69掉矿7a核
23	23134 65284	   	243.60	橙橙2易伤	1敌人爆炸2技能点3加一4金币生成5激光对绿6赏金塔78核9a易伤
24	23136 35284	   	243.60	橙橙2易伤	1敌人爆炸2技能点3加一4金币生成5赏金塔6基础对冰78核9a易伤
25	51124 51222	   	243.60	橙橙2易伤	1立即金币2技能点35易伤4赏金塔6雷电78挖尘9a核
26	51124 51322	   	243.60	橙橙2易伤	1立即金币28技能点35易伤4赏金塔6雷电7挖尘9a核
27	23117 43584	 * 	243.50	橙橙1易伤2攻速	1敌人爆炸2技能点3加一4易伤58攻速6a核7赏金塔9掉矿
28	21116 44132	   	243.43	橙橙1易伤1矿等	1敌人爆炸2低血量敌人3掉矿4易伤5矿等6a核7时间8雷电9等级
29	33354 22322	   	243.43	橙橙1易伤1矿等	1挖青28低血量敌人3易伤4时间5基地爆炸6雷电7矿等9a核
30	33354 22422	   	243.43	橙橙1易伤1矿等	1挖青2低血量敌人3易伤4时间58基地爆炸6雷电7矿等9a核
31	33326 44122	   	243.33	橙橙1易伤1矿等	1挖青2低血量敌人3易伤4金币生成5矿等6a核7时间8雷电9掉矿
32	33623 53322	   	243.33	橙橙1易伤1矿等	1挖青28低血量敌人3矿等4挖尘5时间6雷电7易伤9a核
33	33623 53522	   	243.33	橙橙1易伤1矿等	1挖青2低血量敌人3矿等4挖尘5时间68雷电7易伤9a核
34	22345 14311	 * 	242.27	橙橙1伤害1矿等1全技能1平台1策反	19敌人爆炸2全技能3矿等4伤害5平台6策反7低血量敌人8a核
35	22345 15311	 * 	242.27	橙橙1伤害1矿等1全技能1平台1策反	19敌人爆炸2全技能3矿等4伤害5平台6策反7最后敌人8a核
36	42331 51315	   	240.56	橙橙1易伤1攻速1平台1卖塔	1平台2易伤3双倍矿4挖尘5双倍秒伤6额外掉落7卖塔89核a攻速
37	23117 41271	   	237.98	橙橙1易伤1攻速	1敌人爆炸2技能点3加一4易伤5攻速69核7低血量敌人8爆破对壮a核弹
38	23148 72271	   	237.98	橙橙1易伤1攻速	1敌人爆炸2技能点3加一4喷火对黄5低血量敌人6易伤79核8攻速a核弹
39	23181 44271	   	237.98	橙橙1易伤1攻速	1敌人爆炸2技能点3加一4攻速5最后敌人69核7易伤8爆破对壮a核弹
40	23181 48271	   	237.98	橙橙1易伤1攻速	1敌人爆炸2技能点3加一4攻速5最后敌人69核7导弹对黄8易伤a核弹
41	23117 46271	   	237.88	橙橙1易伤1攻速	1敌人爆炸2技能点3加一4易伤5攻速69核7挖尘8爆破对壮a核弹
42	64213 11215	 * 	236.70	橙橙2伤害1暴击	1掉矿2赏金塔3暴击4赏金邻近5a伤害6金币生成79核8毒液对冰
