0	Index      	 *	Score 	Summary	Detail	
1	43623 32513	 * 	281.93	橙橙2易伤1伤害1平台	1基地爆炸2平台34易伤5低血量敌人6雷电7时间8a核9伤害
2	46232 22354	 * 	270.90	橙橙3伤害1易伤	1基地爆炸289伤害3加一4易伤5技能6a核7等级
3	54232 22354	   	270.90	橙橙3伤害1易伤	189伤害2基地爆炸3加一4易伤5技能6a核7等级
4	26232 22354	   	270.80	橙橙3伤害1易伤	1挖尘289伤害3加一4易伤5技能6a核7等级
5	26232 27354	   	270.80	橙橙3伤害1易伤	1挖尘289伤害3加一4易伤5技能6a核7金币生成
6	12234 22513	   	264.85	橙橙1易伤1伤害1矿等1平台	1掉矿2敌人爆炸3平台4雷电5最后敌人6易伤7矿等8a核9伤害
7	26274 62311	   	264.80	橙橙2伤害1易伤1平台	1挖尘26伤害3加一4赏金塔5平台79核8易伤a雷电
8	26274 62313	   	264.80	橙橙2伤害1易伤1平台	1挖尘26伤害3加一4赏金塔5平台79核8易伤a敌人爆炸
9	26274 62312	   	264.70	橙橙2伤害1易伤1平台1挖怪	1挖尘26伤害3加一4赏金塔5平台79核8易伤a挖怪
10	26274 62314	   	264.70	橙橙2伤害1易伤1平台	1a挖尘26伤害3加一4赏金塔5平台79核8易伤
11	26225 23243	   	263.66	橙橙2易伤1伤害	1挖尘2伤害3加一4敌人爆炸58易伤6基地爆炸7技能点9a核
12	15232 36843	   	260.98	橙橙2易伤1矿等1策反	1掉矿2低血量敌人3加一47易伤5策反6矿等8a核9金币生成
13	41232 36813	   	260.98	橙橙2易伤1矿等1策反	1基地爆炸2金币生成3加一47易伤5策反6矿等8a核9掉矿
14	41235 12823	   	257.45	橙橙2易伤1攻速	1基地爆炸2金币生成3加一45易伤67低血量敌人8a核9攻速
15	41235 21823	   	257.45	橙橙2易伤1攻速	16基地爆炸2金币生成3加一45易伤7敌人爆炸8a核9攻速
16	41235 34823	   	257.45	橙橙2易伤1攻速	17基地爆炸2金币生成3加一45易伤6敌人爆炸8a核9攻速
17	43613 32513	   	255.72	橙橙1易伤1伤害1平台	15基地爆炸2平台3易伤4最后敌人6雷电7时间8a核9伤害
18	46218 11223	   	255.09	橙橙1易伤1伤害1矿等	1基地爆炸2伤害3加一4双倍秒伤5易伤6矿等7a核8双倍矿9敌人爆炸
19	46233 11223	   	255.09	橙橙1易伤1伤害1矿等	1基地爆炸2伤害3加一4易伤5双倍秒伤6矿等7a核8双倍矿9敌人爆炸
