0	Index      	 *	Score 	Summary	Detail	
1	64113 15331	 * 	322.39	紫3雷电2矿等3易伤1喷火对甲	1核28矿等3喷火对甲489雷电5最后敌人6敌人爆炸78a易伤8序列升级
2	64111 33331	 * 	318.84	紫3雷电2矿等2喷火对甲2易伤	1核28矿等38喷火对甲49a雷电5加一6基地爆炸78易伤8序列升级
3	64111 64414	   	304.02	紫2雷电3易伤1喷火对甲1矿等1核弹	1核2矿等3喷火对甲49雷电5加一678易伤a核弹
4	64113 15313	   	296.45	紫2雷电2矿等3易伤1喷火对甲	1核28矿等3喷火对甲48雷电5最后敌人6敌人爆炸78a易伤8序列升级9低血量敌人
5	64113 15321	   	296.45	紫2雷电2矿等3易伤1喷火对甲	1核28矿等3喷火对甲48雷电5最后敌人6敌人爆炸78a易伤8序列升级9等级
6	64111 34247	   	296.30	紫2雷电2矿等3易伤1喷火对甲	1核29矿等3喷火对甲49雷电5加一6基地爆炸7低血量敌人89a易伤9序列升级
7	43313 62612	 * 	294.87	橙2雷电2易伤2伤害1矿等1攻速	1基地爆炸2a伤害3敌人爆炸4矿等5平台6a雷电7核8攻速9a易伤a序列升级
8	31343 13266	 * 	293.83	紫2雷电2易伤2伤害1矿等2暴击1攻速	19暴击2核3攻速49伤害5矿等6a易伤7平台89雷电9序列升级
9	64111 34242	   	293.18	紫2雷电2矿等2易伤1喷火对甲1伤害	1核29矿等3喷火对甲49雷电5加一6基地爆炸7低血量敌人89易伤9序列升级a伤害
10	64111 71242	   	293.18	紫2雷电2矿等2易伤1喷火对甲1伤害	1核29矿等3喷火对甲49雷电5加一6低血量敌人7基地爆炸89易伤9序列升级a伤害
11	64111 63414	   	292.88	紫2雷电2矿等2易伤1喷火对甲1核弹	1核27矿等3喷火对甲49雷电5加一68易伤a核弹
