0	Index      	 *	Score 	Summary	Detail	
1	61244 28151	 * 	268.79	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2TLV|35VULN|4LIT|6BEXP|7aRCR|8TBNT|9DUR
2	64224 42436	 * 	266.69	DCR|DCR|2VULN|2DMG	1MBVNT|2MDPS|38FEWX|4ZMB|5TBNT|68VULN|78DMG|8BPWR|9aRCR
3	61643 31271	 * 	265.58	DCR|DCR|2VULN|2TLV	1MBVNT|27TLV|3AETHUN|4LIT|57FEWX|67VULN|7BPWR|8aRCR|9BBNT
4	32131 25251	 * 	264.73	DCR|DCR|3VULN|1DUR|1AAC	1BEXP|2BLASTR|3DUR|4BBNT|56aVULN|79RCR|8AAC
5	35331 25251	   	264.73	DCR|DCR|3VULN|1DUR|1AAC	1BEXP|2DUR|3AIRBOS|4BBNT|56aVULN|79RCR|8AAC
6	31214 32154	 * 	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|3VULN|4LHND|5RMIN|6DUR|79RCR|8CANARM|aTLV
7	32131 25254	   	258.20	DCR|DCR|2VULN|1MLV|1DUR|1AAC	1BEXP|2BLASTR|3DUR|4BBNT|56VULN|79RCR|8AAC|aMLV
8	55311 35121	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1RPLT|2AEFRZ|3DUST|49VULN|5CDMG|6BELT|78RCR|aDUR
9	61247 25231	   	255.34	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|35VULN|45LIT|5BPWR|678BEXP|9aRCR
10	61247 28121	   	255.24	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|35VULN|45LIT|5BPWR|6BEXP|7aRCR|8TBNT|9LWND
11	61244 25231	   	255.24	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|35VULN|4LIT|678BEXP|9aRCR
12	61283 23131	   	255.24	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|37VULN|458LWND|6LIT|9aRCR
13	61744 73131	   	255.24	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|368LWND|4LIT|57VULN|9aRCR
14	61244 28121	   	255.14	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|35VULN|4LIT|6BEXP|7aRCR|8TBNT|9LWND
15	61244 28161	   	255.14	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|35VULN|4LIT|6BEXP|7aRCR|8TBNT|9LHND
16	61247 28141	   	255.14	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|35VULN|45LIT|5BPWR|6BEXP|7aRCR|8TBNT|9DUST
17	61148 32831	   	255.04	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|3DUST|4TBNT|5BOSS|68VULN|7FEWX|9aRCR
18	61243 63831	   	255.04	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|38VULN|4LIT|5FEWX|6TBNT|7DUST|9aRCR
19	61244 28141	   	255.04	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|35VULN|4LIT|6BEXP|7aRCR|8TBNT|9DUST
20	61462 24831	   	255.04	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|3RCVC|4TBNT|5MDPS|68VULN|7LIT|9aRCR
21	61644 34271	   	255.04	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|3AETHUN|4LIT|56VULN|7FEWX|8aRCR|9BBNT
22	36331 25251	   	251.08	DCR|DCR|3VULN|1AAC	1BEXP|2LHND|3AIRBOS|4BBNT|56aVULN|79RCR|8AAC
23	34331 25251	   	250.98	DCR|DCR|3VULN|1AAC	1BEXP|2DUST|3AIRBOS|4BBNT|56aVULN|79RCR|8AAC
24	31252 22154	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1BEXP|2DMG|3VULN|4AME|5LHND|6LWND|79RCR|8VENICY|aTLV
25	61226 82313	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2TLV|3VULN|4RPLT|5MDPS|6DMG|7RAT|8aRCR|9FEWX
26	31251 22154	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1BEXP|2DMG|3VULN|4AME|5AETHUN|6LWND|79RCR|8BLASTR|aTLV
27	61226 82343	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2TLV|3VULN|4RPLT|5MDPS|6DMG|7RAT|8aRCR|9DUST
28	23413 26136	 * 	247.43	ACR|DCR|2VULN|2DUR|1TLV	1RAT|2aRCR|34VULN|59DUR|6BEXP|7TLV|8AETHUN
29	23213 53236	   	247.33	ACR|DCR|2VULN|2DUR|1TLV	1RAT|2aRCR|3MDPS|49DUR|5TLV|6AEWIND|78VULN
30	61811 38341	 * 	245.73	DCR|DCR|3TLV|1VULN	1MBVNT|238TLV|3BPWR|4BOSS|5BBNT|6RCVC|7aRCR|9VULN
31	61842 35131	   	245.73	DCR|DCR|3TLV|1VULN	1MBVNT|235TLV|3BPWR|4VULN|68LIT|7BBNT|9aRCR
32	61842 38221	   	245.73	DCR|DCR|3TLV|1VULN	1MBVNT|235TLV|3BPWR|4VULN|6LIT|7aRCR|8MDPS|9LWND
33	61842 38241	   	245.63	DCR|DCR|3TLV|1VULN	1MBVNT|235TLV|3BPWR|4VULN|6LIT|7aRCR|8MDPS|9DUST
34	61845 32113	 * 	245.18	DCR|3VULN|2TLV|1DMG|1MLV	1MBVNT|23TLV|3BPWR|49aVULN|5DMG|6MLV|7ASPD|8RCR
35	22322 35616	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	15RAT|2TLV|3MLV|4BEXP|6FEWX|7aRCR|8VULN|9ERES
36	61326 44131	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2TLV|3LHND|4MLV|5BOSS|6BBNT|7RMIN|8VULN|9aRCR
37	63326 45131	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2CGEN|3LHND|4MLV|5BOSS|6TBNT|7TLV|8VULN|9aRCR
38	12323 65251	   	244.44	DCR|DCR|2VULN|1MLV|1AAC	1ERES|2BASICY|3BEXP|4MLV|5TBNT|6aVULN|79RCR|8AAC
39	32223 65251	   	244.44	DCR|DCR|2VULN|1MLV|1AAC	1BEXP|2BLASTR|3ERES|4MLV|5TBNT|6aVULN|79RCR|8AAC
40	61244 71348	 * 	244.32	DCR|3VULN|2TLV|2MLV|1AART	1MBVNT|2aTLV|35aVULN|4LIT|6LHND|7AART|8aMLV|9RCR|aBPWR
41	32131 25252	   	242.59	DCR|DCR|2VULN|1DUR|1AAC	1BEXP|2BLASTR|3DUR|4BBNT|56VULN|79RCR|8AAC|aZMB
42	32131 25253	   	242.59	DCR|DCR|2VULN|1DUR|1AAC	1BEXP|2BLASTR|3DUR|4BBNT|56VULN|79RCR|8AAC|aLHND
43	32131 25256	   	242.59	DCR|DCR|2VULN|1DUR|1AAC	1BEXP|2BLASTR|3DUR|4BBNT|56VULN|79RCR|8AAC|aRPLT
44	35331 25252	   	242.59	DCR|DCR|2VULN|1DUR|1AAC	1BEXP|2DUR|3AIRBOS|4BBNT|56VULN|79RCR|8AAC|aZMB
45	35331 25253	   	242.59	DCR|DCR|2VULN|1DUR|1AAC	1BEXP|2DUR|3AIRBOS|4BBNT|56VULN|79RCR|8AAC|aLHND
46	55311 35122	   	242.59	DCR|DCR|2VULN|1CDMG	1RPLT|2AEFRZ|3DUST|49VULN|5CDMG|6BELT|78RCR|aZMB
47	55311 35123	   	242.59	DCR|DCR|2VULN|1CDMG	1RPLT|2AEFRZ|3DUST|49VULN|5CDMG|6BELT|78RCR|aLHND
48	16211 12154	   	242.59	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1ERES|2DUR|3VULN|4LHND|5BEXP|6AAC|79RCR|8VENICY|aTLV
49	61243 18831	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|4LIT|5FEWX|6MDPS|7DUR|8LWND|9aRCR
50	61243 65131	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|48LIT|5FEWX|6TBNT|7DUR|9aRCR
51	61246 24731	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|4LIT|5MDPS|6LHND|7LWND|8DUR|9aRCR
52	61263 21381	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1MBVNT|2TLV|3VULN|4AME|5CGEN|6LIT|7AART|8BOSS|9aRCR
53	61272 11831	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|4DUR|5BOSS|6MDPS|7LHND|8LWND|9aRCR
54	61272 48221	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|4DUR|5BOSS|6BEXP|7aRCR|8MDPS|9LWND
55	61272 48321	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|4DUR|5BOSS|69BEXP|7aRCR|8TBNT
56	61282 11731	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|4LWND|5BOSS|6MDPS|7LHND|8DUR|9aRCR
57	61373 43172	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1MBVNT|2TLV|3LHND|4AIRBOS|5RMIN|69RCR|7VULN|8AART|aBOSS
58	61373 43362	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3LHND|4AIRBOS|5RMIN|69RCR|7VULN|8DUR|aRPLT
