0	Index      	 *	Score 	Summary	Detail	
1	16346 82212	 * 	246.32	ACR|DCR|2VULN|2DMG|1CDMG	1AEFRZ|2MBVNT|3aRCR|46DMG|5CDMG|78VULN|9RPLT
2	31523 33266	 * 	242.29	DCR|DCR|1VULN|2DUR|1AART	1ERES|24DUR|3VULN|5TBNT|6AART|7aRCR|8DUST|9LSRICY
3	24521 34133	 * 	239.07	ACR|DCR|2TLV|1VULN|1DMG|1DUR	1DUST|2aTLV|3VULN|4DUR|59RCR|6LHND|7DMG|8ERES
4	21521 34141	 * 	236.83	ACR|DCR|2VULN|2DUR|1MLV	17DUST|2MLV|37VULN|47DUR|59RCR|6BBNT|7BPWR|8BEXP|aLWND
5	21521 34143	   	236.83	ACR|DCR|2VULN|2DUR|1MLV	17DUST|2MLV|37VULN|47DUR|59RCR|6BBNT|7BPWR|8BEXP|aRPLT
6	21521 34142	   	236.73	ACR|DCR|2VULN|2DUR|1MLV	17DUST|2MLV|37VULN|47DUR|59RCR|6BBNT|7BPWR|8BEXP|aSPLARM
7	21161 64133	   	235.72	ACR|DCR|2DMG|1VULN|1MLV|1DUR	1DUST|2MLV|3LWND|4VULN|59RCR|6DUR|7aDMG|8ERES
8	33135 25332	 * 	234.30	DCR|DCR|2DMG|2DUR	1ERES|25DMG|35DUR|4BBNT|5BPWR|6AEWIND|79RCR|8AME|aLHND
9	33135 25336	   	234.30	DCR|DCR|2DMG|2DUR	1ERES|25DMG|35DUR|4BBNT|5BPWR|6AEWIND|79RCR|8AME|aBEXP
10	33135 45332	   	234.30	DCR|DCR|2DMG|2DUR	16ERES|25DMG|35DUR|4BBNT|5BPWR|79RCR|8AME|aLHND
11	33135 25331	   	234.20	DCR|DCR|2DMG|2DUR|1SELL	1ERES|25DMG|35DUR|4BBNT|5BPWR|6AEWIND|79RCR|8AME|aSELL
12	33135 25333	   	234.20	DCR|DCR|2DMG|2DUR	1ERES|25DMG|35DUR|4BBNT|5BPWR|6AEWIND|79RCR|8aAME
13	33135 25335	   	234.20	DCR|DCR|2DMG|2DUR	1ERES|25DMG|35DUR|4BBNT|5BPWR|6AEWIND|79RCR|8AME|aLEGI
14	33135 45331	   	234.20	DCR|DCR|2DMG|2DUR|1SELL	16ERES|25DMG|35DUR|4BBNT|5BPWR|79RCR|8AME|aSELL
15	33135 45333	   	234.20	DCR|DCR|2DMG|2DUR	16ERES|25DMG|35DUR|4BBNT|5BPWR|79RCR|8aAME
16	24325 21724	 * 	230.56	DCR|DCR|1TLV|1DMG|1DUR	1DUST|2TLV|3RAT|4CGEN|5MBVNT|6DUR|7BELT|8aRCR|9DMG
17	24335 21724	   	230.46	DCR|DCR|1TLV|1DMG|1DUR	1DUST|2TLV|3RAT|4ERES|5MBVNT|6DUR|7BELT|8aRCR|9DMG
18	33416 15112	   	230.46	DCR|DCR|1TLV|1DMG|1DUR	1ERES|2DMG|3MGNBOS|4RAT|5TLV|6BELT|7DUR|8FLTHEA|9aRCR
19	33416 15212	   	230.46	DCR|DCR|1TLV|1DMG|1DUR	1ERES|2DMG|3MGNBOS|4RAT|5TLV|6BELT|7DUR|8SPLJET|9aRCR
20	21161 26236	 * 	229.95	ACR|DCR|1VULN|2MLV|1TLV	1DUST|2aMLV|3LWND|4VULN|59RCR|6TLV|7CGEN|8ASPD
