0	Index      	 *	Score 	Summary	Detail	
1	12126 46138	 * 	257.76	DCR|DCR|1TLV|1DMG|1DUR|1AART|1CDMG	1ERES|2CDMG|3AEWIND|4DMG|5MBVNT|6TLV|7aRCR|8DUR|9AART
2	23223 12623	 * 	255.48	ACR|4VULN|2FLTARM|1TLV|1MLV|1AAC	1489VULN|2RCR|349CGEN|49BPWR|5TLV|6MLV|79FLTARM|aAAC
3	23163 12623	   	255.38	ACR|4VULN|2FLTARM|1TLV|1MLV|1AAC	1389VULN|2RCR|49CGEN|5TLV|6MLV|79FLTARM|9BPWR|aAAC
4	23233 12623	   	255.38	ACR|4VULN|2FLTARM|1TLV|1MLV|1AAC	1489VULN|2RCR|39CGEN|5TLV|6MLV|79FLTARM|9BPWR|aAAC
5	23433 12623	   	255.18	ACR|4VULN|2FLTARM|1TLV|1MLV|1AAC	1489VULN|2RCR|39AME|5TLV|6MLV|79FLTARM|9BPWR|aAAC
6	25153 51313	 * 	255.14	DCR|DCR|2VULN|2DUR	16VULN|25FEWX|3RAT|46DUR|6BPWR|7aRCR|8SNIFST|9TBNT
7	33131 64512	 * 	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1FEWX|27RCR|38VULN|4TLV|5DUR|6RPLT|9BBNT|aDMG
8	23423 12624	   	252.53	ACR|4VULN|2FLTARM|1TLV|1MLV|1NUKE	1489VULN|2RCR|349AME|49BPWR|5TLV|6MLV|79FLTARM|aNUKE
9	23111 56533	   	249.42	ACR|DCR|2VULN|1DMG|1DUR|1AART	13VULN|2aRCR|4DUR|5AART|6TBNT|7DMG|8FEWX|9ASPD
10	23111 36633	   	249.32	ACR|DCR|2VULN|1DMG|1DUR|1AART	13VULN|2aRCR|4DUR|5AART|6DUST|7BBNT|8ASPD|9DMG
11	23111 56433	   	249.32	ACR|DCR|2VULN|1DMG|1DUR|1AART	13VULN|2aRCR|4DUR|5AART|6TBNT|7DMG|8DUST|9ASPD
12	33121 64362	   	248.72	ACR|DCR|2VULN|1TLV|1DUR|1CDMG	1FEWX|27RCR|3aVULN|4RMIN|5DUR|6RPLT|8CDMG|9TLV
13	33131 64523	 * 	247.28	ACR|DCR|2VULN|2DUR|1TLV|1SELL	1FEWX|27RCR|38VULN|4TLV|5aDUR|6RPLT|9SELL
14	33131 64323	 * 	246.42	ACR|DCR|3DUR|1VULN|1TLV|1CDMG	1FEWX|27RCR|3VULN|4TLV|59aDUR|6RPLT|8CDMG
15	33131 64363	 * 	245.31	ACR|DCR|2TLV|1VULN|2DUR|1CDMG	1FEWX|27RCR|3VULN|49TLV|5aDUR|6RPLT|8CDMG
16	53421 11333	 * 	245.23	ACR|DCR|2DUR|1FLTARM|1TLV|1MSLTOX|1CDMG	19DUR|28RCR|3TLV|4MSLTOX|5LSRREG|6CDMG|7BEXP|aFLTARM
17	25114 31313	   	244.54	DCR|DCR|2VULN|1MLV	15VULN|2FEWX|3RAT|4MLV|6RMIN|7aRCR|8CANTOX|9TBNT
18	33423 61322	 * 	244.41	ACR|ACR|2VULN|1TLV|1DMG|1MSLTOX|1CDMG	1FEWX|25RCR|3TLV|4MSLTOX|6CDMG|7ASPD|8DMG|9aVULN
19	12126 46218	   	244.11	DCR|DCR|1TLV|1DMG|1AART|1CDMG	1ERES|2CDMG|3AEWIND|4DMG|5MBVNT|6TLV|7aRCR|8AART|9BEXP
20	12126 46438	   	244.01	DCR|DCR|1TLV|1DMG|1AART|1CDMG	1ERES|2CDMG|3AEWIND|4DMG|5MBVNT|6TLV|7aRCR|8DUST|9AART
21	25153 41313	   	242.59	DCR|DCR|2VULN|1DUR	16VULN|25FEWX|3RAT|4DUR|7aRCR|8SNIFST|9TBNT
22	33131 64332	   	242.58	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|27RCR|3VULN|4TLV|5DUR|6RPLT|8CDMG|9LIT|aDMG
23	23111 56113	   	242.48	ACR|DCR|2VULN|1DMG|1DUR|1AART|1AAC	13VULN|2aRCR|4DUR|5AART|6TBNT|7DMG|8AAC|9FEWX
24	23111 56163	   	242.48	ACR|DCR|2VULN|1DMG|1DUR|1AART|1AAC	13VULN|2aRCR|4DUR|5AART|6TBNT|7DMG|8AAC|9LWND
25	53163 25133	   	242.48	ACR|DCR|2VULN|1DMG|1DUR|1AART	1DUR|2aRCR|39VULN|4TBNT|5BEXP|6ZMB|7AART|8DMG
26	53263 25133	   	242.48	ACR|DCR|2VULN|1DMG|1DUR|1AART	1DUR|2aRCR|3TBNT|49VULN|5BEXP|6ZMB|7AART|8DMG
27	23213 12622	 * 	242.43	ACR|3VULN|2FLTARM|1TLV|1DMG|1MLV	189VULN|2RCR|3CGEN|49AEWIND|5TLV|6MLV|79FLTARM|9BPWR|aDMG
28	23413 12622	   	242.33	ACR|3VULN|2FLTARM|1TLV|1DMG|1MLV	189VULN|2RCR|3AME|49AEFRZ|5TLV|6MLV|79FLTARM|9BPWR|aDMG
29	23223 12621	   	241.83	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|349CGEN|49BPWR|5TLV|6MLV|79FLTARM|aLIT
30	23223 12625	   	241.83	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|349CGEN|49BPWR|5TLV|6MLV|79FLTARM|aRAT
31	23163 12621	   	241.73	ACR|4VULN|2FLTARM|1TLV|1MLV	1389VULN|2RCR|49CGEN|5TLV|6MLV|79FLTARM|9BPWR|aLIT
32	23163 12625	   	241.73	ACR|4VULN|2FLTARM|1TLV|1MLV	1389VULN|2RCR|49CGEN|5TLV|6MLV|79FLTARM|9BPWR|aRAT
33	23223 12622	   	241.73	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|349CGEN|49BPWR|5TLV|6MLV|79FLTARM|aERES
34	23223 12624	   	241.73	ACR|4VULN|2FLTARM|1TLV|1MLV|1SELL	1489VULN|2RCR|349CGEN|49BPWR|5TLV|6MLV|79FLTARM|aSELL
35	23223 12626	   	241.73	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|349CGEN|49BPWR|5TLV|6MLV|79FLTARM|aDUST
36	23233 12621	   	241.73	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|39CGEN|5TLV|6MLV|79FLTARM|9BPWR|aLIT
37	23233 12625	   	241.73	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|39CGEN|5TLV|6MLV|79FLTARM|9BPWR|aRAT
38	23163 12622	   	241.63	ACR|4VULN|2FLTARM|1TLV|1MLV	1389VULN|2RCR|49CGEN|5TLV|6MLV|79FLTARM|9BPWR|aERES
39	23163 12624	   	241.63	ACR|4VULN|2FLTARM|1TLV|1MLV|1SELL	1389VULN|2RCR|49CGEN|5TLV|6MLV|79FLTARM|9BPWR|aSELL
40	23163 12626	   	241.63	ACR|4VULN|2FLTARM|1TLV|1MLV	1389VULN|2RCR|49CGEN|5TLV|6MLV|79FLTARM|9BPWR|aDUST
41	23233 12622	   	241.63	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|39CGEN|5TLV|6MLV|79FLTARM|9BPWR|aERES
42	23233 12624	   	241.63	ACR|4VULN|2FLTARM|1TLV|1MLV|1SELL	1489VULN|2RCR|39CGEN|5TLV|6MLV|79FLTARM|9BPWR|aSELL
43	23233 12626	   	241.63	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|39CGEN|5TLV|6MLV|79FLTARM|9BPWR|aDUST
44	23423 12622	   	241.53	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|349AME|49BPWR|5TLV|6MLV|79FLTARM|aFEWX
45	23423 12623	   	241.53	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|349AME|49BPWR|5TLV|6MLV|79FLTARM|aLHND
46	23433 12621	   	241.53	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|39AME|5TLV|6MLV|79FLTARM|9BPWR|aLIT
47	23433 12625	   	241.53	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|39AME|5TLV|6MLV|79FLTARM|9BPWR|aRAT
48	23423 12621	   	241.43	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|349AME|49BPWR|5TLV|6MLV|79FLTARM|aDUST
49	23433 12622	   	241.43	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|39AME|5TLV|6MLV|79FLTARM|9BPWR|aERES
