0	Index      	 *	Score 	Summary	Detail	
1	55532 33321	 * 	270.69	DCR|DCR|2DMG|1TLV|1MLV|1AART	15DMG|2MBVNT|35MULHEA|4AART|5BPWR|6MLV|7aRCR|8ASPD|9TLV
2	21325 33122	 * 	262.75	DCR|DCR|2VULN|1DMG|1AART	19VULN|2LHND|3LWND|4AART|5DMG|6CGEN|7aRCR|8TBNT
3	21325 33422	   	262.75	DCR|DCR|2VULN|1DMG|1AART	19VULN|2LHND|3LWND|4AART|5DMG|6CGEN|7aRCR|8BBNT
4	21325 53122	   	262.65	DCR|DCR|2VULN|1DMG|1AART	19VULN|2LHND|3LWND|4AART|5DMG|6AME|7aRCR|8TBNT
5	21325 53422	   	262.65	DCR|DCR|2VULN|1DMG|1AART	19VULN|2LHND|3LWND|4AART|5DMG|6AME|7aRCR|8BBNT
6	26161 31532	   	262.45	DCR|DCR|2VULN|1DMG|1AART	19VULN|2AME|3MDPS|4BBNT|5AART|6aRCR|7AEFBLL|8DMG
7	52553 22322	 * 	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2DUST|3aRCR|4AART|5LWND|69VULN|7TBNT|8TLV
8	55534 33321	   	253.00	DCR|DCR|1TLV|1DMG|1MLV|1AART	1DMG|2MBVNT|3MULHEA|4AART|5AEWIND|6MLV|7aRCR|8ASPD|9TLV
9	55143 13312	   	250.00	DCR|DCR|1VULN|1DMG|1AART|1CDMG	1DMG|2MBVNT|3MDPS|4DUST|5AART|6VULN|7aRCR|8CDMG|9RPLT
10	23416 16131	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1VULN|2AETHUN|3CDMG|4DMG|5DUR|6MULHEA|7BBNT|8VENTOX|9aRCR
11	23416 14211	   	249.90	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1VULN|2AETHUN|3CDMG|4DMG|5DUR|6MULHEA|7aRCR|8CANSTR|9TBNT
12	21323 33122	   	249.63	DCR|DCR|2VULN|1AART	19VULN|2LHND|3LWND|4AART|5ASPD|6CGEN|7aRCR|8TBNT
13	21323 33422	   	249.63	DCR|DCR|2VULN|1AART	19VULN|2LHND|3LWND|4AART|5ASPD|6CGEN|7aRCR|8BBNT
14	21323 53122	   	249.53	DCR|DCR|2VULN|1AART	19VULN|2LHND|3LWND|4AART|5ASPD|6AME|7aRCR|8TBNT
15	21323 53422	   	249.53	DCR|DCR|2VULN|1AART	19VULN|2LHND|3LWND|4AART|5ASPD|6AME|7aRCR|8BBNT
16	12267 26334	   	242.59	DCR|DCR|2VULN|1DUR	1RAT|2MBVNT|3aVULN|4LWND|5TBNT|67RCR|8DUR|9BELT
17	12268 26334	   	242.59	DCR|DCR|2VULN|1DUR	1RAT|2MBVNT|3aVULN|4LWND|5BBNT|67RCR|8DUR|9BELT
18	12267 26323	   	242.49	DCR|DCR|2VULN|1DUR	1RAT|2MBVNT|3aVULN|4LWND|5TBNT|67RCR|8DUR|9ERES
19	12268 26323	   	242.49	DCR|DCR|2VULN|1DUR	1RAT|2MBVNT|3aVULN|4LWND|5BBNT|67RCR|8DUR|9ERES
20	62553 22322	   	241.81	ACR|DCR|2VULN|1TLV|1AART	1ASPD|2DUST|3aRCR|4AART|5LWND|69VULN|7TBNT|8TLV
21	21413 33216	 * 	241.56	DCR|3VULN|1FLTARM|1DMG|1MLV|1CDMG	169VULN|2LHND|3CDMG|4DMG|5MBVNT|7FLTARM|8MLV|aRCR
22	23413 31216	   	241.46	DCR|3VULN|1FLTARM|1DMG|1MLV|1CDMG	169VULN|2AETHUN|3CDMG|4DMG|5MBVNT|7FLTARM|8MLV|aRCR
