0	Index      	 *	Score 	Summary	Detail	
1	22227 35431	 * 	270.55	DCR|DCR|1VULN|1FLTARM|1TLV|1MLV	1VULN|2MLV|378DUST|4MBVNT|5TLV|6aRCR|9FLTARM
2	43216 42133	 * 	258.03	DCR|DCR|1VULN|2MLV|1AART|1CDMG	12MLV|3AART|4MDPS|5CDMG|6BOSS|7RMIN|8aRCR|9VULN
3	43213 33131	 * 	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7TBNT|8VULN|aBELT
4	43213 33132	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7TBNT|8VULN|aLWND
5	43213 33133	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7TBNT|8VULN|aFEWX
6	43213 33135	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7TBNT|8VULN|aBEXP
7	43213 33136	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7TBNT|8VULN|aCGEN
8	43213 35331	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7VULN|8BBNT|aBELT
9	43213 35332	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7VULN|8BBNT|aLWND
10	43213 35333	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7VULN|8BBNT|aFEWX
11	43213 35335	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7VULN|8BBNT|aBEXP
12	43213 35336	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7VULN|8BBNT|aCGEN
13	43213 12331	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|6TBNT|7VULN|89RCR|aBELT
14	43213 12332	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|6TBNT|7VULN|89RCR|aLWND
15	43213 12333	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|6TBNT|7VULN|89RCR|aFEWX
16	43213 12335	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|6TBNT|7VULN|89RCR|aBEXP
17	43213 12336	   	256.74	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|6TBNT|7VULN|89RCR|aCGEN
18	43213 33134	   	256.64	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7TBNT|8VULN|aERES
19	43213 35334	   	256.64	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|69RCR|7VULN|8BBNT|aERES
20	43213 12334	   	256.64	DCR|DCR|1VULN|2MLV|2AART	12MLV|35AART|4MDPS|6TBNT|7VULN|89RCR|aERES
21	23154 53122	 * 	256.24	DCR|DCR|2VULN|1DUR|1CDMG	19VULN|2TBNT|3AME|4BOSS|5LHND|67RCR|8CDMG|aDUR
22	23553 53122	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	19VULN|2TBNT|3ERES|4BOSS|5LHND|67RCR|8CDMG|aDUR
23	23154 53321	 * 	255.14	DCR|DCR|2VULN|1TLV	1aVULN|2TBNT|3AME|4BOSS|5LHND|67RCR|8BELT|9TLV
24	23155 53321	   	255.14	DCR|DCR|2VULN|1TLV	1aVULN|2TBNT|3AME|4BOSS|5FEWX|67RCR|8BELT|9TLV
25	23553 53321	   	255.14	DCR|DCR|2VULN|1TLV	1aVULN|2TBNT|3ERES|4BOSS|5LHND|67RCR|8BELT|9TLV
26	25227 35431	   	254.94	DCR|DCR|1VULN|1FLTARM|1TLV	1VULN|2CGEN|378DUST|4MBVNT|5TLV|6aRCR|9FLTARM
27	22145 31122	 * 	249.73	DCR|4VULN|2TLV|2MLV	157aVULN|2aMLV|3DMSP|4MSLFST|6AEWIND|8aTLV|9RCR|aBPWR
28	22227 36643	 * 	246.97	DCR|4VULN|1TLV|1DMG|1MLV	179aVULN|2MLV|3DUST|4MBVNT|5TLV|6RCR|8DMG
29	26622 16112	 * 	245.54	DCR|3VULN|3DMG|2DUR	19aVULN|2MDPS|35DUR|49aDMG|69aDUST|7RCR|8BOSS|9aBPWR
30	22223 11748	   	244.44	DCR|DCR|2VULN|1MLV	19VULN|2MLV|3DUST|4MBVNT|5MGNBOS|6LIT|7BEXP|8aRCR
31	22223 13748	   	244.44	DCR|DCR|2VULN|1MLV	19VULN|2MLV|3DUST|4MBVNT|5MGNBOS|6LIT|7FEWX|8aRCR
32	44213 12331	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|6TBNT|7VULN|89RCR|aBELT
33	44213 12332	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|6TBNT|7VULN|89RCR|aLWND
34	44213 12333	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|6TBNT|7VULN|89RCR|aFEWX
35	44213 12335	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|6TBNT|7VULN|89RCR|aBEXP
36	44213 12336	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|6TBNT|7VULN|89RCR|aCGEN
37	44213 33131	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|69RCR|7TBNT|8VULN|aBELT
38	44213 33132	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|69RCR|7TBNT|8VULN|aLWND
39	44213 33133	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|69RCR|7TBNT|8VULN|aFEWX
40	44213 33135	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|69RCR|7TBNT|8VULN|aBEXP
41	44213 33136	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|69RCR|7TBNT|8VULN|aCGEN
42	44213 35331	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|69RCR|7VULN|8BBNT|aBELT
43	44213 35332	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|69RCR|7VULN|8BBNT|aLWND
44	44213 35333	   	244.44	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|69RCR|7VULN|8BBNT|aFEWX
45	44213 12334	   	244.34	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|6TBNT|7VULN|89RCR|aERES
46	44213 33134	   	244.34	DCR|DCR|1VULN|2AART|1MLV	1MLV|2DMSP|35AART|4MDPS|69RCR|7TBNT|8VULN|aERES
47	43212 12331	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|6TBNT|7VULN|89RCR|aBELT
48	43212 12332	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|6TBNT|7VULN|89RCR|aLWND
49	43212 12333	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|6TBNT|7VULN|89RCR|aFEWX
50	43212 12335	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|6TBNT|7VULN|89RCR|aBEXP
51	43212 12336	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|6TBNT|7VULN|89RCR|aCGEN
52	43212 33131	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7TBNT|8VULN|aBELT
53	43212 33132	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7TBNT|8VULN|aLWND
54	43212 33133	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7TBNT|8VULN|aFEWX
55	43212 33135	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7TBNT|8VULN|aBEXP
56	43212 33136	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7TBNT|8VULN|aCGEN
57	43212 35331	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7VULN|8BBNT|aBELT
58	43212 35332	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7VULN|8BBNT|aLWND
59	43212 35333	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7VULN|8BBNT|aFEWX
60	43212 35335	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7VULN|8BBNT|aBEXP
61	43212 35336	   	244.28	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7VULN|8BBNT|aCGEN
62	22227 38311	   	244.24	DCR|DCR|1VULN|1TLV|1MLV	1VULN|2MLV|3DUST|4MBVNT|5TLV|6aRCR|7BBNT|8CANSTR|9AETHUN
63	43212 12334	   	244.18	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|6TBNT|7VULN|89RCR|aERES
64	43212 33134	   	244.18	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7TBNT|8VULN|aERES
65	43212 35334	   	244.18	DCR|DCR|1VULN|2MLV|1AART	12MLV|3AART|4MDPS|5DMSP|69RCR|7VULN|8BBNT|aERES
66	23154 53133	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1VULN|2TBNT|3AME|4BOSS|5LHND|67RCR|8CDMG|9DUR|aAAC
67	23553 53133	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1VULN|2TBNT|3ERES|4BOSS|5LHND|67RCR|8CDMG|9DUR|aAAC
68	23154 53121	   	242.59	DCR|DCR|2VULN|1CDMG	19VULN|2TBNT|3AME|4BOSS|5LHND|67RCR|8CDMG|aFEWX
69	23553 53121	   	242.59	DCR|DCR|2VULN|1CDMG	19VULN|2TBNT|3ERES|4BOSS|5LHND|67RCR|8CDMG|aFEWX
70	23154 53123	   	242.49	DCR|DCR|2VULN|1CDMG|1MSE	19VULN|2TBNT|3AME|4BOSS|5LHND|67RCR|8CDMG|aMSE
71	23553 53123	   	242.49	DCR|DCR|2VULN|1CDMG|1MSE	19VULN|2TBNT|3ERES|4BOSS|5LHND|67RCR|8CDMG|aMSE
72	22227 36642	   	241.46	DCR|3VULN|1TLV|1DMG|1MLV|1DUR	179VULN|2MLV|3DUST|4MBVNT|5TLV|6RCR|8DMG|aDUR
