0	Index      	 *	Score 	Summary	Detail	
1	23621 32342	 * 	270.65	DCR|DCR|2VULN|1TLV|1MLV	1CGEN|24VULN|3ERES|5MLV|6TLV|7TBNT|8BBNT|9aRCR
2	34211 43242	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1BBNT|23VULN|4MDPS|5TLV|6FEWX|7CGEN|8DUR|9aRCR
3	34215 23242	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1BBNT|23VULN|4MDPS|5LWND|6TLV|7CGEN|8DUR|9aRCR
4	34231 43242	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1BBNT|23VULN|4TLV|5MDPS|6FEWX|7CGEN|8DUR|9aRCR
5	34211 53242	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1BBNT|23VULN|4MDPS|5TLV|6DUST|7CGEN|8DUR|9aRCR
6	34213 23242	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1BBNT|23VULN|4MDPS|5DUST|6TLV|7CGEN|8DUR|9aRCR
7	34231 53242	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1BBNT|23VULN|4TLV|5MDPS|6DUST|7CGEN|8DUR|9aRCR
8	31265 13342	 * 	265.58	DCR|DCR|2VULN|2TLV	1BBNT|23TLV|46CGEN|56VULN|6BPWR|7FEWX|8TBNT|9aRCR
9	34236 13342	   	265.58	DCR|DCR|2VULN|2TLV	1BBNT|23VULN|46TLV|56CGEN|6BPWR|7FEWX|8TBNT|9aRCR
10	34263 13342	   	265.58	DCR|DCR|2VULN|2TLV	1BBNT|23VULN|46CGEN|56TLV|6BPWR|7FEWX|8TBNT|9aRCR
11	23162 13242	   	258.19	DCR|DCR|2VULN|1MLV|1DUR	1CGEN|24VULN|3MDPS|5MLV|6TBNT|7LHND|8DUR|9aRCR
12	33562 23242	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1BBNT|2RMIN|3VULN|4MDPS|5MLV|6TLV|7CGEN|8DUR|9aRCR
13	22513 32442	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1CGEN|2ERES|3DUR|4MDPS|5TLV|6VULN|7MLV|8TBNT|9aRCR
14	34236 33342	   	255.14	DCR|DCR|2VULN|1TLV	1BBNT|23VULN|4TLV|5CGEN|6RCVC|7FEWX|8TBNT|9aRCR
15	34263 33342	   	255.14	DCR|DCR|2VULN|1TLV	1BBNT|23VULN|4CGEN|5TLV|6RCVC|7FEWX|8TBNT|9aRCR
16	34211 43342	   	255.04	DCR|DCR|2VULN|1TLV	1BBNT|23VULN|4MDPS|5TLV|6FEWX|7CGEN|8DUST|9aRCR
17	34215 23342	   	255.04	DCR|DCR|2VULN|1TLV	1BBNT|23VULN|4MDPS|5LWND|6TLV|7CGEN|8DUST|9aRCR
18	34231 43342	   	255.04	DCR|DCR|2VULN|1TLV	1BBNT|23VULN|4TLV|5MDPS|6FEWX|7CGEN|8DUST|9aRCR
19	42511 13263	 * 	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1RPLT|2DUR|3BEXP|4DMG|5LHND|6MDPS|7MLV|8aRCR|9VULN
20	15112 63234	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1LWND|2DMG|3MDPS|4CDMG|5BELT|6aRCR|7DLOT|8VULN|9MLV
21	32133 14165	   	251.38	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|2MLV|3ASPD|4ZMB|5TBNT|69RCR|7TLV|8AIRARM|aVULN
22	36321 55133	 * 	249.95	DCR|3VULN|2DMG|1TLV|2CDMG	1BBNT|2TBNT|37DMG|4LIT|57CDMG|678VULN|7BPWR|9TLV|aRCR
23	34255 12333	 * 	249.05	DCR|4VULN|2DMG|1TLV	1BBNT|2345VULN|6TLV|7RCR|8LWND|9aDMG
24	23233 52535	 * 	248.53	ACR|DCR|3DMG|1VULN|1TLV	18CGEN|2VULN|38LSRHEA|49RCR|5TLV|6BEXP|78aDMG|8BPWR
25	11331 13132	 * 	248.38	ACR|DCR|2VULN|3DUR|1MLV	1LWND|29VULN|3BEXP|4aRCR|567DUR|8MLV
26	11631 13132	   	248.38	ACR|DCR|2VULN|3DUR|1MLV	1LWND|29VULN|3FEWX|4aRCR|567DUR|8MLV
27	62331 43132	   	248.28	ACR|DCR|2VULN|3DUR|1MLV	1LEGI|257DUR|3BEXP|4aRCR|69VULN|8MLV
28	62631 43132	   	248.28	ACR|DCR|2VULN|3DUR|1MLV	1LEGI|257DUR|3FEWX|4aRCR|69VULN|8MLV
29	23233 52531	   	246.52	ACR|DCR|2DMG|1VULN|1TLV|1CDMG	18CGEN|2VULN|38LSRHEA|49RCR|5TLV|6BEXP|78DMG|8BPWR|aCDMG
30	11243 21263	 * 	245.54	DCR|3VULN|3DMG|1TLV	1LWND|269VULN|3BBNT|46aDMG|5TBNT|6BPWR|7TLV|8RCR
31	32333 61635	 * 	245.46	DCR|2VULN|2MLV|1TLV|2CDMG|1DUR|1AART	1BBNT|2aMLV|3RCVC|4AART|5aCDMG|6DUR|7RCR|8TLV|9aVULN|aBPWR
32	34255 12332	   	245.12	DCR|4VULN|1TLV|1DMG|1AART	1BBNT|2345VULN|6TLV|7RCR|8LWND|9DMG|aAART
33	32365 13342	   	244.64	DCR|DCR|2VULN|1MLV	1BBNT|2MLV|3RCVC|46CGEN|56VULN|6BPWR|7FEWX|8TBNT|9aRCR
