0	Index      	 *	Score 	Summary	Detail	
1	13163 25262	 * 	335.87	ACR|2LIT|4VULN|2MLV|2DMG	1aDMG|26LIT|389aVULN|4RCR|5aMLV|7BELT|aBPWR
2	12351 62324	 * 	324.64	DCR|2MLV|3VULN|1LIT|3DMG	135DMG|237VULN|37BPWR|479LWND|67MLV|8LIT|aRCR
3	13243 23432	 * 	315.50	DCR|3LIT|2MLV|2DMG|1VULN	19DMG|248LIT|3CGEN|59ZMB|6RCR|79MLV|9BPWR|aVULN
4	13353 22325	   	310.95	DCR|3LIT|2MLV|2DMG|1VULN|1AART	19DMG|269LIT|3BEXP|4VULN|59MLV|7RCVC|8RCR|9BPWR|aAART
5	13353 23325	   	310.95	DCR|3LIT|2MLV|2DMG|1VULN|1AART	19DMG|269LIT|3BEXP|4VULN|59MLV|7DMSP|8RCR|9BPWR|aAART
6	13143 22325	   	310.80	DCR|3LIT|2MLV|2DMG|1VULN|1AART	19DMG|269LIT|3VULN|4DUR|59MLV|7RCVC|8RCR|9BPWR|aAART
7	13143 23325	   	310.80	DCR|3LIT|2MLV|2DMG|1VULN|1AART	19DMG|269LIT|3VULN|4DUR|59MLV|7DMSP|8RCR|9BPWR|aAART
8	11353 22326	 * 	308.11	DCR|2LIT|2MLV|2VULN|2DMG	19DMG|29BEXP|36LIT|4aVULN|59MLV|7RCVC|8RCR|9BPWR
9	11353 23326	   	308.11	DCR|2LIT|2MLV|2VULN|2DMG	19DMG|29BEXP|36LIT|4aVULN|59MLV|7DMSP|8RCR|9BPWR
10	13163 12141	   	307.12	ACR|2LIT|2MLV|3VULN|2DMG	19DMG|27LIT|39aVULN|4RCR|59MLV|6RPLT|8BELT|9BPWR
11	13163 12314	   	307.12	ACR|2LIT|2MLV|3VULN|2DMG	1aDMG|27LIT|39aVULN|4RCR|5aMLV|6RPLT|8RMIN|aBPWR
