0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41213 42243	7	 * 	294.65	橙4易伤3等级2时间1暴击1全技能	134等级2347易伤347序列升级57策反67时间8全技能9暴击a核
2	41214 42133	10	 * 	294.58	橙4易伤3等级1伤害1时间1全技能	134等级2347易伤34序列升级5雷电6全技能8伤害9核a时间
3	41213 23251	10	 * 	294.20	橙4易伤3等级2伤害1时间	134等级2346易伤34序列升级5策反7核89伤害a时间
4	41216 33251	10	   	294.20	橙4易伤3等级2伤害1时间	134等级2345易伤34序列升级6随机矿7核89伤害a时间
5	41213 23254	9	 * 	293.61	橙4易伤3伤害3等级	134等级2346易伤34序列升级5策反7核89a伤害
6	41216 33621	10	 * 	292.36	橙5易伤3等级1伤害1暴击	134等级23458易伤34序列升级6随机矿7核9暴击a伤害
7	41214 42132	10	   	291.98	橙4易伤3等级1伤害1暴击1全技能	134等级2347易伤34序列升级5雷电6全技能8伤害9核a暴击
8	41216 11322	9	 * 	291.20	橙4易伤3等级2时间1伤害	134等级2345易伤34序列升级6最后敌人7核89时间a伤害
9	41216 11352	8	   	291.20	橙4易伤3等级2时间1伤害	134等级2345易伤34序列升级6最后敌人7核89时间a伤害
10	41216 21332	7	   	291.20	橙4易伤3等级2时间1伤害	134等级2345易伤34序列升级6敌人爆炸7核89时间a伤害
11	41216 11311	9	   	290.27	橙4易伤3等级1伤害1时间1暴击	134等级2345易伤34序列升级6最后敌人7核8时间9暴击a伤害
12	41216 11316	10	   	290.27	橙4易伤3等级1伤害1时间1暴击	134等级2345易伤34序列升级6最后敌人7核8时间9暴击a伤害
13	41216 11322	10	 * 	289.48	橙5易伤3等级2时间	134等级2345a易伤34序列升级6最后敌人7核89时间
14	62152 62212	10	 * 	289.11	橙4易伤3时间3雷电2攻速1暴击	157雷电28攻速3478易伤678时间78序列升级9核a暴击
15	41216 23136	6	   	288.37	橙5易伤3等级1伤害1全技能	134等级23458易伤34序列升级6敌人爆炸7全技能9核a伤害
16	41213 42613	7	   	287.95	橙4易伤3等级2时间	134等级2347易伤347序列升级57策反67时间8核9雷电a攻速
17	31135 11263	7	 * 	287.94	橙3易伤2等级2伤害2时间1核弹	1核弹28a易伤38时间4a等级5金币生成68最后敌人7核8a序列升级9a伤害
18	31135 21263	7	   	287.94	橙3易伤2等级2伤害2时间1核弹	1核弹28a易伤38时间4a等级5金币生成68敌人爆炸7核8a序列升级9a伤害
19	31135 31263	7	   	287.74	橙3易伤2等级2伤害2时间1核弹	1核弹28a易伤38时间4a等级5金币生成68挖尘7核8a序列升级9a伤害
20	41216 53232	10	   	287.02	橙5易伤3等级1伤害	134等级2345a易伤34序列升级6攻速7核8伤害9敌人爆炸
21	41216 53213	8	   	286.92	橙5易伤3等级1伤害	134等级2345a易伤34序列升级6攻速7核8伤害9赏金塔
22	41213 23252	10	   	286.26	橙4易伤3等级2伤害	134等级2346易伤34序列升级5策反7核89伤害a雷电
23	41213 53631	9	   	286.26	橙4易伤3等级2伤害	134等级2349易伤34序列升级5策反6雷电78伤害a核
24	41216 33252	10	   	286.26	橙4易伤3等级2伤害	134等级2345易伤34序列升级6随机矿7核89伤害a雷电
25	41216 53232	8	   	286.26	橙4易伤3等级2伤害	134等级2345易伤34序列升级6攻速7核8a伤害9最后敌人
26	41216 53232	9	   	286.26	橙4易伤3等级2伤害	134等级2345易伤34序列升级6攻速7核8a伤害9敌人爆炸
27	41216 53222	8	   	286.16	橙4易伤3等级2伤害	134等级2345易伤34序列升级6攻速7核8a伤害9挖青
28	41432 63231	4	   	286.16	橙4易伤2等级2伤害	18等级258a易伤3雷电4挖尘6赏金塔78伤害8序列升级9核
29	41216 11341	9	   	284.92	橙4易伤3等级1伤害1时间	134等级2345易伤34序列升级6最后敌人7核8时间9攻速a伤害
30	41216 11342	10	   	284.92	橙4易伤3等级1伤害1时间	134等级2345易伤34序列升级6最后敌人7核8时间9攻速a伤害
31	41216 53212	8	   	284.82	橙4易伤3等级1伤害1时间	134等级2345易伤34序列升级6攻速7核8伤害9赏金塔a时间
32	41216 11316	9	   	284.79	橙4易伤3等级2时间1暴击	134等级2345易伤34序列升级6最后敌人7核8a时间9暴击
33	41216 23133	6	   	284.56	橙5易伤3等级1时间1全技能	134等级23458易伤34序列升级6敌人爆炸7全技能9核a时间
34	41512 23622	5	   	284.56	橙5易伤2等级1时间1全技能	14等级2347a易伤4序列升级5最后敌人6全技能8核9时间
35	41216 11325	10	 * 	284.36	橙4易伤3等级3时间	134等级2345易伤34序列升级6最后敌人7核89a时间
