0	Index      	 *	Score 	Summary	Detail	Bounty	
1	22223 35636	 * 	270.09	橙3易伤3伤害1等级1时间	178最后敌人2随机矿378伤害4等级5金币生成678易伤78序列升级9时间a核	8
2	21223 35642	 * 	265.65	橙4易伤3时间1等级	178最后敌人2立即金币378时间4等级5金币生成6789易伤78序列升级a核	8
3	34152 22336	 * 	264.76	橙4易伤2等级1时间	1基地爆炸23等级4579易伤6雷电8核a时间	2
4	34252 22336	   	264.76	橙4易伤2等级1时间	1基地爆炸23等级4579易伤6雷电8核a时间	3
5	21223 35642	 * 	263.61	橙3易伤2等级3时间	178最后敌人2立即金币378时间49等级5金币生成678易伤78序列升级a核	9
6	12222 35615	   	262.17	橙3易伤3时间1等级1核弹1全技能	1核弹278掉矿378时间4等级5攻速678易伤78序列升级9全技能a核	8
7	12222 35625	   	262.17	橙3易伤3时间1等级1核弹1全技能	1核弹278掉矿378时间4等级5攻速678易伤78序列升级9全技能a核	9
8	63143 11253	 * 	260.07	橙4易伤2等级1伤害	1掉矿2加一35等级4578易伤5序列升级6赏金塔9核a伤害	2
9	63143 41253	   	260.07	橙4易伤2等级1伤害	1掉矿2加一35等级4578易伤5序列升级6赏金邻近9核a伤害	2
10	16323 12562	   	258.29	橙3易伤2等级2时间1核弹	1核弹29时间3掉矿49等级5金币生成6雷电79a易伤8核9序列升级	7
11	63842 73444	 * 	257.95	橙4易伤3伤害1全技能	19a掉矿2加一349a易伤5双倍矿6核7全技能89a伤害9a序列升级	8
12	63143 11251	   	256.25	橙4易伤2等级1时间	1掉矿2加一35等级4578易伤5序列升级6赏金塔9核a时间	2
13	63143 41251	   	256.25	橙4易伤2等级1时间	1掉矿2加一35等级4578易伤5序列升级6赏金邻近9核a时间	2
14	53112 11632	   	256.21	橙4易伤2等级1时间1卖塔	1卖塔2平台3459易伤4序列升级6a等级7核8时间	1
15	53152 11632	   	256.21	橙4易伤2等级1时间1卖塔	1卖塔2平台3459易伤6a等级7核8时间	1
16	11632 35335	 * 	255.83	橙2等级1易伤2伤害3攻速1时间1暴击1核弹	1核弹238攻速48等级5暴击6易伤78伤害8序列升级9时间a核	9
17	51321 53214	 * 	255.54	橙5易伤1等级1时间1卖塔	1卖塔24569易伤3时间7等级8敌人爆炸a核	2
18	16221 26512	 * 	255.44	紫3易伤2等级2伤害2时间1核弹	1核弹29时间39伤害4a等级5核6矿等789易伤9序列升级	8
19	51321 53314	 * 	255.44	橙5易伤1等级1时间1卖塔	1卖塔24569易伤3时间7等级8挖青a核	2
20	64332 22336	   	253.95	橙4易伤1等级1时间	1掉矿2攻速3579易伤4等级6雷电8核a时间	1
21	12221 35615	   	253.86	橙3易伤3时间1等级1核弹1全技能	1核弹278掉矿378时间4等级5策反678易伤78序列升级9全技能a核	8
22	12221 35625	   	253.86	橙3易伤3时间1等级1核弹1全技能	1核弹278掉矿378时间4等级5策反678易伤78序列升级9全技能a核	9
23	22223 35616	   	253.84	橙3易伤3伤害1等级	178最后敌人2随机矿378伤害4等级5金币生成678易伤78序列升级9基地爆炸a核	9
24	22223 35616	   	253.84	橙3易伤3伤害1等级	178最后敌人2随机矿378伤害4等级5金币生成678易伤78序列升级9基地爆炸a核	8
25	22223 35636	   	253.84	橙3易伤3伤害1等级	178最后敌人2随机矿378伤害4等级5金币生成678易伤78序列升级9敌人爆炸a核	9
26	63814 14632	   	253.84	橙3易伤2伤害1等级1时间	1掉矿2加一389易伤4时间56伤害7核a等级	8
27	63833 53442	   	253.34	橙3易伤3伤害1等级	1掉矿2加一35a易伤456伤害5序列升级7核8敌人爆炸9等级	3
28	16226 35121	 * 	252.34	橙2易伤2伤害2时间1等级1核弹	1核弹27时间37伤害4等级5矿等67易伤7序列升级8攻速9核a平台	7
29	16226 35123	   	252.34	橙2易伤2伤害2时间1等级1核弹	1核弹27时间37伤害4等级5矿等67易伤7序列升级8攻速9核a敌人爆炸	7
30	16226 35122	   	252.24	橙2易伤2伤害2时间1等级1核弹	1核弹27时间37伤害4等级5矿等67易伤7序列升级8攻速9核a赏金塔	7
31	63814 54432	 * 	250.84	橙3易伤2时间1等级1伤害	1掉矿2加一369易伤48时间5伤害7核a等级	7
32	56125 11311	 * 	250.68	橙3易伤2伤害2时间1卖塔	1卖塔2立即金币3a伤害4雷电5额外掉落68a易伤7核9a时间a序列升级	10
33	63143 24112	   	250.67	橙3易伤2等级1暴击1全技能	1掉矿2加一35等级459易伤5序列升级6暴击7全技能8雷电a核	2
34	36211 14612	 * 	250.19	橙3易伤3等级2时间	18a基地爆炸2挖尘38a等级49时间5最后敌人68a易伤7核8a序列升级	10
35	32133 31344	   	250.09	橙3易伤2等级2时间	1a基地爆炸2随机矿35等级4赏金塔67a易伤8a时间9核a序列升级	2
36	34133 31344	   	250.09	橙3易伤2等级2时间	1a基地爆炸25等级3随机矿4赏金塔67a易伤8a时间9核a序列升级	3
37	53112 11513	   	249.86	橙3易伤1等级1伤害1时间1暴击1卖塔	1卖塔2平台345易伤4序列升级6等级7核8暴击9时间a伤害	1
38	53112 11533	   	249.86	橙3易伤1等级1伤害1时间1暴击1卖塔	1卖塔2平台345易伤4序列升级6等级7核8暴击9伤害a时间	1
39	53152 11513	   	249.86	橙3易伤1等级1伤害1时间1暴击1卖塔	1卖塔2平台345易伤6等级7核8暴击9时间a伤害	1
