0	Index      	 *	Score 	Summary	Detail	
1	21256 14348	 * 	323.83	橙橙2易伤3攻速2伤害	14a攻速2a伤害3基地爆炸5掉矿6加一78核9a易伤a序列升级
2	31262 14348	 * 	315.48	橙橙2易伤3伤害1攻速	12a伤害3a掉矿4基地爆炸5攻速6加一78核9a易伤a序列升级
3	33262 14348	   	315.48	橙橙2易伤3伤害1攻速	12a伤害2a序列升级3a掉矿4基地爆炸5攻速6加一78核9a易伤
4	21226 14348	   	312.38	橙橙2易伤2伤害2攻速	1a攻速2a伤害3基地爆炸4立即金币5掉矿6加一78核9a易伤a序列升级
5	52642 43423	 * 	306.40	橙橙3易伤2攻速	123易伤4加一57攻速6低血量敌人8时间9a核
6	52653 13423	   	306.40	橙橙3易伤2攻速	123易伤47攻速5敌人爆炸6加一8时间9a核
7	53332 18123	   	303.17	橙橙3易伤1矿等1攻速	147易伤2矿等3金币生成5攻速6加一8基地爆炸9a核
8	53332 18423	   	303.17	橙橙3易伤1矿等1攻速	147易伤2矿等3金币生成5攻速6加一8最后敌人9a核
9	52642 43123	   	298.09	橙橙3易伤2攻速	123易伤4加一57攻速6低血量敌人8基地爆炸9a核
10	52642 43323	   	298.09	橙橙3易伤2攻速	123易伤4加一57攻速6低血量敌人8最后敌人9a核
11	52653 13123	   	298.09	橙橙3易伤2攻速	123易伤47攻速5敌人爆炸6加一8基地爆炸9a核
12	52653 13323	   	298.09	橙橙3易伤2攻速	123易伤47攻速5敌人爆炸6加一8最后敌人9a核
13	12342 62241	   	295.54	橙橙2易伤1伤害1矿等1策反	1挖尘29易伤3随机矿4策反5平台6a核7伤害8矿等
14	12612 62241	   	295.54	橙橙2易伤1伤害1矿等1策反	1挖尘29易伤3平台4策反5金币生成6a核7伤害8矿等
15	31116 44321	   	295.49	橙橙2易伤2伤害1卖塔	12伤害3卖塔4平台5掉矿68核7a易伤9双倍秒伤
16	33116 44321	   	295.49	橙橙2易伤2伤害1卖塔	12伤害2序列升级3卖塔4平台5掉矿68核7a易伤9双倍秒伤
17	53332 14123	 * 	295.32	橙橙2易伤2矿等1攻速	14易伤27矿等3金币生成5攻速6加一8基地爆炸9a核
18	53332 14423	   	295.32	橙橙2易伤2矿等1攻速	14易伤27矿等3金币生成5攻速6加一8最后敌人9a核
19	53353 18123	   	295.32	橙橙2易伤2矿等1攻速	17易伤25矿等3金币生成4攻速6加一8基地爆炸9a核
20	53353 18423	   	295.32	橙橙2易伤2矿等1攻速	17易伤25矿等3金币生成4攻速6加一8最后敌人9a核
21	52632 33513	 * 	294.79	橙4易伤3伤害2暴击1矿等	123a易伤4矿等58a伤害6挖青7a暴击9核a序列升级
22	54223 13433	 * 	294.69	紫橙3易伤2伤害1攻速	158易伤2技能3a核4低血量敌人68伤害78最后敌人8序列升级9攻速
23	25212 31441	   	293.91	橙橙1易伤2攻速1伤害1矿等	16攻速2平台3伤害4矿等5低血量敌人7a核8易伤9金币生成
