0	Index      	 *	Score 	Summary	Detail	
1	12262 34115	 * 	278.16	橙橙3攻速1易伤1伤害	14最后敌人234攻速4序列升级5掉矿6赏金邻近7a核8伤害9易伤
2	21223 31266	 * 	269.94	橙橙1易伤3时间1伤害1全技能	1掉矿2双倍秒伤34a时间5易伤6伤害7全技能89核
3	51233 12728	   	267.61	橙橙1易伤1伤害1矿等1平台	1赏金塔2额外掉落3伤害4平台5挖尘6易伤7加一8矿等9a核
4	21223 31261	   	264.93	橙橙1易伤1伤害2时间1全技能	1掉矿2双倍秒伤34时间5易伤6伤害7全技能89核a最后敌人
5	21223 31262	   	264.93	橙橙1易伤1伤害2时间1全技能	1掉矿2双倍秒伤34时间5易伤6伤害7全技能89核a金币生成
6	21223 31263	   	264.93	橙橙1易伤1伤害2时间1全技能	1掉矿2双倍秒伤34时间5易伤6伤害7全技能89核a雷电
7	65113 12232	 * 	264.91	紫橙1易伤2攻速1伤害1矿等1全技能	13攻速27核3序列升级4矿等5立即金币6技能点8伤害9全技能a易伤
8	65322 12232	   	264.91	紫橙1易伤2攻速1伤害1矿等1全技能	15攻速27核3掉矿4立即金币6矿等8伤害9全技能a易伤
9	21223 31264	   	264.83	橙橙1易伤1伤害2时间1全技能1挖怪	1掉矿2双倍秒伤34时间5易伤6伤害7全技能89核a挖怪
10	21223 31265	   	264.83	橙橙1易伤1伤害2时间1全技能	1掉矿2双倍秒伤34时间5易伤6伤害7全技能89核a散射对喷气
11	12334 13433	 * 	262.08	橙橙2易伤1攻速	1最后敌人2攻速3掉矿4加农对毒5a易伤6额外掉落79核8赏金塔
12	12334 13633	   	262.08	橙橙2易伤1攻速	1最后敌人2攻速3掉矿4加农对毒5a易伤6额外掉落79核8赏金邻近
13	12354 13433	   	262.08	橙橙2易伤1攻速	1最后敌人2攻速3掉矿4a易伤5加农对甲6额外掉落79核8赏金塔
14	12354 13633	   	262.08	橙橙2易伤1攻速	1最后敌人2攻速3掉矿4a易伤5加农对甲6额外掉落79核8赏金邻近
15	65113 12161	   	258.49	紫橙1易伤2攻速1矿等1暴击1平台	13攻速27核3序列升级4矿等5立即金币6技能点8平台9暴击a易伤
16	65322 12131	   	258.49	紫橙1易伤2攻速1矿等1暴击1平台	15攻速27核3掉矿4立即金币6矿等8平台9暴击a易伤
17	51235 12228	   	258.48	橙橙1易伤1伤害1平台	1赏金塔2额外掉落3伤害4平台5时间6易伤7加一8等级9a核
18	51235 12328	   	258.48	橙橙1易伤1伤害1平台	1赏金塔2额外掉落3伤害4平台5时间6易伤7加一8金币生成9a核
19	65113 12241	   	255.24	紫橙1易伤2攻速1伤害1矿等	13攻速27核3序列升级4矿等5立即金币6技能点8伤害9敌人爆炸a易伤
20	65322 12241	   	255.24	紫橙1易伤2攻速1伤害1矿等	15攻速27核3掉矿4立即金币6矿等8伤害9敌人爆炸a易伤
21	12334 13434	   	254.06	橙橙1易伤1伤害1攻速	1最后敌人2攻速3掉矿4加农对毒5易伤6额外掉落79核8赏金塔a伤害
22	12334 13634	   	254.06	橙橙1易伤1伤害1攻速	1最后敌人2攻速3掉矿4加农对毒5易伤6额外掉落79核8赏金邻近a伤害
23	65323 12232	   	252.45	紫橙1易伤1伤害1矿等1攻速1全技能	1攻速27核3掉矿45立即金币6矿等8伤害9全技能a易伤
24	51231 12228	   	250.17	橙橙1易伤1伤害1平台	1赏金塔2额外掉落3伤害4平台5低血量敌人6易伤7加一8等级9a核
25	51231 12328	   	250.17	橙橙1易伤1伤害1平台	1赏金塔2额外掉落3伤害4平台5低血量敌人6易伤7加一8金币生成9a核
26	51231 12628	   	250.17	橙橙1易伤1伤害1平台	1赏金塔2额外掉落3伤害4平台5低血量敌人6易伤7加一8随机矿9a核
27	51233 12228	   	250.07	橙橙1易伤1伤害1平台	1赏金塔2额外掉落3伤害4平台5挖尘6易伤7加一8等级9a核
28	51233 12328	   	250.07	橙橙1易伤1伤害1平台	1赏金塔2额外掉落3伤害4平台5挖尘6易伤7加一8金币生成9a核
29	22134 13434	   	248.62	橙橙1易伤1伤害	1掉矿2时间3核弹4加农对毒5易伤6额外掉落79核8赏金塔a伤害
30	22134 13634	   	248.62	橙橙1易伤1伤害	1掉矿2时间3核弹4加农对毒5易伤6额外掉落79核8赏金邻近a伤害
31	56121 62134	   	248.43	橙橙2易伤	1赏金塔2加一3额外掉落4最后敌人5掉矿6a核78易伤9赏金邻近
