0	Index      	 *	Score 	Summary	Detail	
1	22532 62263	 * 	275.12	橙橙1易伤2攻速1伤害	15最后敌人2金币生成3伤害45攻速5序列升级6a核7激光对冰8易伤9时间
2	33364 53112	 * 	272.73	紫橙2易伤2矿等3时间	1赏金塔29a时间34挖尘56核7a矿等8a易伤a序列升级
3	63151 31214	 * 	265.96	橙橙2易伤1矿等	1技能点2矿等3雷电45易伤6a核7双倍秒伤8等级9基地爆炸
4	36224 52312	 * 	265.89	紫橙2易伤2攻速3时间	1赏金塔2随机矿37a时间4金币生成56核8a攻速9a易伤a序列升级
5	63151 31224	   	265.86	橙橙2易伤1矿等	1技能点2矿等3雷电45易伤6a核7双倍秒伤8等级9挖青
6	25222 26363	 * 	263.10	紫橙2易伤1伤害1攻速1全技能	1最后敌人2全技能36敌人爆炸4伤害5a核78易伤9攻速
7	25432 11363	   	263.10	紫橙2易伤1伤害1攻速1全技能	15最后敌人2全技能3a核4伤害68易伤7基地爆炸9攻速
8	25433 34321	   	263.00	紫橙2易伤1伤害1攻速1全技能	1最后敌人2全技能3a核4伤害5额外掉落6攻速79易伤8挖尘
9	42532 35213	 * 	256.19	橙橙2伤害2矿等	1技能2双倍秒伤34伤害57矿等6最后敌人8a核9防空对愈
10	13526 26211	 * 	256.14	橙橙3伤害1矿等	1掉矿2矿等3金币生成4喷火对黄5寒冰对黄68a伤害79核
11	43132 32315	   	253.37	橙橙1易伤2平台1全技能	1技能2a平台3时间4易伤5金币生成69核7低血量敌人8全技能
12	44225 12133	   	248.82	橙橙1易伤1伤害	18技能2寒冰对甲3易伤4时间5伤害6金币生成7a核9挖尘
13	44225 12333	   	248.82	橙橙1易伤1伤害	1技能2寒冰对甲3易伤4时间5伤害68金币生成7a核9挖尘
14	23516 23511	 * 	248.63	橙3易伤1伤害1矿等1攻速1暴击	1最后敌人2赏金塔3暴击489易伤5攻速6矿等7核a伤害
15	31516 23511	   	248.63	橙3易伤1伤害1矿等1攻速1暴击	1赏金塔2低血量敌人3暴击489易伤5攻速6矿等7核a伤害
