0	Index      	 *	Score 	Summary	Detail	
1	21153 15343	 * 	297.12	橙橙3易伤1矿等1攻速	1双倍矿256易伤3金币生成4攻速7矿等8a核9狙击对黄
2	62663 23311	 * 	286.43	橙橙2伤害1易伤1矿等1暴击	1a伤害2最后敌人3易伤4多重对愈5低血量敌人68核7暴击9矿等
3	66423 22331	 * 	277.37	橙橙2易伤1伤害1攻速1卖塔	1伤害2攻速3低血量敌人4卖塔5a易伤68核7雷电9基地爆炸
4	21231 54342	 * 	277.27	橙橙2易伤1伤害1暴击1卖塔	1双倍矿29易伤3多重对愈4最后敌人5卖塔6伤害7a核8暴击
5	21153 35343	   	274.98	橙橙2易伤1矿等1攻速	1双倍矿25易伤36金币生成4攻速7矿等8a核9狙击对黄
6	66132 21331	 * 	273.42	橙橙1易伤2攻速1伤害	1伤害28攻速3金币生成4平台5易伤69核7电塔对甲a立即金币
7	66132 21332	   	273.42	橙橙1易伤2攻速1伤害	1伤害28攻速3金币生成4平台5易伤69核7电塔对甲a雷电
8	66132 21335	   	273.42	橙橙1易伤2攻速1伤害	1伤害28攻速3金币生成4平台5易伤69核7电塔对甲a低血量敌人
9	66132 21336	   	273.42	橙橙1易伤2攻速1伤害	1伤害28攻速3金币生成4平台5易伤69核7电塔对甲a赏金邻近
10	66132 21333	   	273.32	橙橙1易伤2攻速1伤害	1伤害28攻速3金币生成4平台5易伤69核7电塔对甲a挖尘
11	66132 21334	   	273.32	橙橙1易伤2攻速1伤害1策反	1伤害28攻速3金币生成4平台5易伤69核7电塔对甲a策反
12	63152 21362	   	269.17	橙橙1易伤1伤害1暴击	1伤害2双倍矿3时间4平台5易伤69核7防空对甲8双倍秒伤a暴击
13	63152 23362	   	269.17	橙橙1易伤1伤害1暴击	1伤害2双倍矿3时间4平台5易伤69核7激光对愈8双倍秒伤a暴击
14	61152 21362	   	269.07	橙橙1易伤1伤害1暴击	1伤害2激光减费3时间4平台5易伤69核7防空对甲8双倍秒伤a暴击
15	61152 23362	   	269.07	橙橙1易伤1伤害1暴击	1伤害2激光减费3时间4平台5易伤69核7激光对愈8双倍秒伤a暴击
16	54513 23311	   	268.94	橙橙1易伤1伤害1矿等1暴击	1技能2寒冰对冰3最后敌人4易伤5低血量敌人68核7暴击9矿等a伤害
17	62663 23312	   	268.84	橙橙1易伤1伤害1矿等1暴击	1伤害2最后敌人3易伤4多重对愈5低血量敌人68核7暴击9矿等a雷电
18	62663 23313	   	268.74	橙橙1易伤1伤害1矿等1暴击	1伤害2最后敌人3易伤4多重对愈5低血量敌人68核7暴击9矿等a挖尘
