0	Index      	 *	Score 	Summary	Detail	
1	14332 32462	 * 	267.13	紫橙2易伤2伤害1全技能	1a金币生成2技能点3a易伤48核5全技能6最后敌人7雷电9a伤害a序列升级
2	12433 53334	 * 	265.28	橙橙1易伤1矿等1攻速1暴击	1金币生成2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a攻速
3	22433 53334	   	265.18	橙橙1易伤1矿等1攻速1暴击	1掉矿2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a攻速
4	12433 53331	   	259.94	橙橙1易伤1矿等1暴击	1金币生成2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a时间
5	22433 53331	   	259.84	橙橙1易伤1矿等1暴击	1掉矿2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a时间
6	53322 21154	 * 	258.29	橙橙2易伤1平台	1低血量敌人2双倍矿37易伤4技能5赏金塔6平台8等级9a核
7	41423 43331	   	255.75	橙橙1易伤1矿等1平台	1挖尘2掉矿3平台4雷电5激光减费69核7矿等8易伤a时间
8	14332 32432	 * 	255.59	紫橙2易伤2攻速1全技能	1a金币生成2技能点3a易伤48核5全技能6最后敌人7雷电9a攻速a序列升级
9	24332 32432	   	255.39	紫橙2易伤2攻速1全技能	1a掉矿2技能点3a易伤48核5全技能6最后敌人7雷电9a攻速a序列升级
10	12433 53332	   	251.63	橙橙1易伤1矿等1暴击	1金币生成2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a低血量敌人
11	12433 53335	   	251.63	橙橙1易伤1矿等1暴击	1金币生成2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a最后敌人
12	12433 53336	   	251.63	橙橙1易伤1矿等1暴击	1金币生成2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a基地爆炸
13	12433 53333	   	251.53	橙橙1易伤1矿等1暴击	1金币生成2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a技能点
14	12433 53338	   	251.53	橙橙1易伤1矿等1暴击	1金币生成2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a散射对喷气
15	22433 53332	   	251.53	橙橙1易伤1矿等1暴击	1掉矿2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a低血量敌人
16	22433 53335	   	251.53	橙橙1易伤1矿等1暴击	1掉矿2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a最后敌人
17	22433 53336	   	251.53	橙橙1易伤1矿等1暴击	1掉矿2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a基地爆炸
18	22433 53333	   	251.43	橙橙1易伤1矿等1暴击	1掉矿2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a技能点
19	22433 53338	   	251.43	橙橙1易伤1矿等1暴击	1掉矿2雷电3暴击4加一5敌人爆炸69核7矿等8易伤a散射对喷气
20	14335 33324	   	249.35	紫橙2易伤1伤害1平台	1金币生成2技能点35易伤4a核6赏金邻近7平台8伤害9等级
21	15335 33324	   	249.35	紫橙2易伤1伤害1平台	1金币生成2掉矿35易伤4a核6赏金邻近7平台8伤害9等级
22	14334 12162	 * 	249.25	紫橙2易伤2暴击1平台	1金币生成2技能点38易伤49核57暴击6额外掉落a平台
23	15334 12162	   	249.25	紫橙2易伤2暴击1平台	1金币生成2掉矿38易伤49核57暴击6额外掉落a平台
24	24335 33324	   	249.25	紫橙2易伤1伤害1平台	1掉矿2技能点35易伤4a核6赏金邻近7平台8伤害9等级
25	21514 47814	   	248.43	橙橙2易伤	178掉矿27敌人爆炸3加一4雷电5低血量敌人67易伤7序列升级9a核
26	23512 47814	   	248.43	橙橙2易伤	178掉矿27最后敌人3加一4雷电5敌人爆炸67易伤7序列升级9a核
27	41423 43332	   	247.44	橙橙1易伤1矿等1平台	1挖尘2掉矿3平台4雷电5激光减费69核7矿等8易伤a低血量敌人
28	41423 43333	   	247.34	橙橙1易伤1矿等1平台	1挖尘2掉矿3平台4雷电5激光减费69核7矿等8易伤a技能点
29	12322 52451	 * 	244.90	橙3易伤2伤害1暴击1全技能	1a金币生成2雷电34a易伤5敌人爆炸6核7暴击8a伤害9全技能a序列升级
30	14334 11162	   	242.93	紫橙2易伤1暴击1平台	1金币生成2技能点38易伤49核5暴击6额外掉落7立即金币a平台
31	15334 11162	   	242.93	紫橙2易伤1暴击1平台	1金币生成2掉矿38易伤49核5暴击6额外掉落7立即金币a平台
32	21532 22514	   	239.67	橙橙1易伤1全技能1平台	1掉矿2敌人爆炸3加一4基地爆炸5易伤6a核7全技能8平台9喷火对甲
33	23532 22514	   	239.67	橙橙1易伤1全技能1平台	1掉矿2最后敌人3加一4基地爆炸5易伤6a核7全技能8平台9喷火对甲
34	14334 12161	   	239.59	紫橙2易伤2暴击	1金币生成2技能点38易伤49核57暴击6额外掉落a敌人爆炸
35	15334 12161	   	239.59	紫橙2易伤2暴击	1金币生成2掉矿38易伤49核57暴击6额外掉落a敌人爆炸
36	45113 23333	 * 	239.58	橙2易伤2矿等2攻速1伤害	1挖尘2a易伤3掉矿4雷电5a攻速6伤害7a矿等8额外掉落9核a序列升级
37	45313 23333	   	239.58	橙2易伤2矿等2攻速1伤害	1挖尘2a易伤3技能点4雷电5a攻速6伤害7a矿等8额外掉落9核a序列升级
38	41532 22514	   	239.57	橙橙1易伤1全技能1平台	1挖尘2掉矿3加一4敌人爆炸5易伤6a核7全技能8平台9喷火对甲
39	14334 12163	   	239.49	紫橙2易伤2暴击	1金币生成2技能点38易伤49核57暴击6额外掉落a挖尘
