0	Index      	 *	Score 	Summary	Detail	
1	64322 13116	 * 	280.17	紫橙2易伤2矿等1攻速1暴击	17矿等2最后敌人3暴击4a核5攻速6基地爆炸89易伤
2	64321 23116	   	274.82	紫橙2易伤2矿等1暴击	17矿等2最后敌人3暴击4a核5时间6技能89易伤
3	31251 51533	 * 	271.70	橙橙1易伤1伤害1矿等1暴击	1雷电2矿等3低血量敌人4赏金邻近5暴击6易伤7伤害8a核9挖尘
4	11133 43512	 * 	268.59	橙橙2易伤1伤害	159挖尘269基地爆炸3伤害4金币生成7a核89易伤9序列升级
5	51113 33154	   	263.82	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3平台4最后敌人5基地爆炸6伤害79核8双倍秒伤a攻速
6	51111 33154	   	263.72	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3平台4最后敌人5挖青6伤害79核8双倍秒伤a攻速
7	23151 51533	   	262.47	橙橙1易伤1伤害1暴击	1时间2金币生成3雷电4赏金塔5暴击6易伤7伤害8a核9挖尘
8	33114 51533	   	262.47	橙橙1易伤1伤害1暴击	1雷电2暴击3掉矿4时间5赏金邻近6易伤7伤害8a核9最后敌人
9	33266 11533	   	262.47	橙橙1易伤1伤害1暴击	1雷电2暴击3等级4赏金塔5易伤6时间7伤害8a核9挖尘
10	62436 26444	   	259.84	橙橙1易伤1矿等1攻速	1矿等2加一3随机矿4掉矿5敌人爆炸6时间7攻速89核a易伤
11	62437 26444	   	259.84	橙橙1易伤1矿等1攻速	1矿等2加一3随机矿4掉矿5最后敌人6时间7攻速89核a易伤
12	64321 21216	   	259.21	紫橙2易伤1矿等1暴击	1矿等2最后敌人3暴击4a核5时间68技能79易伤
13	33134 51533	   	254.16	橙橙1易伤1伤害1暴击	1雷电2暴击3掉矿4低血量敌人5赏金邻近6易伤7伤害8a核9最后敌人
14	33236 51533	   	254.16	橙橙1易伤1伤害1暴击	1雷电2暴击3等级4低血量敌人5赏金塔6易伤7伤害8a核9挖尘
15	33263 51533	   	254.16	橙橙1易伤1伤害1暴击	1雷电2暴击3等级4赏金塔5最后敌人6易伤7伤害8a核9挖尘
16	33266 21533	   	254.16	橙橙1易伤1伤害1暴击	1雷电2暴击3等级4赏金塔5易伤6低血量敌人7伤害8a核9挖尘
17	33153 61523	   	253.96	橙橙1易伤1伤害1暴击	1雷电2暴击346掉矿5金币生成7伤害8a核9易伤
18	62183 45442	 * 	253.49	橙橙1易伤2矿等	14矿等2加一3雷电5掉矿6赏金邻近78核9最后敌人a易伤
19	62226 28244	   	252.74	橙橙1易伤1矿等2时间	1矿等2加一3最后敌人4基地爆炸5掉矿67时间89核a易伤
20	31522 62161	 * 	252.19	橙橙3矿等1全技能1平台1策反	18雷电258矿等3平台458最后敌人58序列升级6全技能7a核9策反
21	31524 62133	   	251.91	橙橙2矿等1攻速1全技能1平台	18雷电28矿等3平台48最后敌人5立即金币6全技能7a核8序列升级9攻速
22	31512 34633	   	251.71	橙橙2矿等1攻速1全技能1平台	1雷电26矿等3平台4金币生成5全技能7a核8等级9攻速
23	61342 34233	   	251.71	橙橙2矿等1攻速1全技能1平台	16矿等2等级3平台4雷电5全技能7a核8金币生成9攻速
24	61342 42333	   	251.71	橙橙2矿等1攻速1全技能1平台	18矿等2等级3平台4雷电5全技能6金币生成7a核9攻速
25	61362 34233	   	251.71	橙橙2矿等1攻速1全技能1平台	16矿等2等级3平台4全技能5雷电7a核8金币生成9攻速
26	61362 42333	   	251.71	橙橙2矿等1攻速1全技能1平台	18矿等2等级3平台4全技能5雷电6金币生成7a核9攻速
27	62436 16444	   	251.43	橙橙1易伤1矿等1攻速	1矿等2加一3随机矿4掉矿5敌人爆炸6挖尘7攻速89核a易伤
28	62437 16444	   	251.43	橙橙1易伤1矿等1攻速	1矿等2加一3随机矿4掉矿5最后敌人6挖尘7攻速89核a易伤
29	62743 47242	 * 	250.49	橙3易伤2矿等1伤害1暴击	19矿等2加一3赏金塔49a易伤5伤害6暴击7核89掉矿9序列升级
30	51113 33151	   	250.17	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5基地爆炸6伤害79核8双倍秒伤a技能
31	51113 33153	   	250.17	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5基地爆炸6伤害79核8双倍秒伤a低血量敌人
32	51113 33155	   	250.17	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5基地爆炸6伤害79核8双倍秒伤a赏金塔
