0	Index      	 *	Score 	Summary	Detail	
1	24512 35221	 * 	271.40	紫橙2易伤1伤害1攻速1平台	1平台27易伤3a核4时间5最后敌人6赏金邻近8伤害9攻速
2	45312 12225	 * 	267.61	橙橙1易伤1伤害1矿等1平台	1散射对绿2平台3矿等4雷电5伤害6挖尘79核8额外掉落a易伤
3	24116 31151	   	263.72	橙橙1易伤1伤害1攻速1平台	1平台2易伤3双倍秒伤4伤害5攻速6最后敌人7挖尘8敌人爆炸9a核
4	21111 32321	   	263.62	橙橙1易伤1伤害1攻速1平台	1平台248掉矿3立即金币5攻速6a核7易伤9伤害
5	21131 32321	   	263.62	橙橙1易伤1伤害1攻速1平台	1平台248掉矿3立即金币4序列升级5攻速6a核7易伤9伤害
6	24142 84113	 * 	263.28	橙橙2易伤2平台	19平台28易伤3双倍秒伤4加一5赏金邻近6基地爆炸7a核
7	24143 34113	   	263.28	橙橙2易伤2平台	19平台28易伤3双倍秒伤4加一5低血量敌人6赏金邻近7a核
8	24323 52121	   	258.58	橙橙1易伤1伤害1平台	1平台2易伤3时间4技能5双倍矿6a核7伤害8低血量敌人9赏金塔
9	54137 23124	 * 	258.10	橙橙2伤害1易伤	1低血量敌人2加一3金币生成49伤害5额外掉落6易伤7a核8雷电
10	24552 32321	   	257.41	紫橙2易伤1伤害1平台1策反	1平台25易伤3a核4策反6挖尘7伤害8时间9赏金塔
11	24553 32321	   	257.26	紫橙2易伤1伤害1平台2策反	1平台25易伤3a核45策反5序列升级6挖尘7伤害8时间9赏金塔
12	45311 32513	   	257.20	橙橙1易伤1矿等1平台1全技能	1散射对绿2平台3矿等4雷电5敌人爆炸6易伤7掉矿89核a全技能
13	35437 16233	   	256.53	橙橙2易伤	1技能点2加一3雷电4毒液对毒5时间6a易伤7散射对甲89核
14	35437 18233	   	256.53	橙橙2易伤	1技能点2加一3雷电4毒液对毒5时间6a易伤7喷火对黄89核
15	24531 46332	   	252.59	紫橙2易伤1攻速1全技能1平台	1平台29易伤3a核4寒冰对甲5加一6赏金塔7全技能8攻速
16	34351 12431	   	251.63	橙橙1易伤1矿等1攻速	1技能点2矿等36雷电4额外掉落5攻速7基地爆炸89核a易伤
17	24133 11663	   	250.17	橙橙1易伤1伤害1平台	1平台2易伤3双倍秒伤4等级5金币生成6赏金邻近7a核8伤害9技能
18	25612 12225	   	250.07	橙橙1易伤1伤害1平台	1平台2等级3电塔对黄4雷电5伤害6挖尘79核8额外掉落a易伤
19	31232 32321	   	250.07	橙橙1易伤1伤害1平台	1技能点2赏金邻近3最后敌人4掉矿5易伤6伤害7平台8技能9a核
20	36323 33641	   	250.07	橙橙1易伤1伤害1平台	1技能点2平台3赏金邻近4易伤5掉矿6赏金塔7a核8伤害9金币生成
21	36325 33621	   	250.07	橙橙1易伤1伤害1平台	1技能点2平台3赏金邻近4易伤5等级6赏金塔7a核8伤害9掉矿
22	42162 12225	   	250.07	橙橙1易伤1伤害1平台	1散射对绿2雷电3金币生成4平台5伤害6挖尘79核8额外掉落a易伤
23	21612 12225	   	249.97	橙橙1易伤1伤害1平台	1平台2掉矿3电塔对黄4雷电5伤害6挖尘79核8额外掉落a易伤
24	36612 12225	   	249.97	橙橙1易伤1伤害1平台	1技能点2平台3电塔对黄4雷电5伤害6挖尘79核8额外掉落a易伤
25	42262 12225	   	249.97	橙橙1易伤1伤害1平台	1散射对绿2雷电3掉矿4平台5伤害6挖尘79核8额外掉落a易伤
