0	Index      	 *	Score 	Summary	Detail	
1	11356 21522	 * 	282.49	橙橙1易伤1伤害1矿等1攻速1暴击	1技能点2矿等3激光对冰4伤害5攻速68核7易伤9赏金塔a暴击
2	11312 21561	   	278.50	橙橙1易伤1伤害1矿等1攻速1平台	1技能点2矿等3激光对冰4攻速5技能68核7易伤9伤害a平台
3	11356 21521	   	278.50	橙橙1易伤1伤害1矿等1攻速1平台	1技能点2矿等3激光对冰4伤害5攻速68核7易伤9赏金塔a平台
4	11312 21563	   	277.14	橙橙1易伤1伤害1矿等1攻速	1技能点2矿等3激光对冰4攻速5技能68核7易伤9伤害a时间
5	11356 21523	   	277.14	橙橙1易伤1伤害1矿等1攻速	1技能点2矿等3激光对冰4伤害5攻速68核7易伤9赏金塔a时间
6	11312 21555	 * 	274.98	橙橙2易伤1矿等1攻速	1技能点2矿等3激光对冰4攻速5技能68核7a易伤9敌人爆炸
7	11352 21543	   	273.16	橙橙1易伤1伤害1矿等1平台	1技能点2矿等3激光对冰4伤害5技能68核7易伤9平台a时间
8	11352 21561	 * 	272.78	橙橙2伤害1易伤1矿等	1技能点2矿等3激光对冰49伤害5技能68核7易伤a低血量敌人
9	11352 21562	   	272.78	橙橙2伤害1易伤1矿等	1技能点2矿等3激光对冰49伤害5技能68核7易伤a敌人爆炸
10	11352 21563	   	272.78	橙橙2伤害1易伤1矿等	1技能点2矿等3激光对冰49伤害5技能68核7易伤a基地爆炸
11	24713 67441	   	270.79	橙橙2易伤1矿等1平台	1加一2挖尘3导弹对绿4平台5矿等68核7a易伤9赏金塔
12	11352 21515	 * 	270.70	橙橙2矿等1易伤1伤害	19技能点2a矿等3激光对冰4伤害5技能68核7易伤
13	21336 21646	   	269.33	橙橙2易伤1矿等	1加一2激光减费35导弹对毒4时间68核79易伤a矿等
14	26144 53362	   	268.89	橙橙2伤害1易伤3策反	1加一24伤害346策反46序列升级56雷电7易伤8最后敌人9a核
15	11312 21553	   	268.84	橙橙1易伤1伤害1矿等1攻速	1技能点2矿等3激光对冰4攻速5技能68核7易伤9敌人爆炸a伤害
16	11312 21562	   	268.84	橙橙1易伤1伤害1矿等1攻速	1技能点2矿等3激光对冰4攻速5技能68核7易伤9伤害a低血量敌人
17	11312 21564	   	268.84	橙橙1易伤1伤害1矿等1攻速	1技能点2矿等3激光对冰4攻速5技能68核7易伤9伤害a敌人爆炸
18	11352 21522	   	268.84	橙橙1易伤1伤害1矿等1暴击	1技能点2矿等3激光对冰4伤害5技能68核7易伤9赏金塔a暴击
19	11352 21553	   	268.84	橙橙1易伤1伤害1矿等1攻速	1技能点2矿等3激光对冰4伤害5技能68核7易伤9敌人爆炸a攻速
20	22754 33428	   	268.79	橙橙2伤害1易伤1攻速	1加一2敌人爆炸3导弹对绿4最后敌人5易伤6攻速7a核89伤害
21	26147 23362	   	268.79	橙橙2伤害1易伤3策反	1加一24伤害345策反4序列升级6雷电7易伤8最后敌人9a核
22	11312 21565	   	268.74	橙橙1易伤1伤害1矿等1攻速	1技能点2矿等3激光对冰4攻速5技能68核7易伤9伤害a掉矿
23	11312 21566	   	268.74	橙橙1易伤1伤害1矿等1攻速	1技能点2矿等3激光对冰4攻速5技能68核7易伤9伤害a挖尘
24	11356 21511	   	268.74	橙橙1易伤1伤害1矿等1攻速	19技能点2矿等3激光对冰4伤害5攻速68核7易伤a低血量敌人
25	11356 21512	   	268.74	橙橙1易伤1伤害1矿等1攻速	19技能点2矿等3激光对冰4伤害5攻速68核7易伤a敌人爆炸
26	11356 21513	   	268.74	橙橙1易伤1伤害1矿等1攻速	19技能点2矿等3激光对冰4伤害5攻速68核7易伤a基地爆炸
27	27384 35124	 * 	268.73	橙3易伤2伤害2攻速1矿等1平台	1加一2随机矿37攻速4平台57伤害678易伤7序列升级9矿等a核
28	11356 21531	   	268.64	橙橙1易伤1伤害1矿等1攻速1挖怪	1技能点2矿等3激光对冰4伤害5攻速68核7易伤9挖怪a雷电
29	11356 21532	   	268.64	橙橙1易伤1伤害1矿等1攻速1挖怪	1技能点2矿等3激光对冰4伤害5攻速68核7易伤9挖怪a立即金币
30	11356 21533	   	268.64	橙橙2伤害1易伤1矿等1攻速1挖怪	1技能点2矿等3激光对冰4a伤害5攻速68核7易伤9挖怪
31	11312 21543	   	266.74	橙橙1易伤1矿等1攻速1平台	1技能点2矿等3激光对冰4攻速5技能68核7易伤9平台a时间
32	22774 23641	 * 	265.84	橙橙3易伤	1加一26敌人爆炸3导弹对绿459易伤78核a最后敌人
33	22774 23642	   	265.84	橙橙3易伤	1加一26a敌人爆炸3导弹对绿459易伤78核
34	22774 23643	   	265.74	橙橙3易伤	1加一26敌人爆炸3导弹对绿459易伤78核a掉矿
35	22774 23644	   	265.74	橙橙3易伤1挖怪	1加一26敌人爆炸3导弹对绿459易伤78核a挖怪
36	11352 21521	   	264.85	橙橙1易伤1伤害1矿等1平台	1技能点2矿等3激光对冰4伤害5技能68核7易伤9赏金塔a平台
37	11352 21541	   	264.75	橙橙1易伤1伤害1矿等1平台1挖怪	1技能点2矿等3激光对冰4伤害5技能68核7易伤9平台a挖怪
38	11352 21542	   	264.75	橙橙1易伤1伤害1矿等1平台	1技能点2矿等3激光对冰4伤害5技能68核7易伤9平台a掉矿
39	14352 21511	   	264.75	橙橙1易伤1伤害1矿等1平台	1技能点2掉矿3激光对冰4伤害5技能68核7易伤9矿等a平台
40	11312 21515	   	264.29	橙橙2矿等1易伤1攻速	19技能点2a矿等3激光对冰4攻速5技能68核7易伤
41	11352 21523	   	263.49	橙橙1易伤1伤害1矿等	1技能点2矿等3激光对冰4伤害5技能68核7易伤9赏金塔a时间
42	14352 21513	   	263.39	橙橙1易伤1伤害1矿等	1技能点2掉矿3激光对冰4伤害5技能68核7易伤9矿等a时间
