0	Index      	 *	Score 	Summary	Detail	
1	23631 33234	 * 	301.51	橙橙3易伤1伤害	1平台2挖尘359易伤456技能点5序列升级78核a伤害
2	24154 33221	 * 	296.62	橙橙2易伤2矿等2平台	12平台39易伤49矿等59激光减费6赏金邻近78核9序列升级a金币生成
3	24154 33222	   	296.52	橙橙2易伤2矿等2平台	12平台39易伤49矿等59a激光减费6赏金邻近78核9序列升级
4	24154 33223	   	296.52	橙橙2易伤2矿等2平台	12平台39易伤49矿等59激光减费6赏金邻近78核9序列升级a双倍秒伤
5	23631 33216	   	286.36	橙橙2易伤1伤害	1平台2挖尘35易伤456技能点5序列升级78核9时间a伤害
6	22231 36133	   	284.03	橙橙2易伤1矿等	1平台2矿等3技能4加农对甲59易伤6低血量敌人7时间8a核
7	22231 66133	   	284.03	橙橙2易伤1矿等	1平台2矿等3技能4加农对甲59易伤6最后敌人7时间8a核
8	22235 16133	   	284.03	橙橙2易伤1矿等	1平台2矿等3技能4加农对甲5低血量敌人69易伤7时间8a核
9	33511 22153	   	283.32	橙橙1易伤2矿等1伤害	1最后敌人2伤害3平台4低血量敌人5电塔对甲6易伤79矿等8a核
10	33521 22153	   	283.32	橙橙1易伤2矿等1伤害	1最后敌人2伤害3平台4敌人爆炸5电塔对甲6易伤79矿等8a核
11	33521 24353	   	283.32	橙橙1易伤2矿等1伤害	1最后敌人2伤害3平台4敌人爆炸5电塔对甲6易伤7a核89矿等
12	53522 22153	   	283.32	橙橙1易伤2矿等1伤害	1低血量敌人2伤害3平台4散射对喷气5基地爆炸6易伤79矿等8a核
13	23311 22153	   	283.22	橙橙1易伤2矿等1伤害	1平台2挖尘3伤害4低血量敌人5电塔对甲6易伤79矿等8a核
14	23321 24353	   	283.22	橙橙1易伤2矿等1伤害	1平台2挖尘3伤害4敌人爆炸5电塔对甲6易伤7a核89矿等
15	23341 22153	   	283.22	橙橙1易伤2矿等1伤害	1平台2挖尘3伤害4最后敌人5电塔对甲6易伤79矿等8a核
16	23341 24353	   	283.22	橙橙1易伤2矿等1伤害	1平台2挖尘3伤害4最后敌人5电塔对甲6易伤7a核89矿等
17	23352 24353	   	283.22	橙橙1易伤2矿等1伤害	1平台2挖尘3伤害4电塔对甲5敌人爆炸6易伤7a核89矿等
18	23355 22153	   	283.22	橙橙1易伤2矿等1伤害	1平台2挖尘3伤害4电塔对甲5最后敌人6易伤79矿等8a核
19	23631 33231	   	281.45	橙橙3易伤	1平台2挖尘359易伤456技能点5序列升级78核a金币生成
20	23631 33235	   	281.45	橙橙3易伤	1平台2挖尘359易伤456技能点5序列升级78核a等级
21	25443 14458	   	281.36	橙橙1易伤1伤害1矿等1攻速	1平台2加一3基地爆炸4矿等5攻速6低血量敌人79核8易伤a伤害
22	23631 33232	   	281.35	橙橙3易伤	1平台2挖尘359易伤456技能点5序列升级78核a激光减费
23	23631 33233	   	281.35	橙橙3易伤	1平台2挖尘359易伤456技能点5序列升级78核a双倍秒伤
24	23631 33236	   	281.35	橙橙3易伤1挖怪	1平台2挖尘359易伤456技能点5序列升级78核a挖怪
25	23241 53216	   	281.22	橙橙1易伤2矿等	1平台2挖尘3基地爆炸4时间5a矿等6易伤78核9全技能
26	23241 53213	   	279.26	橙橙1易伤1矿等1攻速	1平台2挖尘3基地爆炸4时间5矿等6易伤78核9全技能a攻速
27	23631 33256	   	278.05	橙橙2易伤1伤害	1平台2挖尘35易伤456技能点5序列升级78核9基地爆炸a伤害
28	23631 33266	   	278.05	橙橙2易伤1伤害	1平台2挖尘35易伤456技能点5序列升级78核9低血量敌人a伤害
29	22443 43231	 * 	277.42	橙橙3矿等1易伤	1平台235矿等45敌人爆炸5序列升级6挖青78核9易伤a雷电
