0	Index      	 *	Score 	Summary	Detail	
1	14226 33423	 * 	279.39	橙橙3易伤1暴击	1敌人爆炸2掉矿369易伤4爆破对冰5暴击7防空对愈8a核
2	46213 33221	 * 	273.52	橙橙2易伤1伤害1全技能	1伤害2双倍秒伤35易伤4最后敌人6赏金邻近79核8赏金塔a全技能
3	21222 53365	   	265.94	橙橙3易伤	1双倍秒伤23a易伤4赏金邻近5激光对冰6赏金塔79核8低血量敌人
4	45223 33222	   	263.86	橙橙2易伤1伤害	1伤害2赏金塔3低血量敌人4挖青5最后敌人6a易伤79核8赏金邻近
5	45243 33222	   	263.86	橙橙2易伤1伤害	1伤害2赏金塔3低血量敌人4挖尘5最后敌人6a易伤79核8赏金邻近
6	46213 33224	   	263.86	橙橙2易伤1伤害	1伤害2双倍秒伤35易伤4最后敌人6赏金邻近79核8赏金塔a低血量敌人
7	46213 33222	   	263.76	橙橙2易伤1伤害	1伤害2双倍秒伤35易伤4最后敌人6赏金邻近79核8赏金塔a挖青
8	46213 33223	   	263.76	橙橙2易伤1伤害	1伤害2双倍秒伤35易伤4最后敌人6赏金邻近79核8赏金塔a掉矿
9	46213 33225	   	263.76	橙橙2易伤1伤害1卖塔	1伤害2双倍秒伤35易伤4最后敌人6赏金邻近79核8赏金塔a卖塔
10	15216 12132	   	261.08	橙橙2易伤1矿等1卖塔	1敌人爆炸23易伤4矿等5等级6a核7双倍秒伤8卖塔9额外掉落
11	45632 32312	 * 	258.37	紫橙2易伤1伤害1攻速1平台	1伤害2赏金塔37核4激光对冰5平台6基地爆炸89易伤a攻速
12	15221 14134	   	257.45	橙橙2易伤1暴击	14敌人爆炸23易伤57最后敌人6a核8技能点9暴击
13	15222 16134	   	257.25	橙橙2易伤1暴击	14敌人爆炸23易伤5挖尘6a核7掉矿8激光减费9暴击
14	14213 33132	   	257.08	橙橙1易伤1矿等1暴击	1敌人爆炸2掉矿3易伤4额外掉落5暴击6矿等7a核8时间9最后敌人
15	14213 33222	   	257.08	橙橙1易伤1矿等1暴击	1敌人爆炸2掉矿3易伤4额外掉落5暴击6矿等7a核8低血量敌人9时间
16	14213 33322	   	257.08	橙橙1易伤1矿等1暴击	1敌人爆炸2掉矿3易伤4额外掉落5暴击6矿等7a核8基地爆炸9时间
17	14623 33142	   	257.08	橙橙1易伤1矿等1暴击	1敌人爆炸2掉矿3额外掉落4低血量敌人5暴击6矿等7a核8时间9易伤
18	34313 33142	   	256.98	橙橙1易伤1矿等1暴击	1挖尘2掉矿3低血量敌人4额外掉落5暴击6矿等7a核8时间9易伤
19	34623 33142	   	256.98	橙橙1易伤1矿等1暴击	1挖尘2掉矿3额外掉落4低血量敌人5暴击6矿等7a核8时间9易伤
20	42412 11413	 * 	256.87	橙橙3伤害1全技能	145伤害2时间3全技能6低血量敌人7技能8a核9基地爆炸
21	45112 53221	   	255.62	橙橙1易伤1伤害1全技能	1伤害2赏金塔3易伤4最后敌人5挖尘6时间79核8赏金邻近a全技能
22	23342 42422	   	252.10	橙橙2易伤	1双倍秒伤2赏金塔3时间4基地爆炸56易伤7a核8额外掉落9最后敌人
23	21222 53462	   	252.10	橙橙2易伤	1双倍秒伤23易伤4赏金邻近5激光对冰6赏金塔79核8时间a敌人爆炸
24	23332 42422	   	252.00	橙橙2易伤	1双倍秒伤2赏金塔3时间4挖尘56易伤7a核8额外掉落9最后敌人
25	21222 53461	   	252.00	橙橙2易伤	1双倍秒伤23易伤4赏金邻近5激光对冰6赏金塔79核8时间a导弹对黄
26	21222 53463	   	252.00	橙橙2易伤	1双倍秒伤23易伤4赏金邻近5激光对冰6赏金塔79核8时间a掉矿
