0	Index      	 *	Score 	Summary	Detail	
1	41411 62132	 * 	284.45	橙3易伤3伤害3矿等	178矿等278伤害3导弹对绿4双倍物品5基地爆炸678易伤78序列升级9金币生成a核
2	21523 14234	 * 	280.95	紫4易伤3伤害2矿等1全技能1平台	127伤害379a易伤4核57矿等6平台7序列升级8全技能
3	21521 25432	 * 	280.84	紫橙3易伤2伤害	12伤害37a易伤48核5赏金邻近6雷电9低血量敌人
4	41162 41314	 * 	277.91	橙橙1易伤3时间1伤害1矿等	1矿等2伤害359时间4易伤6加一7赏金塔8a核
5	25521 33353	 * 	277.44	紫橙2易伤2伤害2暴击	18伤害27立即金币38易伤4a核5赏金邻近68暴击8序列升级9寒冰对黄
6	26521 33353	   	277.34	紫橙2易伤2伤害2暴击	18伤害2激光减费38易伤4a核5赏金邻近68暴击7立即金币8序列升级9寒冰对黄
7	31623 13528	 * 	275.99	紫橙2伤害1易伤2矿等1攻速	1攻速26伤害35矿等49核7加一8赏金邻近a易伤
8	21523 14235	   	274.45	紫3易伤3伤害2矿等1暴击1全技能1平台	127伤害379易伤4核57矿等6平台7序列升级8全技能a暴击
9	21516 61222	 * 	273.75	橙橙3伤害1易伤	126伤害3易伤4挖尘58雷电7赏金邻近9a核
10	21244 15322	   	273.65	橙橙3伤害1易伤	124伤害3最后敌人5双倍秒伤6易伤7雷电8挖尘9a核
11	21516 61322	   	273.65	橙橙3伤害1易伤	126伤害3易伤48挖尘5雷电7赏金邻近9a核
12	21526 16312	 * 	272.93	紫橙2易伤3伤害	128伤害37易伤4a核5挖尘6雷电9赏金塔
13	31651 32613	   	271.60	橙橙1易伤1伤害1矿等1攻速	1攻速2伤害3矿等4易伤5技能点6a核7双倍秒伤8最后敌人9敌人爆炸
14	31651 32623	   	271.60	橙橙1易伤1伤害1矿等1攻速	1攻速2伤害3矿等4易伤5技能点6a核7双倍秒伤8最后敌人9低血量敌人
15	31651 32382	   	271.50	橙橙1易伤1伤害1矿等1攻速	1攻速2伤害3矿等4易伤5技能点6a核7双倍秒伤8加一9赏金邻近
16	31651 32513	   	271.50	橙橙1易伤1伤害1矿等1攻速	1攻速2伤害3矿等4易伤5技能点6a核7双倍秒伤8挖尘9敌人爆炸
17	31651 32523	   	271.50	橙橙1易伤1伤害1矿等1攻速	1攻速2伤害3矿等4易伤5技能点6a核7双倍秒伤8挖尘9最后敌人
18	31651 32633	   	271.50	橙橙1易伤1伤害1矿等1攻速	1攻速2伤害3矿等4易伤5技能点6a核7双倍秒伤8最后敌人9挖尘
19	21541 35222	   	271.44	橙2易伤3伤害2矿等2时间1平台	124伤害3a易伤5平台6核7赏金塔8a时间9a矿等a序列升级
20	21521 12223	   	270.92	紫橙2易伤2伤害1暴击	12伤害38易伤4a核5赏金邻近6立即金币7基础对甲9暴击
21	21521 52223	   	270.92	紫橙2易伤2伤害1暴击	12伤害38易伤4a核5赏金邻近6双倍矿7基础对甲9暴击
22	21525 12223	   	270.92	紫橙2易伤2伤害1暴击	12伤害38易伤4a核5赏金塔6立即金币7基础对甲9暴击
23	21525 52223	   	270.92	紫橙2易伤2伤害1暴击	12伤害38易伤4a核5赏金塔6双倍矿7基础对甲9暴击
24	25521 61223	   	270.92	紫橙2易伤2伤害1暴击	17伤害2立即金币38易伤4a核5赏金邻近6爆破对壮9暴击
25	21521 36523	   	270.82	紫橙2易伤2伤害1暴击	12伤害39易伤4a核5赏金邻近6暴击7电塔对甲8激光减费
26	26521 61223	   	270.82	紫橙2易伤2伤害1暴击	17伤害2激光减费38易伤4a核5赏金邻近6爆破对壮9暴击
