0	Index      	 *	Score 	Summary	Detail	
1	21562 13234	 * 	298.09	橙橙3易伤2攻速	1技能2赏金邻近35a易伤45攻速5序列升级68掉矿79核
2	21562 13235	   	284.29	橙橙2易伤2攻速	1技能2赏金邻近35易伤45攻速5序列升级68掉矿79核a全技能
3	52183 13335	   	280.20	橙橙3易伤	18a易伤2加一38敌人爆炸4挖尘5时间68掉矿79核8序列升级
4	25124 62233	 * 	276.38	紫橙2易伤2矿等1攻速	1技能28易伤39核4攻速58矿等678基地爆炸8序列升级a平台
5	25134 22352	 * 	274.81	紫橙2易伤1伤害2暴击2时间	1技能2a易伤38核4a时间5伤害6随机矿7基地爆炸9a暴击a序列升级
6	21562 13231	   	274.63	橙橙2易伤2攻速	1技能2赏金邻近35易伤45攻速5序列升级68掉矿79核a雷电
7	21562 13232	   	274.63	橙橙2易伤2攻速	1技能2赏金邻近35易伤45攻速5序列升级68掉矿79核a敌人爆炸
8	26562 13231	   	274.63	橙橙2易伤2攻速	1技能2赏金塔35易伤45攻速5序列升级68掉矿79核a雷电
9	26562 13232	   	274.63	橙橙2易伤2攻速	1技能2赏金塔35易伤45攻速5序列升级68掉矿79核a敌人爆炸
10	21562 13233	   	274.53	橙橙2易伤2攻速1挖怪	1技能2赏金邻近35易伤45攻速5序列升级68掉矿79核a挖怪
11	21562 13236	   	274.53	橙橙2易伤2攻速1策反	1技能2赏金邻近35易伤45攻速5序列升级68掉矿79核a策反
12	21563 13234	   	274.53	橙橙2易伤2攻速	1技能2赏金邻近3a易伤45攻速68掉矿79核
13	26562 13233	   	274.53	橙橙2易伤2攻速1挖怪	1技能2赏金塔35易伤45攻速5序列升级68掉矿79核a挖怪
14	51211 21256	   	271.84	橙橙2易伤1暴击	19易伤2掉矿34低血量敌人5全技能6暴击7技能8a核
15	52153 13634	   	270.38	橙橙2易伤1攻速	18易伤2加一3敌人爆炸4低血量敌人5时间6掉矿79核a攻速
16	52183 13337	   	270.38	橙橙2易伤1攻速	18易伤2加一38敌人爆炸4挖尘5时间68掉矿79核8序列升级a攻速
17	25123 36234	 * 	269.19	紫橙3易伤2攻速	1技能26a易伤39核47攻速5赏金邻近8掉矿
18	55111 52231	   	269.12	橙橙2易伤1攻速	12易伤3敌人爆炸4挖尘5基地爆炸69核7技能8攻速a核弹
19	23212 53534	 * 	268.49	橙橙2易伤1伤害	1技能2基地爆炸3掉矿4挖尘5a易伤69核7低血量敌人8伤害
20	25242 13234	   	268.49	橙橙2易伤1伤害	1技能2a易伤38掉矿4伤害5赏金塔6立即金币79核
21	51142 13234	   	268.49	橙橙2易伤1伤害	1a易伤28掉矿3技能4伤害5赏金塔6立即金币79核
22	52531 83334	   	268.39	橙橙2易伤1伤害	18易伤2加一368技能点48敌人爆炸5双倍秒伤79核8序列升级a伤害
23	52582 13334	   	268.39	橙橙2易伤1伤害	14易伤2加一348技能点4序列升级5赏金塔6立即金币79核a伤害
