0	Index      	 *	Score 	Summary	Detail	
1	13261 22313	 * 	283.38	紫橙2易伤2伤害2攻速	1技能29攻速3a核4挖青56技能点79易伤89伤害9序列升级
2	33251 13611	 * 	270.66	橙3易伤2矿等1伤害2暴击1攻速	16a易伤2基地爆炸3a暴击4攻速5伤害7a矿等8核9双倍秒伤a序列升级
3	32164 32223	 * 	266.49	橙橙2易伤1平台	19易伤28金币生成3立即金币4时间5毒液对冰6平台7a核
4	32164 32323	   	266.49	橙橙2易伤1平台	19易伤2金币生成38立即金币4时间5毒液对冰6平台7a核
5	32165 32223	   	266.49	橙橙2易伤1平台	19易伤28金币生成3立即金币4时间5寒冰对黄6平台7a核
6	32165 32323	   	266.49	橙橙2易伤1平台	19易伤2金币生成38立即金币4时间5寒冰对黄6平台7a核
7	31244 33523	   	261.98	橙橙2易伤1暴击	16易伤2低血量敌人3暴击4双倍秒伤5导弹对绿7a核8敌人爆炸9加一
8	33251 33611	 * 	259.65	橙2易伤2矿等2攻速1伤害2暴击	1a易伤2基地爆炸3a暴击46攻速5伤害7a矿等8核9双倍秒伤a序列升级
9	32654 32223	   	258.19	橙橙2易伤1平台	19易伤28金币生成3敌人爆炸4双倍矿5毒液对冰6平台7a核
10	32654 32323	   	258.19	橙橙2易伤1平台	19易伤2金币生成3敌人爆炸4双倍矿5毒液对冰6平台7a核8立即金币
11	32655 32223	   	258.19	橙橙2易伤1平台	19易伤28金币生成3敌人爆炸4双倍矿5寒冰对黄6平台7a核
12	32655 32323	   	258.19	橙橙2易伤1平台	19易伤2金币生成3敌人爆炸4双倍矿5寒冰对黄6平台7a核8立即金币
13	36124 32223	   	258.19	橙橙2易伤1平台	19易伤2敌人爆炸3立即金币48金币生成5毒液对冰6平台7a核
14	36124 32323	   	258.19	橙橙2易伤1平台	19易伤2敌人爆炸38立即金币4金币生成5毒液对冰6平台7a核
15	36125 32223	   	258.19	橙橙2易伤1平台	19易伤2敌人爆炸3立即金币48金币生成5寒冰对黄6平台7a核
16	36125 32323	   	258.19	橙橙2易伤1平台	19易伤2敌人爆炸38立即金币4金币生成5寒冰对黄6平台7a核
17	35321 26421	 * 	257.85	橙橙1易伤2暴击2全技能	1易伤25暴击36全技能4双倍矿7喷火对愈8a核9爆破对壮
18	33251 13631	   	256.94	橙3易伤1伤害1矿等1攻速1暴击	16a易伤2基地爆炸3暴击4攻速5伤害7矿等8核9时间
19	13214 22266	 * 	254.39	紫4易伤2矿等2攻速1伤害	1技能27攻速3核4掉矿579a易伤67矿等7序列升级8伤害
20	13234 22266	   	254.39	紫4易伤2矿等2攻速1伤害	1技能27攻速3核4技能点579a易伤67矿等7序列升级8伤害
21	12411 13611	 * 	254.39	橙3易伤2伤害2矿等1卖塔	1技能2卖塔36a易伤4基地爆炸5a伤害7a矿等8核9双倍秒伤a序列升级
