0	Index      	 *	Score 	Summary	Detail	
1	33121 34863	 * 	284.97	橙橙3伤害3暴击3时间	1赏金邻近238时间4加一58a伤害69核78a暴击8a序列升级
2	34222 41225	 * 	274.98	橙橙2易伤1矿等1攻速	1赏金邻近2a易伤3赏金塔4攻速5矿等6散射对喷气78核9随机矿
3	62331 66111	   	274.98	橙橙2易伤1矿等1暴击	1矿等2基础对愈38易伤4基地爆炸5暴击6雷电7a核9敌人爆炸
4	34222 41262	 * 	274.05	橙橙2矿等1易伤1攻速1平台	1赏金邻近2易伤3赏金塔4攻速59矿等6散射对喷气78核a平台
5	33121 34865	   	272.84	橙橙2伤害3时间2暴击1平台	1赏金邻近238时间4加一58伤害69核78暴击8序列升级a平台
6	61121 33451	 * 	264.85	橙橙1易伤1伤害1矿等1平台	1矿等2赏金邻近3金币生成4加一5伤害6a核7赏金塔8易伤9平台
7	61421 33451	   	264.85	橙橙1易伤1伤害1矿等1平台	1矿等2赏金邻近3等级4加一5伤害6a核7赏金塔8易伤9平台
8	65121 33451	   	264.85	橙橙1易伤1伤害1矿等1平台	1矿等2赏金塔3金币生成4加一5伤害6a核7赏金邻近8易伤9平台
9	61521 33451	   	264.75	橙橙1易伤1伤害1矿等1平台	1矿等2赏金邻近3技能点4加一5伤害6a核7赏金塔8易伤9平台
10	34222 41261	   	264.29	橙橙2矿等1易伤1攻速	1赏金邻近2易伤3赏金塔4攻速59矿等6散射对喷气78核a加一
11	34222 41263	   	264.29	橙橙2矿等1易伤1攻速1卖塔	1赏金邻近2易伤3赏金塔4攻速59矿等6散射对喷气78核a卖塔
12	33121 34861	   	263.18	橙橙2伤害3时间2暴击	1赏金邻近238时间4加一58伤害69核78暴击8序列升级a立即金币
13	33121 34862	   	263.18	橙橙2伤害3时间2暴击	1赏金邻近238时间4加一58伤害69核78暴击8序列升级a敌人爆炸
14	33121 34864	   	263.18	橙橙2伤害3时间2暴击	1赏金邻近238时间4加一58伤害69核78暴击8序列升级a雷电
15	33121 34866	   	263.18	橙橙2伤害3时间2暴击	1赏金邻近238时间4加一58伤害69核78暴击8序列升级a基地爆炸
16	33121 34867	   	263.18	橙橙2伤害3时间2暴击	1赏金邻近238时间4加一58伤害69核78暴击8序列升级a金币生成
17	33121 34663	   	263.08	橙橙2伤害3时间2暴击	1赏金邻近238时间4加一5a伤害69核7a暴击a序列升级
18	33121 34868	   	263.08	橙橙2伤害3时间2暴击	1赏金邻近238时间4加一58伤害69核78暴击8序列升级a双倍秒伤
19	11513 33742	   	259.37	橙橙1易伤1伤害1暴击1策反	14敌人爆炸2伤害3易伤5加一6a核7策反8时间9暴击
20	11553 33742	   	259.37	橙橙1易伤1伤害1暴击1策反	1敌人爆炸2伤害3易伤4加一5立即金币6a核7策反8时间9暴击
21	34222 41223	   	258.44	橙橙1易伤1矿等1攻速1平台	1赏金邻近2易伤3赏金塔4攻速5矿等6散射对喷气78核9随机矿a平台
22	34222 41243	   	258.44	橙橙1易伤1矿等1攻速1平台	1赏金邻近2易伤3赏金塔4攻速5矿等6散射对喷气78核9等级a平台
23	42252 21224	   	258.24	橙橙1易伤1矿等1攻速1平台	1技能点2基础对愈3平台4易伤5核弹6攻速7a核8矿等9雷电
24	26251 21224	   	258.19	橙橙1易伤1矿等1攻速1平台1策反	1策反2散射对甲3平台4易伤5随机矿6攻速7a核8矿等9雷电
25	33521 34817	   	258.07	橙橙2伤害2暴击2时间	1赏金邻近28时间3双倍矿4加一58伤害6a核78暴击8序列升级9技能点
26	34222 41222	   	257.08	橙橙1易伤1矿等1攻速	1赏金邻近2易伤3赏金塔4攻速5矿等6散射对喷气78核9随机矿a时间
27	34222 41242	   	257.08	橙橙1易伤1矿等1攻速	1赏金邻近2易伤3赏金塔4攻速5矿等6散射对喷气78核9等级a时间
28	34222 41214	   	256.98	橙橙1易伤1矿等1攻速	1赏金邻近2易伤3赏金塔4攻速5矿等6散射对喷气78核9爆破对壮a时间
29	34222 41213	   	255.61	橙橙1易伤1矿等1攻速	1赏金邻近2易伤3赏金塔4攻速5矿等6散射对喷气78核9爆破对壮a核弹
30	61352 41213	   	255.19	橙橙1易伤1伤害1矿等	1矿等2赏金邻近3基地爆炸4伤害5赏金塔6寒冰对冰78核9毒液对冰a易伤
