0	Index      	 *	Score 	Summary	Detail	
1	35421 11633	 * 	289.52	橙橙3易伤1矿等	124易伤2序列升级3双倍秒伤5雷电6赏金塔7a核8矿等9低血量敌人
2	25261 11134	   	288.02	橙橙2易伤1矿等1攻速	1雷电2矿等3攻速4时间5赏金塔68易伤7a核9双倍秒伤
3	25262 11134	   	288.02	橙橙2易伤1矿等1攻速	1雷电2矿等3攻速4时间5赏金邻近68易伤7a核9双倍秒伤
4	35332 26125	   	281.40	橙橙2易伤1暴击1全技能1平台	12易伤2序列升级3基础对愈4挖尘5平台6a核7随机矿8暴击9全技能
5	35134 22428	   	280.20	橙橙3易伤	123易伤2序列升级4挖尘5加一6时间7a核8额外掉落9低血量敌人
6	35134 22448	   	280.20	橙橙3易伤	123易伤2序列升级4挖尘5加一6时间7a核8额外掉落9基地爆炸
7	32413 26342	 * 	278.68	橙橙1易伤1伤害2时间1暴击1平台	1易伤2赏金邻近34时间5暴击6伤害7双倍秒伤8a核9平台
8	33235 26342	 * 	277.91	橙橙2易伤1伤害1平台1卖塔	14易伤2卖塔3挖尘5赏金邻近6伤害7双倍秒伤8a核9平台
9	35211 22651	 * 	277.00	橙橙2易伤1伤害	12易伤2序列升级3伤害4敌人爆炸5随机矿6时间79核8低血量敌人a等级
10	35211 22652	   	277.00	橙橙2易伤1伤害	12易伤2序列升级3伤害4敌人爆炸5随机矿6时间79核8低血量敌人a雷电
11	35211 22653	   	277.00	橙橙2易伤1伤害	12易伤2序列升级3伤害4a敌人爆炸5随机矿6时间79核8低血量敌人
12	32425 21134	   	276.80	橙橙2易伤1伤害	18易伤2赏金邻近3时间4雷电5伤害6技能点7a核9双倍秒伤
13	32441 11134	   	276.80	橙橙2易伤1伤害	18易伤2赏金邻近3时间4技能点5伤害6雷电7a核9双倍秒伤
14	35531 62133	 * 	272.75	橙5易伤2矿等1平台	12468易伤26序列升级3平台56矿等7时间9低血量敌人a核
15	31613 25324	   	272.13	橙橙1易伤1伤害1攻速1平台	1易伤2挖尘3伤害4时间5攻速6低血量敌人7平台8a核9赏金塔
