0	Index      	 *	Score 	Summary	Detail	
1	15113 33355	 * 	254.07	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|37DMG|47TLV|579VULN|6TBNT|7BPWR|8ZMB|aRCR
2	16233 26412	 * 	249.10	DCR|DCR|1VULN|1TLV|1DMG	17RCVC|2DMG|3MDPS|4LHND|5BOSS|6aRCR|8VULN|9TLV
3	16223 26412	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	17RCVC|2DMG|3MDPS|4LEGI|5BOSS|6aRCR|8VULN|9TLV
4	65233 22422	   	244.44	DCR|DCR|1VULN|1TLV|1MLV|1NUKE	1NUKE|2MLV|3MDPS|4CGEN|5BOSS|6aRCR|7AEPOI|8VULN|9TLV
5	15112 63314	   	244.15	DCR|2VULN|2TLV|1DMG|1MSLTOX|1DUR|1AART	1RCVC|2AART|3DMG|45TLV|68VULN|7RCR|9DUR|aMSLTOX
6	15112 63312	   	243.50	DCR|2VULN|2TLV|1DMG|1MLV|1DUR|1AART	1RCVC|2AART|3DMG|45TLV|68VULN|7RCR|9DUR|aMLV
7	15112 63322	 * 	242.30	DCR|2VULN|2TLV|2AART|1DMG|1MLV	1RCVC|29AART|3DMG|45TLV|68VULN|7RCR|aMLV
8	11323 66334	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RCVC|2MDPS|37BEXP|4DUR|5DMG|68RCR|9DUST|aVULN
9	33211 23612	   	235.98	DCR|DCR|1VULN|1TLV	1DUST|2BOSS|3ASPD|4VULN|57BEXP|6aRCR|8FEWX|9TLV
10	33211 26612	   	235.98	DCR|DCR|1VULN|1TLV	1DUST|2BOSS|3ASPD|4VULN|5BEXP|6aRCR|7RCVC|8FEWX|9TLV
11	33231 23412	   	235.98	DCR|DCR|1VULN|1TLV	1DUST|2BOSS|3ASPD|4FEWX|57BEXP|6aRCR|8VULN|9TLV
12	33211 22612	   	235.88	DCR|DCR|1VULN|1TLV	1DUST|2BOSS|3ASPD|4VULN|5BEXP|6aRCR|7AEPOI|8FEWX|9TLV
13	15116 63312	   	233.07	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1AART	1RCVC|2AART|3DMG|4TLV|5AEPOI|68VULN|7RCR|9DUR|aMLV
14	15116 63322	   	231.87	DCR|2VULN|2AART|1TLV|1DMG|1MLV	1RCVC|29AART|3DMG|4TLV|5AEPOI|68VULN|7RCR|aMLV
15	46313 63232	 * 	231.83	DCR|2DMG|2TLV|1VULN|2DUR|1CDMG	1RAT|29DMG|3CDMG|4RPLT|5VULN|69DUR|7FRZFST|89TLV|9BPWR|aRCR
16	11323 66361	   	230.66	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2MDPS|37BEXP|4DUR|5DMG|68RCR|9RAT|aTLV
17	11363 11526	   	230.66	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2MDPS|349BEXP|5DMG|6TLV|7aRCR|8DUR
18	11123 61262	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2MDPS|3FEWX|4DUR|5DMG|6aRCR|7LIT|8ERES|9TLV
19	11323 61262	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2MDPS|3BEXP|4DUR|5DMG|6aRCR|7LIT|8ERES|9TLV
20	13223 61262	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2FEWX|3MDPS|4DUR|5DMG|6aRCR|7LIT|8ERES|9TLV
21	16213 23262	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2DMG|3MDPS|4DUR|5BOSS|6aRCR|7BEXP|8ERES|9TLV
22	16233 24262	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2DMG|3MDPS|4LHND|5BOSS|6aRCR|7DUR|8ERES|9TLV
23	31123 61262	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1DUST|2LWND|3FEWX|4DUR|5DMG|6aRCR|7LIT|8ERES|9TLV
24	31223 61262	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1DUST|2LWND|3BEXP|4DUR|5DMG|6aRCR|7LIT|8ERES|9TLV
25	11623 62361	   	230.46	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2MDPS|37DUST|4DUR|5DMG|68RCR|9RAT|aTLV
26	16223 24262	   	230.46	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2DMG|3MDPS|4LEGI|5BOSS|6aRCR|7DUR|8ERES|9TLV
27	11623 61262	   	230.46	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2MDPS|3DUST|4DUR|5DMG|6aRCR|7LIT|8ERES|9TLV
28	11623 62331	   	230.36	DCR|DCR|1TLV|1DMG|1DUR	1RCVC|2MDPS|379DUST|4DUR|5DMG|68RCR|aTLV
29	35223 61262	   	230.36	DCR|DCR|1TLV|1DMG|1DUR	12DUST|3MDPS|4DUR|5DMG|6aRCR|7LIT|8ERES|9TLV
30	51223 65321	 * 	230.26	DCR|DCR|2DUR|1DMG|1AAC	1AEBURN|2AETHUN|3MDPS|47DUR|5DMG|68RCR|9AAC|aLHND
