0	Index      	 *	Score 	Summary	Detail	
1	31236 56222	 * 	250.48	ACR|DCR|2VULN|2AART|1MLV|1CDMG	1aAART|2MDPS|36RCR|4BEXP|57VULN|8MLV|9CDMG
2	21231 36632	 * 	248.62	ACR|DCR|2VULN|1TLV|1DUR|1AART	1BEXP|2TLV|3ZMB|4DUR|5aRCR|6BBNT|78VULN|9AART
3	21311 36632	   	248.62	ACR|DCR|2VULN|1TLV|1DUR|1AART	1BEXP|2TLV|3DUR|4ZMB|5aRCR|6BBNT|78VULN|9AART
4	15436 31321	 * 	246.97	DCR|4VULN|2DUR|1DMG|1MLV	1AME|2DMG|3467VULN|5MLV|8aDUR|9RCR
5	31236 56231	 * 	246.41	ACR|DCR|3VULN|1MLV|1AART	1AART|2MDPS|36RCR|4BEXP|57aVULN|8MLV|9AME
6	15412 31324	 * 	245.02	DCR|4VULN|1TLV|1DMG|1DUR	1AME|2DMG|367aVULN|4TLV|5AEFRZ|8DUR|9RCR
7	31236 52361	   	244.56	ACR|DCR|3VULN|1AART|1DUR	1AART|2MDPS|36RCR|4BEXP|58aVULN|7LIT|9DUR
8	24483 74334	 * 	243.36	ACR|DCR|3VULN|1TLV	1BEXP|2MBVNT|3TLV|48RCR|57aVULN|6AEWIND|9RAT
9	11622 38622	 * 	242.39	DCR|DCR|1VULN|2DUR|1AART	1AME|2AEFRZ|3AART|45DUR|6MBVNT|7VULN|8aRCR|9RCVC
10	31236 52323	 * 	241.29	ACR|DCR|2VULN|2AART|1DMG	1aAART|2MDPS|36RCR|4BEXP|58VULN|7LIT|9DMG
11	12341 52864	   	238.83	DCR|DCR|1VULN|1MLV|1AART	1AME|2ASPD|3MBVNT|4RAT|5VENICY|6AART|7aRCR|8MLV|9VULN
12	12344 52864	   	238.83	DCR|DCR|1VULN|1MLV|1AART	1AME|2ASPD|3MBVNT|4RAT|5LSRICY|6AART|7aRCR|8MLV|9VULN
13	15412 31321	 * 	238.31	DCR|3VULN|2DUR|1TLV|1DMG	1AME|2DMG|367VULN|4TLV|5AEFRZ|8aDUR|9RCR
14	31236 56212	   	237.93	ACR|DCR|2VULN|1MLV|1AART|1AAC|1MSE	1AART|2MDPS|36RCR|4BEXP|57VULN|8MLV|9MSE|aAAC
15	31236 56221	   	237.93	ACR|DCR|2VULN|1MLV|1AART|1CDMG	1AART|2MDPS|36RCR|4BEXP|57VULN|8MLV|9CDMG|aLEGI
16	31236 56223	   	237.93	ACR|DCR|2VULN|1MLV|1AART|1CDMG|1SELL	1AART|2MDPS|36RCR|4BEXP|57VULN|8MLV|9CDMG|aSELL
17	22434 31324	 * 	235.91	DCR|5VULN|1DMG|1DUR	12BEXP|2BPWR|3467aVULN|5DMG|8DUR|9RCR
18	43261 32113	 * 	235.78	DCR|DCR|1VULN|1FLTARM	1BASARM|2RCVC|3ERES|4ASPD|5BEXP|69RCR|7FLTARM|8BASICY|aVULN
19	43261 32413	   	235.78	DCR|DCR|1VULN|1FLTARM	1BASARM|2RCVC|3ERES|4ASPD|5BEXP|69RCR|7FLTARM|8MGNBOS|aVULN
20	43265 32113	   	235.78	DCR|DCR|1VULN|1FLTARM	1BASARM|2RCVC|3ERES|4ASPD|5LWND|69RCR|7FLTARM|8BASICY|aVULN
21	12431 43311	 * 	235.77	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1AME|2ASPD|3VULN|4DUR|58RCR|6BOSS|7BEXP|9TLV|aDMG
22	12431 44311	   	235.77	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1AME|2ASPD|3VULN|4DUR|58RCR|6BOSS|7LHND|9TLV|aDMG
23	12431 46311	   	235.77	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1AME|2ASPD|3VULN|4DUR|58RCR|6BOSS|7FEWX|9TLV|aDMG
24	42261 32113	   	235.68	DCR|DCR|1VULN|1FLTARM	1BASARM|2AEPOI|3ERES|4ASPD|5BEXP|69RCR|7FLTARM|8BASICY|aVULN
25	42261 32413	   	235.68	DCR|DCR|1VULN|1FLTARM	1BASARM|2AEPOI|3ERES|4ASPD|5BEXP|69RCR|7FLTARM|8MGNBOS|aVULN
26	42265 32113	   	235.68	DCR|DCR|1VULN|1FLTARM	1BASARM|2AEPOI|3ERES|4ASPD|5LWND|69RCR|7FLTARM|8BASICY|aVULN
27	54131 82314	   	234.97	ACR|DCR|2VULN|1TLV|1AART|1AAC	13FEWX|2MBVNT|46VULN|58RCR|7TLV|9AAC|aAART
28	54131 82331	   	234.97	ACR|DCR|2VULN|1TLV|1CDMG	13FEWX|2MBVNT|46VULN|58RCR|7TLV|9RAT|aCDMG
29	21261 33632	   	234.87	ACR|DCR|2VULN|1TLV|1AART	1BEXP|2TLV|3ZMB|48VULN|5aRCR|6BBNT|7DUST|9AART
30	24483 74331	   	234.87	ACR|DCR|2VULN|1TLV|1CDMG	1BEXP|2MBVNT|3TLV|48RCR|57VULN|6AEWIND|9RAT|aCDMG
31	31236 52261	   	234.87	ACR|DCR|2VULN|2AART|1DUR	18AART|2MDPS|36RCR|4BEXP|5aVULN|7LIT|9DUR
32	31236 52311	   	234.87	ACR|DCR|2VULN|2AART|1CDMG	19AART|2MDPS|36RCR|4BEXP|58VULN|7LIT|aCDMG
33	31236 53151	   	234.87	ACR|DCR|2VULN|2AART|1DUR	18AART|2MDPS|36RCR|49BEXP|5aVULN|7DUR
34	31236 53236	   	234.87	ACR|DCR|2VULN|2AART|1DUR	1aAART|2MDPS|36RCR|4BEXP|59VULN|7DUR|8ZMB
35	54131 82311	   	234.87	ACR|DCR|2VULN|1TLV|1AAC	13aFEWX|2MBVNT|46VULN|58RCR|7TLV|9AAC
36	54131 82312	   	234.87	ACR|DCR|2VULN|1TLV|1AAC	13FEWX|2MBVNT|46VULN|58RCR|7TLV|9AAC|aBBNT
37	54131 82313	   	234.87	ACR|DCR|2VULN|1TLV|1AAC	13FEWX|2MBVNT|46VULN|58RCR|7TLV|9AAC|aVENFST
38	61261 33632	   	234.87	ACR|DCR|2VULN|1TLV|1AART	1DUST|2TLV|3ZMB|48VULN|5aRCR|6BBNT|7BEXP|9AART
39	21351 16432	 * 	234.87	ACR|DCR|1VULN|2DUR|1TLV|1AART	1BEXP|2TLV|37DUR|4VULN|5aRCR|6TBNT|8ZMB|9AART
40	24483 74311	   	234.77	ACR|DCR|2VULN|1TLV|1AAC	1BEXP|2MBVNT|3TLV|48RCR|57VULN|6AEWIND|9AAC|aFEWX
41	24483 74312	   	234.77	ACR|DCR|2VULN|1TLV|1AAC	1BEXP|2MBVNT|3TLV|48RCR|57VULN|6AEWIND|9AAC|aLIT
42	24483 74313	   	234.77	ACR|DCR|2VULN|1TLV|1AAC	1aBEXP|2MBVNT|3TLV|48RCR|57VULN|6AEWIND|9AAC
43	24483 74314	   	234.77	ACR|DCR|2VULN|1TLV|1AAC	1BEXP|2MBVNT|3TLV|48RCR|57VULN|6AEWIND|9AAC|aLWND
44	15436 31323	   	234.52	DCR|4VULN|1DMG|1MLV|1DUR	1AME|2DMG|3467VULN|5MLV|8DUR|9RCR|aLIT
45	15436 31221	   	234.42	DCR|4VULN|1DMG|1MLV|1DUR	1AME|2DMG|3467VULN|5MLV|8DUST|9RCR|aDUR
46	15436 31322	   	234.42	DCR|4VULN|1DMG|1MLV|1DUR|1MSE	1AME|2DMG|3467VULN|5MLV|8DUR|9RCR|aMSE
47	15436 31122	   	234.27	DCR|4VULN|1DMG|1MLV|1CDMG|1SELL	1AME|2DMG|3467VULN|5MLV|8CDMG|9SELL|aRCR
48	51343 36123	 * 	234.15	DCR|2DMG|1VULN|2DUR|1FLTARM|1TLV	18FEWX|2TLV|38DUR|4LHND|5VULN|68DMG|7RCR|8BPWR|9BEXP|aFLTARM
49	61343 36123	   	233.95	DCR|2DMG|1VULN|2DUR|1FLTARM|1TLV	18DUST|2TLV|38DUR|4LHND|5VULN|68DMG|7RCR|8BPWR|9BEXP|aFLTARM
50	21231 36332	 * 	232.75	ACR|DCR|2TLV|1VULN|1DUR|1AART	1BEXP|28TLV|3ZMB|4DUR|5aRCR|6BBNT|7VULN|9AART
51	21311 36332	   	232.75	ACR|DCR|2TLV|1VULN|1DUR|1AART	1BEXP|28TLV|3DUR|4ZMB|5aRCR|6BBNT|7VULN|9AART
52	21351 13432	   	232.75	ACR|DCR|2TLV|1VULN|1DUR|1AART	1BEXP|27TLV|3DUR|4VULN|5aRCR|6TBNT|8ZMB|9AART
53	15643 13311	 * 	232.67	ACR|DCR|2DMG|1VULN|1TLV	1AME|2aDMG|3BOSS|48RCR|5DUST|6VULN|7FEWX|9TLV
54	12424 31324	   	232.46	DCR|4VULN|1DMG|1DUR|2ASPD	1AME|24ASPD|367aVULN|5DMG|8DUR|9RCR
55	21354 62221	 * 	232.09	DCR|3VULN|2AART|1TLV|1DUR	1BEXP|2TLV|3DUR|48aVULN|59AART|6RCR|7FEWX
