0	Index      	 *	Score 	Summary	Detail	
1	13556 23212	 * 	249.20	DCR|DCR|2VULN|1DMG|1AAC	1RPLT|27BEXP|3aVULN|4LHND|5DMG|68RCR|9AAC
2	13556 23222	   	249.20	DCR|DCR|2VULN|1DMG	1RPLT|27BEXP|3aVULN|4LHND|5DMG|68RCR|9CGEN
3	13556 23231	   	249.20	DCR|DCR|2VULN|1DMG	1RPLT|27BEXP|39VULN|4aLHND|5DMG|68RCR
4	13556 23233	   	249.20	DCR|DCR|2VULN|1DMG	1RPLT|27BEXP|39VULN|4LHND|5DMG|68RCR|aRCVC
5	13556 23232	   	249.10	DCR|DCR|2VULN|1DMG	1RPLT|27BEXP|39VULN|4LHND|5DMG|68RCR|aTBNT
6	13611 15323	 * 	242.79	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1RPLT|2BEXP|3BOSS|4LIT|5DUR|6TLV|7VULN|8AAC|9aRCR
7	44131 21532	   	238.93	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2AEFBLL|3MDPS|4ASPD|5LIT|6VULN|7aRCR|8DUR|9MLV
8	41164 31222	 * 	238.66	DCR|DCR|2AART|1TLV|1MLV|1AAC	1BOSS|2MLV|3TBNT|4LIT|56AART|7AAC|89RCR|aTLV
9	13612 55223	   	238.60	DCR|DCR|1VULN|1DMG|1MLV	1RPLT|2BEXP|3BOSS|4LIT|5DMG|6LHND|7VULN|8MLV|9aRCR
10	13612 45223	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1RPLT|2BEXP|3BOSS|4LIT|5DMG|6DUST|7VULN|8MLV|9aRCR
11	13556 23211	   	236.55	DCR|DCR|1VULN|1DMG|1AAC	1RPLT|27BEXP|3VULN|4LHND|5DMG|68RCR|9AAC|aBBNT
12	13556 23213	   	236.55	DCR|DCR|1VULN|1DMG|1AAC	1RPLT|27BEXP|3VULN|4LHND|5DMG|68RCR|9AAC|aRMIN
13	43661 11213	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2VULN|3DUST|4DMG|5LIT|6DUR|7aRCR|8RPLT|9RMIN
14	31233 16315	 * 	235.14	DCR|3VULN|1TLV|1MLV|1CDMG|1AAC	1RCVC|2BBNT|346VULN|5TLV|7MLV|8CDMG|9RCR|aAAC
15	31233 51315	   	235.14	DCR|3VULN|1TLV|1MLV|1CDMG|1AAC	1RCVC|2BBNT|347VULN|5TLV|6MLV|8CDMG|9RCR|aAAC
16	11423 51223	 * 	234.97	ACR|DCR|2VULN|1TLV|1CDMG	12RPLT|38VULN|49RCR|5MDPS|6CDMG|7RAT|aTLV
17	32423 51223	   	234.97	ACR|DCR|2VULN|1TLV|1CDMG	1RCVC|2RPLT|38VULN|49RCR|5MDPS|6CDMG|7RAT|aTLV
