0	Index      	 *	Score 	Summary	Detail	
1	23235 32612	 * 	283.34	DCR|DCR|2VULN|2MLV|2DUR	17VULN|2RMIN|3RCVC|4LHND|57DUR|67MLV|7BPWR|8aRCR|9RAT
2	54422 32223	 * 	282.25	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2ASPD|3aVULN|4TLV|5CGEN|68RCR|7MBVNT|9BEXP
3	54422 32213	   	282.15	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2ASPD|3aVULN|4TLV|5CGEN|68RCR|7MBVNT|9AEPOI
4	54423 32223	   	282.15	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2ASPD|3aVULN|4TLV|5ERES|68RCR|7MBVNT|9BEXP
5	54423 32213	   	282.05	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2ASPD|3aVULN|4TLV|5ERES|68RCR|7MBVNT|9AEPOI
6	54423 32243	   	282.05	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2ASPD|3aVULN|4TLV|59ERES|68RCR|7MBVNT
7	23224 36612	 * 	281.55	DCR|DCR|2VULN|2DUR|1TLV	15VULN|2RMIN|3RCVC|45DUR|5BPWR|6BEXP|7TLV|8aRCR|9RAT
8	54422 32214	   	271.55	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9AEPOI|aMLV
9	54422 32231	   	271.55	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9CANTOX|aMLV
10	54423 32214	   	271.45	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1DMG|2ASPD|3VULN|4TLV|5ERES|68RCR|7MBVNT|9AEPOI|aMLV
11	54423 32231	   	271.45	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1DMG|2ASPD|3VULN|4TLV|5ERES|68RCR|7MBVNT|9CANTOX|aMLV
12	54423 32244	   	271.45	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1DMG|2ASPD|3VULN|4TLV|59ERES|68RCR|7MBVNT|aMLV
13	23221 32612	   	270.89	DCR|DCR|2VULN|2MLV|1DUR	17VULN|2RMIN|3RCVC|4DUR|57BEXP|67MLV|7BPWR|8aRCR|9RAT
14	54422 32232	   	269.59	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9CANTOX|aDUR
15	54422 32243	   	269.59	DCR|DCR|1VULN|1TLV|1DMG|1AART	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9ERES|aAART
16	54423 32232	   	269.49	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2ASPD|3VULN|4TLV|5ERES|68RCR|7MBVNT|9CANTOX|aDUR
17	22232 53156	 * 	267.17	DCR|3VULN|3MLV|2TLV|1DUR|1AART	149VULN|2RPLT|3DUR|59TLV|689MLV|7AART|9BPWR|aRCR
18	54422 32234	   	266.95	DCR|DCR|1VULN|1TLV|1DMG|1NUKE	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9CANTOX|aNUKE
19	54423 32234	   	266.85	DCR|DCR|1VULN|1TLV|1DMG|1NUKE	1DMG|2ASPD|3VULN|4TLV|5ERES|68RCR|7MBVNT|9CANTOX|aNUKE
20	26267 22411	 * 	266.59	DCR|DCR|2VULN|3DUR	19VULN|2BEXP|358DUR|4MBVNT|6aRCR|7BELT
21	26267 24121	   	266.59	DCR|DCR|2VULN|3DUR	17VULN|2BEXP|358DUR|4MBVNT|6aRCR|9BELT
