0	Index      	 *	Score 	Summary	Detail	
1	22325 32854	 * 	276.40	DCR|DCR|2VULN|1DMG|1DUR|1AART	1DUR|24CGEN|3DMG|5MBVNT|6aVULN|7AART|89RCR
2	21211 26415	 * 	268.79	DCR|DCR|2VULN|2DUR|1AART	18DUR|2MDPS|38VULN|4AART|5RPLT|6BBNT|7aRCR|8BPWR|9BEXP
3	21216 15125	   	268.79	DCR|DCR|2VULN|2DUR|1AART	15DUR|2MDPS|35VULN|4AART|5BPWR|6LWND|7BBNT|8aRCR|9RPLT
4	21211 26435	   	268.69	DCR|DCR|2VULN|2DUR|1AART	18DUR|2MDPS|38VULN|4AART|5RPLT|6BBNT|7aRCR|8BPWR|9DUST
5	36342 12326	 * 	266.79	DCR|DCR|2VULN|2DMG|1AAC	12VULN|39DMG|4BOSS|5AAC|6RCVC|7aRCR|8LIT
6	36133 33543	 * 	264.83	DCR|DCR|3VULN|1DUR	124VULN|3LWND|5BEXP|6AEFBLL|7FEWX|89RCR|aDUR
7	36212 32541	   	264.83	DCR|DCR|3VULN|1DUR	127VULN|3RMIN|4ERES|5LWND|6DUR|89RCR|aZMB
8	36212 32542	   	264.83	DCR|DCR|3VULN|1DUR	127VULN|3RMIN|4ERES|5LWND|6DUR|89RCR|aDMSP
9	36212 32543	   	264.83	DCR|DCR|3VULN|1DUR	127VULN|3RMIN|4ERES|5LWND|6DUR|89RCR|aRCVC
10	26132 32541	   	258.20	DCR|DCR|2VULN|1MLV|1DUR	1DUR|27VULN|3ERES|4FEWX|5MLV|6AEFBLL|89RCR|aZMB
11	26132 32542	   	258.20	DCR|DCR|2VULN|1MLV|1DUR	1DUR|27VULN|3ERES|4FEWX|5MLV|6AEFBLL|89RCR|aDMSP
12	26132 32543	   	258.20	DCR|DCR|2VULN|1MLV|1DUR	1DUR|27VULN|3ERES|4FEWX|5MLV|6AEFBLL|89RCR|aRCVC
13	26222 32541	   	258.20	DCR|DCR|2VULN|1MLV|1DUR	1DUR|27VULN|3DUST|4CGEN|5MLV|6AEFBLL|89RCR|aZMB
14	26222 32542	   	258.20	DCR|DCR|2VULN|1MLV|1DUR	1DUR|27VULN|3DUST|4CGEN|5MLV|6AEFBLL|89RCR|aDMSP
15	26222 32543	   	258.20	DCR|DCR|2VULN|1MLV|1DUR	1DUR|27VULN|3DUST|4CGEN|5MLV|6AEFBLL|89RCR|aRCVC
16	14165 22113	 * 	258.19	DCR|DCR|1VULN|1TLV|1MLV|1AART	1RPLT|2TLV|3VULN|4LWND|5ERES|6MDPS|79RCR|8MLV|aAART
17	26112 32541	   	258.10	DCR|DCR|2VULN|1MLV|1DUR	1DUR|27VULN|3ERES|4DUST|5MLV|6AEFBLL|89RCR|aZMB
18	26112 32542	   	258.10	DCR|DCR|2VULN|1MLV|1DUR	1DUR|27VULN|3ERES|4DUST|5MLV|6AEFBLL|89RCR|aDMSP
19	26112 32543	   	258.10	DCR|DCR|2VULN|1MLV|1DUR	1DUR|27VULN|3ERES|4DUST|5MLV|6AEFBLL|89RCR|aRCVC
20	14145 22113	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1AART	1RPLT|2TLV|3VULN|4AETHUN|5ERES|6MDPS|79RCR|8MLV|aAART
21	36323 54121	 * 	257.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	129VULN|39DMG|4AETHUN|5LIT|6RCR|7DUR|89ASPD|9BPWR|aTLV
22	22222 32544	   	256.44	DCR|DCR|2VULN|1DUR|1AAC	1DUR|24CGEN|3RMIN|5LWND|67VULN|89RCR|aAAC
23	22132 12544	   	256.34	DCR|DCR|2VULN|1DUR|1AAC	1DUR|23CGEN|47VULN|5BEXP|6ERES|89RCR|aAAC
24	32112 32544	   	256.34	DCR|DCR|2VULN|1DUR|1AAC	17VULN|23CGEN|4ERES|5LWND|6DUR|89RCR|aAAC
25	21212 35125	   	256.24	DCR|DCR|2VULN|1DUR|1AART	1DUR|2MDPS|36VULN|4AART|5BEXP|7BBNT|8aRCR|9RPLT
26	26312 35125	   	256.24	DCR|DCR|2VULN|1DUR|1AART	1DUR|26VULN|3MDPS|4AART|5BEXP|7BBNT|8aRCR|9RPLT
27	31412 35125	   	256.24	DCR|DCR|2VULN|1DUR|1AART	16VULN|2MDPS|3DUR|4AART|5BEXP|7BBNT|8aRCR|9RPLT
28	21211 24115	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2MDPS|3VULN|4AART|5RPLT|6BBNT|7TLV|8ERES|9aRCR
29	21211 24415	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2MDPS|3VULN|4AART|5RPLT|6BBNT|7TLV|8AME|9aRCR
30	26311 24115	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2VULN|3MDPS|4AART|5RPLT|6BBNT|7TLV|8ERES|9aRCR
31	31411 24115	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1VULN|2MDPS|3DUR|4AART|5RPLT|6BBNT|7TLV|8ERES|9aRCR
32	36331 36212	 * 	256.09	DCR|3VULN|2DMG|2DUR|1TLV	124VULN|37DMG|58DUR|6RMIN|9TLV|aRCR
33	31232 25636	 * 	253.51	DCR|4VULN|2FLTARM|1DMG	1348VULN|2MDPS|5DMG|68FLTARM|78LSRREG|8BPWR|9DUST|aRCR
34	31134 36141	   	251.18	DCR|DCR|3VULN	158VULN|2MDPS|36FEWX|4DMSP|79RCR|aZMB
35	31134 36143	   	251.18	DCR|DCR|3VULN	158VULN|2MDPS|36FEWX|4DMSP|79RCR|aRPLT
36	36122 12541	   	251.18	DCR|DCR|3VULN	127VULN|3LWND|4CGEN|5BEXP|6ERES|89RCR|aZMB
37	36122 12542	   	251.18	DCR|DCR|3VULN	127VULN|3LWND|4CGEN|5BEXP|6ERES|89RCR|aDMSP
38	36122 12543	   	251.18	DCR|DCR|3VULN	127VULN|3LWND|4CGEN|5BEXP|6ERES|89RCR|aRCVC
39	36133 33541	   	251.18	DCR|DCR|3VULN	124VULN|3LWND|5BEXP|6AEFBLL|7FEWX|89RCR|aZMB
40	36133 33542	   	251.18	DCR|DCR|3VULN	124VULN|3LWND|5BEXP|6AEFBLL|7FEWX|89RCR|aDMSP
41	31134 36142	   	251.08	DCR|DCR|3VULN	158VULN|2MDPS|36FEWX|4DMSP|79RCR|aLEGI
42	22325 32254	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DUR|24CGEN|3DMG|5MBVNT|6VULN|7AART|8VENTOX|9aRCR
43	22325 32851	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DUR|24aCGEN|3DMG|5MBVNT|6VULN|7AART|89RCR
44	32313 61663	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART|1AAC	1VULN|2CGEN|3DMG|4LIT|5AME|6AART|7DUR|8aRCR|9AAC
45	22325 32852	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART|1MSE	1DUR|24CGEN|3DMG|5MBVNT|6VULN|7AART|89RCR|aMSE
46	22325 32853	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1DUR|24CGEN|3DMG|5MBVNT|6VULN|7AART|89RCR|aBBNT
47	36342 12316	   	249.10	DCR|DCR|2VULN|1DMG|1AAC	12VULN|3DMG|4BOSS|5AAC|6RCVC|7aRCR|8LIT|9AEPOI
48	15132 12112	 * 	248.89	DCR|DCR|2TLV|2DUR|1MLV	1RPLT|25DUR|3BBNT|4aTLV|6ERES|79RCR|8MLV
