0	Index      	 *	Score 	Summary	Detail	
1	13233 36524	 * 	254.14	DCR|DCR|2DMG|1VULN|1CDMG	1FEWX|23RAT|4VULN|5ERES|6CDMG|7aRCR|89DMG
2	22121 56142	   	245.84	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	13RMIN|2MLV|4DUR|5CDMG|6aRCR|7RPLT|8FEWX|9VULN
3	54312 61333	   	245.44	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1DMG|2AAC|3MDPS|4VULN|5BOSS|6MLV|78RCR|9RPLT|aASPD
4	51121 12661	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2BBNT|3RCVC|4DUR|5LIT|6ASPD|7VULN|89RCR|aERES
5	51121 12662	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2BBNT|3RCVC|4DUR|5LIT|6ASPD|7VULN|89RCR|aAME
6	51121 12663	   	243.39	DCR|DCR|1VULN|1DMG|1DUR|1MSE	1DMG|2BBNT|3RCVC|4DUR|5LIT|6ASPD|7VULN|89RCR|aMSE
7	51121 13561	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2BBNT|3RCVC|4DUR|5LIT|6ASPD|79RCR|8VULN|aERES
8	51121 13562	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2BBNT|3RCVC|4DUR|5LIT|6ASPD|79RCR|8VULN|aAME
9	51121 13563	   	243.39	DCR|DCR|1VULN|1DMG|1DUR|1MSE	1DMG|2BBNT|3RCVC|4DUR|5LIT|6ASPD|79RCR|8VULN|aMSE
10	52121 12661	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2TBNT|3RCVC|4DUR|5LIT|6ASPD|7VULN|89RCR|aERES
11	52121 12662	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2TBNT|3RCVC|4DUR|5LIT|6ASPD|7VULN|89RCR|aAME
12	52121 12663	   	243.39	DCR|DCR|1VULN|1DMG|1DUR|1MSE	1DMG|2TBNT|3RCVC|4DUR|5LIT|6ASPD|7VULN|89RCR|aMSE
13	52121 13561	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2TBNT|3RCVC|4DUR|5LIT|6ASPD|79RCR|8VULN|aERES
14	52121 13562	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2TBNT|3RCVC|4DUR|5LIT|6ASPD|79RCR|8VULN|aAME
15	52121 13563	   	243.39	DCR|DCR|1VULN|1DMG|1DUR|1MSE	1DMG|2TBNT|3RCVC|4DUR|5LIT|6ASPD|79RCR|8VULN|aMSE
16	22121 56421	 * 	239.95	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	13RMIN|2MLV|4DUR|5CDMG|68RCR|7RPLT|9CGEN|aTLV
17	22121 56411	   	239.85	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	13RMIN|2MLV|4DUR|5CDMG|68RCR|7RPLT|9AME|aTLV
18	54312 61311	   	238.40	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1DMG|2AAC|3MDPS|4VULN|5BOSS|6MLV|78RCR|9LIT|aAETHUN
19	54312 61312	   	238.40	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1DMG|2AAC|3MDPS|4VULN|5BOSS|6MLV|78RCR|9LIT|aLEGI
20	54312 61313	   	238.40	DCR|DCR|1VULN|1DMG|1MLV|1AAC|1MSE	1DMG|2AAC|3MDPS|4VULN|5BOSS|6MLV|78RCR|9LIT|aMSE
21	54312 61322	   	238.40	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1DMG|2AAC|3MDPS|4VULN|5BOSS|6MLV|78RCR|9AETHUN|aFEWX
22	54312 61323	   	238.40	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1DMG|2AAC|3MDPS|4VULN|5BOSS|6MLV|78RCR|9AETHUN|aRAT
23	54312 61331	   	238.40	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1DMG|2AAC|3MDPS|4VULN|5BOSS|6MLV|78RCR|9RPLT|aAEFRZ
