0	Index      	 *	Score 	Summary	Detail	
1	11226 13224	 * 	252.95	DCR|4VULN|2MLV|1TLV|1DUR	1DUST|29MLV|3457VULN|6TLV|8DUR|aRCR
2	42331 66212	 * 	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MLV|2RCVC|3DMG|4RAT|5VULN|6aRCR|7DUR|8LIT|9AME
3	43331 66212	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MLV|2AEPOI|3DMG|4RAT|5VULN|6aRCR|7DUR|8LIT|9AME
4	62165 24422	   	251.95	DCR|DCR|1VULN|1DMG|1MLV|1AART	1BELT|2MLV|3LSRHEA|4MBVNT|5MDPS|6AART|7VULN|8aRCR|9DMG
5	33342 15261	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1RPLT|2AART|3DUR|4BBNT|5DMG|6TBNT|7VULN|8aRCR|9LHND
6	33242 15221	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1RPLT|2AART|3LHND|4BBNT|5DMG|6TBNT|7VULN|8aRCR|9DUR
7	33142 15251	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1AART	1RPLT|2AART|3DUST|4BBNT|5DMG|6TBNT|7VULN|8aRCR|9DUR
8	23226 13224	   	247.70	DCR|4VULN|1TLV|1MLV|1DUR	1ASPD|2LWND|3457VULN|6TLV|8DUR|9MLV|aRCR
9	23226 13634	   	247.70	DCR|4VULN|1TLV|1MLV|1DUR	1ASPD|2LWND|3457VULN|6TLV|8MLV|9DUR|aRCR
10	11226 13244	   	247.60	DCR|4VULN|1TLV|1MLV|1DUR	1DUST|2MLV|3457VULN|6TLV|8DUR|9ASPD|aRCR
11	11226 11434	 * 	247.07	DCR|4VULN|1TLV|1DMG|1MLV	1DUST|2MLV|3459VULN|6TLV|7DMG|8FEWX|aRCR
12	42311 21135	 * 	246.07	DCR|DCR|1TLV|1DMG|1MLV|1AAC|1NUKE	1MLV|2RCVC|3DMG|4AEBURN|5NUKE|69RCR|7ERES|8TLV|aAAC
13	42511 21135	   	246.07	DCR|DCR|1TLV|1DMG|1MLV|1AAC|1NUKE	1MLV|2RCVC|3NUKE|4AEBURN|5DMG|69RCR|7ERES|8TLV|aAAC
14	43311 21135	   	245.97	DCR|DCR|1TLV|1DMG|1MLV|1AAC|1NUKE	1MLV|2AEPOI|3DMG|4AEBURN|5NUKE|69RCR|7ERES|8TLV|aAAC
15	43511 21135	   	245.97	DCR|DCR|1TLV|1DMG|1MLV|1AAC|1NUKE	1MLV|2AEPOI|3NUKE|4AEBURN|5DMG|69RCR|7ERES|8TLV|aAAC
16	11214 54131	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1DUST|2MLV|3VULN|4VENTOX|5DUR|6CDMG|7CGEN|8RAT|9aRCR
17	42312 21135	 * 	244.97	DCR|DCR|1TLV|2AAC|1DMG|1MLV	1MLV|2RCVC|3DMG|4AEBURN|5aAAC|69RCR|7ERES|8TLV
18	42611 21135	   	244.97	DCR|DCR|1TLV|2AAC|1DMG|1MLV	1MLV|2RCVC|3aAAC|4AEBURN|5DMG|69RCR|7ERES|8TLV
19	43312 21135	   	244.87	DCR|DCR|2AAC|1TLV|1DMG|1MLV	1MLV|2AEPOI|3DMG|4AEBURN|5aAAC|69RCR|7ERES|8TLV
20	43611 21135	   	244.87	DCR|DCR|2AAC|1TLV|1DMG|1MLV	1MLV|2AEPOI|3aAAC|4AEBURN|5DMG|69RCR|7ERES|8TLV
21	42631 63322	 * 	244.64	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MLV|2RCVC|3AAC|4RAT|5VULN|6aRCR|7DUST|8TLV|9BOSS
22	43631 63322	   	244.54	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MLV|2AEPOI|3AAC|4RAT|5VULN|6aRCR|7DUST|8TLV|9BOSS
23	11224 33224	 * 	244.12	DCR|3VULN|2TLV|2MLV|1DUR	1DUST|29MLV|347VULN|56TLV|8DUR|aRCR
24	21413 21135	   	244.01	DCR|DCR|1TLV|1DMG|1AAC|2ASPD	12ASPD|3AME|4AEBURN|5DMG|69RCR|7ERES|8TLV|aAAC
25	33322 26212	 * 	243.74	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|2AART|38DUR|4ZMB|58aVULN|6RMIN|78DMG|8BPWR|9RCR
26	33342 15235	   	243.54	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|2AART|39DUR|4BBNT|59DMG|6TBNT|79aVULN|8RCR|9BPWR
27	33326 63212	 * 	242.63	DCR|3VULN|2TLV|2DUR|1AART|1AAC	1RPLT|2AART|38DUR|4ZMB|58TLV|6AAC|78aVULN|8BPWR|9RCR
28	52222 14158	 * 	242.59	DCR|DCR|2VULN|1AART	1RMIN|2BEXP|34VULN|5MBVNT|6RAT|7MDPS|8AART|9aRCR
29	61126 23352	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1BELT|2DUST|3BLAICY|4VULN|5DUR|6aRCR|7RCVC|8TLV|9BBNT
30	61126 22352	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1BELT|2DUST|3BLAICY|4VULN|5DUR|6aRCR|7AEFRZ|8TLV|9BBNT
31	23226 23324	   	241.56	DCR|4VULN|1DMG|1MLV|1DUR	1ASPD|2LWND|3457VULN|6DUR|8DMG|9MLV|aRCR
32	61315 26322	 * 	240.29	DCR|DCR|3DUR|1VULN	1BELT|2DUST|3BEXP|478DUR|5TSLARM|6aRCR|9VULN
33	11224 41236	 * 	240.20	DCR|3VULN|2MLV|1TLV|2CDMG	18DUST|28MLV|349VULN|5TLV|6RPLT|78CDMG|8BPWR|aRCR
34	11226 11356	 * 	240.20	DCR|3VULN|2MLV|1TLV|1DMG	1DUST|2aMLV|345VULN|6TLV|7DMG|8RAT|9RCR
35	11226 13624	   	239.30	DCR|4VULN|2MLV|1TLV	1DUST|28MLV|3457VULN|6TLV|9LHND|aRCR
36	11214 23255	   	238.93	DCR|DCR|1VULN|1MLV|1DUR	1DUST|2MLV|3VULN|4VENTOX|5DUR|6TBNT|7LIT|8ASPD|9aRCR
37	11214 33255	   	238.93	DCR|DCR|1VULN|1MLV|1DUR	1DUST|2MLV|3VULN|4VENTOX|5DUR|6BBNT|7LIT|8ASPD|9aRCR
38	23224 33224	   	238.87	DCR|3VULN|2TLV|1MLV|1DUR	1ASPD|2LWND|347VULN|56TLV|8DUR|9MLV|aRCR
39	23224 33634	   	238.87	DCR|3VULN|2TLV|1MLV|1DUR	1ASPD|2LWND|347VULN|56TLV|8MLV|9DUR|aRCR
40	11233 33351	   	238.83	DCR|DCR|1VULN|1MLV|1DUR	1DUST|2MLV|3VULN|4ERES|5DUR|6FEWX|7aRCR|8BBNT|9ASPD
41	11245 33351	   	238.83	DCR|DCR|1VULN|1MLV|1DUR	1DUST|2MLV|3VULN|4DUR|5ERES|6FEWX|7aRCR|8BBNT|9ASPD
42	11224 33244	   	238.77	DCR|3VULN|2TLV|1MLV|1DUR	1DUST|2MLV|347VULN|56TLV|8DUR|9ASPD|aRCR
43	23226 13244	   	238.70	DCR|4VULN|1TLV|2ASPD|1DUR	19ASPD|2LWND|3457VULN|6TLV|8DUR|aRCR
44	11243 12522	   	238.59	DCR|DCR|1VULN|1MLV|1DUR|1SELL	1DUST|2MLV|3VULN|4DUR|5ASPD|6SELL|7CANSTR|8BBNT|9aRCR
