0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13312 44233	7	 * 	297.67	橙4易伤3时间2暴击1等级	1全技能257时间3678易伤47暴击7序列升级9核a等级
2	21215 13132	3	 * 	291.98	橙4易伤3伤害2时间	14a基地爆炸2345易伤4a序列升级6核78a伤害9a时间
3	21415 13132	2	   	291.98	橙4易伤3伤害2时间	14a基地爆炸2345易伤4a序列升级6核78a伤害9a时间
4	31415 15112	2	   	291.98	橙4易伤3伤害2时间	14a低血量敌人2345易伤4a序列升级6核78a伤害9a时间
5	54211 32212	9	 * 	291.98	橙4易伤3伤害3攻速	19a攻速2随机矿3立即金币4最后敌人589a易伤6核79a伤害9a序列升级
6	54211 33412	9	   	291.98	橙4易伤3伤害3攻速	19a攻速2随机矿3立即金币4最后敌人579a易伤6核89a伤害9a序列升级
7	54221 32212	9	   	291.88	橙4易伤3伤害3攻速	19a攻速2随机矿3立即金币4挖尘589a易伤6核79a伤害9a序列升级
8	54221 33412	9	   	291.88	橙4易伤3伤害3攻速	19a攻速2随机矿3立即金币4挖尘579a易伤6核89a伤害9a序列升级
9	23264 63311	6	   	291.04	橙4易伤3伤害1等级1暴击	19a基地爆炸2挖尘389a易伤4等级5暴击6核79a伤害9a序列升级
10	13312 14121	9	 * 	287.56	橙4易伤3时间3暴击	1全技能257时间3679易伤467暴击67序列升级8平台a核
11	13312 14131	8	   	287.56	橙4易伤3时间3暴击	1全技能257时间3679易伤467暴击67序列升级8平台a核
12	13312 14136	9	   	287.56	橙4易伤3时间3暴击	1全技能257时间367a易伤467暴击67序列升级8平台9核
13	13312 14215	9	   	287.56	橙4易伤3时间3暴击	1全技能257时间367a易伤467暴击67序列升级8核9最后敌人
14	13312 14235	9	   	287.56	橙4易伤3时间3暴击	1全技能257时间367a易伤467暴击67序列升级8核9敌人爆炸
15	13312 14235	10	   	287.56	橙4易伤3时间3暴击	1全技能257时间367a易伤467暴击67序列升级8核9敌人爆炸
16	13312 14245	8	   	287.56	橙4易伤3时间3暴击	1全技能257时间367a易伤467暴击67序列升级8核9最后敌人
17	13312 14255	8	   	287.56	橙4易伤3时间3暴击	1全技能257时间367a易伤467暴击67序列升级8核9基地爆炸
18	13312 14225	10	   	287.46	橙4易伤3时间3暴击	1全技能257时间367a易伤467暴击67序列升级8核9掉矿
19	13312 14236	8	   	287.46	橙4易伤3时间3暴击	1全技能257时间367a易伤467暴击67序列升级8核9加一
20	21636 36243	8	   	285.60	橙4易伤3伤害1时间	17基地爆炸2467易伤3加一567伤害67序列升级8时间9雷电a核
21	21232 14553	9	 * 	283.11	橙5易伤3暴击1伤害	17基地爆炸2367a易伤467暴击5全技能67序列升级8核9伤害
22	13312 64233	7	   	282.80	橙3易伤3时间2暴击2全技能1等级	16全技能257时间378易伤47暴击7序列升级9核a等级
23	13312 44232	7	   	281.42	橙4易伤3时间2暴击	1全技能257时间3678易伤47暴击7序列升级9核a矿等
24	13312 44234	7	   	281.42	橙4易伤3时间2暴击	1全技能257时间3678易伤47暴击7序列升级9核a低血量敌人
25	13312 44235	7	   	281.42	橙4易伤3时间2暴击	1全技能257时间3678易伤47暴击7序列升级9核a金币生成
26	13112 43436	7	   	281.42	橙4易伤3时间2暴击	1全技能257时间3敌人爆炸47暴击678a易伤7序列升级9核
27	13312 44336	8	   	281.42	橙4易伤3时间2暴击	1全技能257时间367a易伤47暴击7序列升级8最后敌人9核
28	13312 44351	10	   	281.42	橙4易伤3时间2暴击	1全技能257时间367a易伤47暴击7序列升级8最后敌人9核
29	13312 44231	7	   	281.32	橙4易伤3时间2暴击	1全技能257时间3678易伤47暴击7序列升级9核a赏金塔
30	13312 44236	7	   	281.32	橙4易伤3时间2暴击	1全技能257时间3678易伤47暴击7序列升级9核a赏金邻近
31	13312 53436	7	   	281.32	橙4易伤3时间2暴击	1全技能257时间378a易伤47暴击6挖青7序列升级9核
32	21215 12661	3	 * 	281.08	橙5易伤2伤害1时间	14基地爆炸23458易伤4序列升级6核7时间9a伤害
33	21633 32211	10	   	281.08	橙5易伤2伤害1时间	19基地爆炸24589易伤3加一6核79伤害9序列升级a时间
34	21633 32212	9	   	281.08	橙5易伤2伤害1时间	19基地爆炸24589易伤3加一6核79伤害9序列升级a时间
35	21633 33511	10	   	281.08	橙5易伤2伤害1时间	19基地爆炸24579易伤3加一6核89伤害9序列升级a时间
36	21633 33512	9	   	281.08	橙5易伤2伤害1时间	19基地爆炸24579易伤3加一6核89伤害9序列升级a时间
37	21243 23314	3	 * 	280.58	橙5易伤3伤害	18a基地爆炸2368a易伤478伤害5赏金塔8a序列升级9核
38	21443 23314	2	   	280.58	橙5易伤3伤害	18a基地爆炸2368a易伤478伤害5赏金塔8a序列升级9核
39	21633 32211	9	   	280.48	橙5易伤3伤害	19基地爆炸24589易伤3加一6核79a伤害9序列升级
40	21633 33511	9	   	280.48	橙5易伤3伤害	19基地爆炸24579易伤3加一6核89a伤害9序列升级
41	21633 32213	10	   	278.48	橙5易伤2伤害1暴击	19基地爆炸24589易伤3加一6核79伤害9序列升级a暴击
42	21633 32216	9	   	278.48	橙5易伤2伤害1暴击	19基地爆炸24589易伤3加一6核79伤害9序列升级a暴击
43	21633 33513	10	   	278.48	橙5易伤2伤害1暴击	19基地爆炸24579易伤3加一6核89伤害9序列升级a暴击
44	21633 33516	9	   	278.48	橙5易伤2伤害1暴击	19基地爆炸24579易伤3加一6核89伤害9序列升级a暴击
45	21133 63252	5	 * 	278.08	橙5易伤2时间1伤害	18基地爆炸2458a易伤38时间6核7赏金塔8序列升级9伤害
46	21135 63252	4	   	278.08	橙5易伤2时间1伤害	18基地爆炸2458a易伤38时间6核7赏金塔8序列升级9伤害
47	21215 12662	3	   	278.08	橙5易伤2时间1伤害	14基地爆炸23458易伤4序列升级6核7a时间9伤害
48	21215 13133	3	   	277.19	橙4易伤3伤害1时间	14基地爆炸2345易伤4序列升级6核78a伤害9时间
49	21415 13133	2	   	277.19	橙4易伤3伤害1时间	14基地爆炸2345易伤4序列升级6核78a伤害9时间
50	31415 15113	2	   	277.19	橙4易伤3伤害1时间	14低血量敌人2345易伤4序列升级6核78a伤害9时间
51	21215 12663	3	   	277.14	橙5易伤1伤害1时间1暴击	14基地爆炸23458易伤4序列升级6核7时间9伤害a暴击
52	14512 22334	9	 * 	276.47	橙3易伤3时间2伤害	1全技能2平台39伤害4随机矿589时间69a易伤7核9序列升级
53	21636 34334	9	   	276.22	橙4易伤2伤害2时间	19基地爆炸2469易伤3加一56伤害69序列升级7最后敌人89时间a核
