0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36224 26112	8	 * 	297.16	橙4易伤3伤害2暴击1等级	1双倍物品2378易伤38序列升级48暴击568伤害9核a等级
2	42434 42321	2	 * 	295.10	橙3易伤3伤害2时间2雷电1攻速	189易伤2加一358伤害45雷电58序列升级6攻速78时间a核
3	36343 24112	6	 * 	290.87	橙3易伤3伤害3时间	1双倍物品278易伤378时间4低血量敌人5雷电678伤害78序列升级9基地爆炸a核
4	36313 24112	6	   	290.77	橙3易伤3伤害3时间	1双倍物品278易伤378时间4挖尘5雷电678伤害78序列升级9基地爆炸a核
5	36313 24162	6	   	290.77	橙3易伤3伤害3时间	1双倍物品278易伤378时间4挖尘5雷电678伤害78序列升级9低血量敌人a核
6	36224 26331	6	 * 	289.70	橙3易伤2伤害2时间2暴击1等级	1双倍物品23a易伤3a序列升级4a暴击56伤害7核8等级9a时间
7	42431 42338	2	   	286.44	橙3易伤2伤害2时间1暴击1攻速	158易伤2加一38伤害4雷电6攻速78时间8序列升级9暴击a核
8	41215 52332	2	   	282.46	橙3易伤3伤害3时间	138易伤2基地爆炸468时间578伤害8序列升级9核a矿等
9	41215 52333	2	   	282.46	橙3易伤3伤害3时间	138易伤2基地爆炸468时间578伤害8序列升级9核a策反
10	41261 52332	2	   	282.46	橙3易伤3伤害3时间	138易伤2基地爆炸478伤害568时间8序列升级9核a矿等
11	41261 52333	2	   	282.46	橙3易伤3伤害3时间	138易伤2基地爆炸478伤害568时间8序列升级9核a策反
12	42215 52332	1	   	282.46	橙3易伤3伤害3时间	138易伤2基地爆炸468时间578伤害8序列升级9核a矿等
13	42215 52333	1	   	282.46	橙3易伤3伤害3时间	138易伤2基地爆炸468时间578伤害8序列升级9核a策反
14	42261 52332	1	   	282.46	橙3易伤3伤害3时间	138易伤2基地爆炸478伤害568时间8序列升级9核a矿等
15	42261 52333	1	   	282.46	橙3易伤3伤害3时间	138易伤2基地爆炸478伤害568时间8序列升级9核a策反
16	44212 52332	2	   	282.46	橙3易伤3伤害3时间	138易伤2敌人爆炸468时间578伤害8序列升级9核a矿等
17	44212 52333	2	   	282.46	橙3易伤3伤害3时间	138易伤2敌人爆炸468时间578伤害8序列升级9核a策反
18	44213 62332	2	   	282.46	橙3易伤3伤害3时间	138易伤2敌人爆炸458时间678伤害8序列升级9核a矿等
19	44213 62333	2	   	282.46	橙3易伤3伤害3时间	138易伤2敌人爆炸458时间678伤害8序列升级9核a策反
20	41215 52331	2	   	282.36	橙3易伤3伤害3时间	138易伤2基地爆炸468时间578伤害8序列升级9核a掉矿
21	41261 52331	2	   	282.36	橙3易伤3伤害3时间	138易伤2基地爆炸478伤害568时间8序列升级9核a掉矿
22	42215 52331	1	   	282.36	橙3易伤3伤害3时间	138易伤2基地爆炸468时间578伤害8序列升级9核a掉矿
23	42261 52331	1	   	282.36	橙3易伤3伤害3时间	138易伤2基地爆炸478伤害568时间8序列升级9核a掉矿
24	44212 52331	2	   	282.36	橙3易伤3伤害3时间	138易伤2敌人爆炸468时间578伤害8序列升级9核a掉矿
25	44213 62331	2	   	282.36	橙3易伤3伤害3时间	138易伤2敌人爆炸458时间678伤害8序列升级9核a掉矿
26	36224 26111	8	   	280.91	橙4易伤3伤害2暴击	1双倍物品2378易伤38序列升级48暴击568伤害9核a最后敌人
27	36224 26113	8	   	280.81	橙4易伤3伤害2暴击	1双倍物品2378易伤38序列升级48暴击568伤害9核a挖尘
28	41163 31261	1	   	279.39	橙3易伤2伤害2时间1等级	148易伤2全技能3赏金邻近5等级68时间78伤害8序列升级9平台a核
29	36112 31636	3	 * 	279.23	橙5易伤2时间2攻速	1双倍物品24589易伤3矿等68攻速78时间8序列升级a核
30	36212 31636	2	   	279.23	橙5易伤2时间2攻速	1双倍物品24589易伤3矿等68攻速78时间8序列升级a核
31	36212 31636	4	   	279.23	橙5易伤2时间2攻速	1双倍物品23589易伤38序列升级4矿等68攻速78时间a核
32	36331 33221	7	 * 	278.75	橙3易伤3时间1伤害2暴击	1双倍物品289易伤358时间48暴击6全技能7核8序列升级a伤害
