0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45113 23241	5	 * 	300.28	橙4易伤3伤害3攻速	129a易伤29a序列升级3金币生成49a伤害5雷电6核7策反89a攻速
2	45113 22241	5	 * 	299.91	橙5易伤3时间1伤害	1279a易伤29a序列升级39a金币生成4伤害5雷电6核89a时间
3	45233 42321	10	 * 	287.25	橙4易伤3伤害3暴击	127a易伤27a序列升级3a最后敌人4双倍矿579伤害67a暴击8核
4	45333 42321	10	   	287.25	橙4易伤3伤害3暴击	127a易伤27a序列升级3a低血量敌人4双倍矿579伤害67a暴击8核
5	43433 42321	10	   	287.05	橙4易伤3伤害3暴击	137a易伤2挖青37a序列升级4双倍矿579伤害67a暴击8核
6	45113 22231	5	   	286.48	橙5易伤2时间1伤害	1279a易伤2a序列升级3a金币生成4伤害5雷电6核8a时间
7	45125 31132	1	 * 	280.19	橙3易伤3时间2等级1伤害1攻速	158易伤28a时间3攻速4最后敌人6核78等级8序列升级9伤害
8	42262 22215	1	 * 	278.00	橙4易伤3时间3暴击	189a易伤23基地爆炸489暴击5双倍矿6核789时间89序列升级
9	45162 22211	2	   	278.00	橙4易伤3时间3暴击	1289易伤289序列升级3基地爆炸489暴击5双倍矿6核789时间a最后敌人
10	45162 22212	2	   	278.00	橙4易伤3时间3暴击	1289易伤289序列升级3基地爆炸489暴击5双倍矿6核789时间a随机矿
11	45162 22213	2	   	277.90	橙4易伤3时间3暴击	1289易伤289序列升级3基地爆炸489暴击5双倍矿6核789时间a赏金塔
12	45162 32212	2	   	277.90	橙4易伤3时间3暴击	1289易伤289序列升级3基地爆炸489暴击5双倍矿6挖青789时间a核
13	42262 22213	1	 * 	275.43	橙3易伤3时间3暴击1伤害	189易伤23基地爆炸489暴击5双倍矿6核789时间89序列升级a伤害
14	45233 42311	9	   	275.21	橙3易伤2伤害2暴击1等级1时间	127易伤27序列升级3最后敌人4双倍矿57伤害67暴击8核9等级a时间
15	45333 42311	9	   	275.21	橙3易伤2伤害2暴击1等级1时间	127易伤27序列升级3低血量敌人4双倍矿57伤害67暴击8核9等级a时间
16	43433 42311	9	   	275.11	橙3易伤2伤害2暴击1等级1时间	137易伤2挖青37序列升级4双倍矿57伤害67暴击8核9等级a时间
17	45113 23231	5	   	274.91	橙4易伤2伤害2攻速	129a易伤2a序列升级3金币生成4a伤害5雷电6核7策反8a攻速
18	45233 42321	9	   	274.62	橙3易伤3伤害2暴击1时间	127易伤27序列升级3最后敌人4双倍矿579伤害67暴击8核a时间
19	45333 42321	9	   	274.62	橙3易伤3伤害2暴击1时间	127易伤27序列升级3低血量敌人4双倍矿579伤害67暴击8核a时间
20	43433 42321	9	   	274.52	橙3易伤3伤害2暴击1时间	137易伤2挖青37序列升级4双倍矿579伤害67暴击8核a时间
21	45215 31133	1	 * 	273.55	橙3易伤2伤害2时间2等级	158易伤28时间3基地爆炸4策反6核78等级8序列升级9a伤害
