0	Index      	 *	Score 	Summary	Detail	
1	14333 16135	 * 	301.25	橙橙2易伤1等级2攻速	13攻速23掉矿3序列升级4双倍秒伤56易伤79核8敌人爆炸a等级
2	33133 13516	 * 	290.30	橙橙2等级1易伤2时间	1技能24时间3双倍矿5防空对愈67等级8a核9易伤
3	33633 13516	   	290.30	橙橙2等级1易伤2时间	1技能24时间3立即金币5防空对愈67等级8a核9易伤
4	15233 11516	   	290.10	橙橙1等级1易伤2攻速2时间	17攻速2暴雪减费34时间5防空对愈6等级8a核9易伤
5	14133 16135	   	288.80	橙橙2易伤1等级1攻速	1攻速2掉矿3双倍矿4双倍秒伤56易伤79核8敌人爆炸a等级
6	14243 13135	   	288.67	橙橙1等级1易伤1火球减费1攻速	1攻速2掉矿3挖尘4易伤5火球减费69核7时间8敌人爆炸a等级
7	14243 13335	   	288.67	橙橙1等级1易伤1火球减费1攻速	1攻速2掉矿3挖尘4易伤5火球减费69核7时间8基地爆炸a等级
8	14331 23316	   	284.94	橙橙1等级1易伤2攻速1暴击	13攻速235掉矿3序列升级4双倍秒伤6暴击7等级8易伤9a核
9	11121 56151	 * 	280.66	紫3易伤2等级2攻速	19攻速2技能3双倍矿4a低血量敌人5核679易伤89等级9序列升级
10	11121 56152	   	280.66	紫3易伤2等级2攻速	19攻速2技能3双倍矿4低血量敌人5核679易伤89等级9序列升级a敌人爆炸
11	11121 56153	   	280.66	紫3易伤2等级2攻速	19攻速2技能3双倍矿4低血量敌人5核679易伤89等级9序列升级a金币生成
12	13121 56151	   	280.66	紫3易伤2等级2攻速	19攻速2随机矿3双倍矿4a低血量敌人5核679易伤89等级9序列升级
13	13121 56152	   	280.66	紫3易伤2等级2攻速	19攻速2随机矿3双倍矿4低血量敌人5核679易伤89等级9序列升级a敌人爆炸
14	13121 56153	   	280.66	紫3易伤2等级2攻速	19攻速2随机矿3双倍矿4低血量敌人5核679易伤89等级9序列升级a金币生成
15	32121 56151	   	280.66	紫3易伤2等级2攻速	1技能29攻速3双倍矿4a低血量敌人5核679易伤89等级9序列升级
16	32121 56152	   	280.66	紫3易伤2等级2攻速	1技能29攻速3双倍矿4低血量敌人5核679易伤89等级9序列升级a敌人爆炸
17	32121 56153	   	280.66	紫3易伤2等级2攻速	1技能29攻速3双倍矿4低血量敌人5核679易伤89等级9序列升级a金币生成
18	13236 26135	   	279.10	橙橙1等级1易伤1烈焰减费1攻速	1攻速2随机矿3挖尘4等级5矿等6易伤79核8敌人爆炸a烈焰减费
19	53253 11413	 * 	276.32	橙2等级1易伤2伤害1烈焰减费2时间	18时间2随机矿3双倍秒伤4烈焰减费5额外掉落68等级78伤害8序列升级9易伤a核
20	14233 16135	   	273.50	橙橙2易伤1等级1攻速1挖怪	1攻速2掉矿3挖尘4挖怪56易伤79核8敌人爆炸a等级
21	53332 13315	 * 	273.26	橙3易伤2等级2时间	1a时间2随机矿3额外掉落489易伤5a最后敌人6a等级7核a序列升级
22	13133 11516	   	271.59	橙橙1等级1易伤2攻速	17攻速2随机矿3双倍矿4技能点5电塔对甲6等级8a核9易伤
23	13533 12516	   	271.59	橙橙1等级1易伤2攻速	13攻速2随机矿47技能点5电塔对甲6等级8a核9易伤
24	13633 11516	   	271.59	橙橙1等级1易伤2攻速	17攻速2随机矿3金币生成4立即金币5电塔对甲6等级8a核9易伤
25	23533 11516	   	271.59	橙橙1等级1易伤2攻速	1金币生成2随机矿37攻速4立即金币5电塔对甲6等级8a核9易伤
26	13144 26131	   	271.49	橙橙1等级1易伤2攻速	15攻速2随机矿3双倍矿4双倍秒伤5序列升级6易伤79核8敌人爆炸a等级
27	13144 26331	   	271.49	橙橙1等级1易伤2攻速	15攻速2随机矿3双倍矿4双倍秒伤5序列升级6易伤79核8基地爆炸a等级
28	13161 21535	 * 	271.39	紫橙2等级3攻速	167攻速2随机矿3双倍矿46挖尘59核6序列升级8a等级
29	13211 21535	   	271.39	紫橙2等级3攻速	167攻速24随机矿36挖尘59核6序列升级8a等级
