0	Index      	 *	Score 	Summary	Detail	
1	66231 31512	 * 	263.32	橙2散射对甲3易伤1双倍秒伤1全技能2策反1时间	18散射对甲2时间3额外掉落48策反568易伤7核8序列升级9全技能a双倍秒伤
2	66211 31512	   	252.99	橙2散射对甲3易伤1双倍秒伤1全技能1时间	18散射对甲2时间3额外掉落48金币生成568易伤7核8序列升级9全技能a双倍秒伤
3	63432 21141	 * 	246.89	橙1散射对甲1双倍秒伤1全技能1伤害1攻速1时间1策反	1散射对甲2雷电3伤害4策反5攻速6核7敌人爆炸8全技能9时间a双倍秒伤
4	63432 22141	   	246.79	橙1散射对甲1双倍秒伤1全技能1伤害1攻速1时间1策反	1散射对甲2雷电3伤害4策反5攻速6核7挖尘8全技能9时间a双倍秒伤
5	66152 31331	 * 	246.63	紫2散射对甲3易伤1双倍秒伤3时间	18散射对甲258时间358易伤4核58序列升级6立即金币7平台9双倍秒伤a等级
6	66152 31332	   	246.63	紫2散射对甲3易伤1双倍秒伤3时间	18散射对甲258时间358易伤4核58序列升级6立即金币7平台9双倍秒伤a双倍矿
7	66152 31333	   	246.63	紫2散射对甲3易伤1双倍秒伤3时间	18散射对甲258时间358易伤4核58序列升级6立即金币7平台9双倍秒伤a低血量敌人
8	66231 31513	 * 	244.05	橙2散射对甲3易伤1全技能2时间2策反	18散射对甲2a时间3额外掉落48策反568易伤7核8序列升级9全技能
9	66231 31523	 * 	241.44	橙4易伤3散射对甲3策反1时间	18a散射对甲2时间3额外掉落48a策反568a易伤7核8a序列升级9挖青
10	61363 12242	 * 	240.17	紫3双倍秒伤2散射对甲1暴击	14散射对甲2挖尘3暴击5核69a双倍秒伤7额外掉落8最后敌人
11	66121 34313	 * 	238.91	橙1散射对甲2易伤1双倍秒伤1全技能2时间1伤害	1散射对甲24时间38易伤5加农对甲6全技能7核9双倍秒伤a伤害
12	61123 26235	 * 	236.06	橙1散射对甲1双倍秒伤1易伤2技能1时间	1散射对甲2挖尘3易伤4时间5最后敌人6核7双倍秒伤8掉矿9a技能
13	66113 32612	   	235.63	橙2散射对甲2易伤1双倍秒伤1时间1挖怪	18散射对甲2时间38易伤4掉矿5雷电6核78挖尘8序列升级9挖怪a双倍秒伤
14	66113 32622	   	235.63	橙2散射对甲2易伤1双倍秒伤1时间	18散射对甲2时间38易伤4掉矿5雷电6核78挖尘8序列升级9低血量敌人a双倍秒伤
15	66121 34221	   	234.36	橙1散射对甲1双倍秒伤1易伤1全技能2时间1暴击	1散射对甲24时间3易伤5加农对甲6全技能7核8暴击9双倍秒伤a技能点
16	66121 34222	   	234.36	橙1散射对甲1双倍秒伤1易伤1全技能2时间1暴击	1散射对甲24时间3易伤5加农对甲6全技能7核8暴击9双倍秒伤a等级
17	66121 34223	   	234.36	橙1散射对甲1双倍秒伤1易伤1全技能2时间1暴击	1散射对甲24时间3易伤5加农对甲6全技能7核8暴击9双倍秒伤a金币生成
18	66121 34311	   	234.36	橙1散射对甲2易伤1双倍秒伤1全技能2时间	1散射对甲24时间38易伤5加农对甲6全技能7核9双倍秒伤a最后敌人
19	66121 34312	   	234.36	橙1散射对甲2易伤1双倍秒伤1全技能2时间	1散射对甲24时间38易伤5加农对甲6全技能7核9双倍秒伤a敌人爆炸
20	66231 31511	   	233.84	橙2散射对甲3易伤1全技能2策反1时间	18散射对甲2时间3额外掉落48策反568易伤7核8序列升级9全技能a基地爆炸
21	66133 43111	   	233.73	橙2散射对甲2易伤1双倍秒伤1暴击1时间	18散射对甲2时间38易伤4挖青58最后敌人6双倍物品7核8序列升级9双倍秒伤a暴击
22	66133 43112	   	233.73	橙2散射对甲2易伤1双倍秒伤1时间	18散射对甲2时间38易伤4挖青58最后敌人6双倍物品7核8序列升级9双倍秒伤a技能点
23	66133 43113	   	233.73	橙2散射对甲2易伤1双倍秒伤1时间	18散射对甲2时间38易伤4挖青58最后敌人6双倍物品7核8序列升级9双倍秒伤a低血量敌人
