0	Index      	 *	Score 	Summary	Detail	
1	22352 46246	 * 	309.89	橙橙1易伤1等级1矿等1伤害	1加一2伤害3随机技能4矿等5等级6易伤7时间8a核9爆破对冰
2	24385 31246	   	306.08	橙橙1易伤1等级1矿等1攻速	1加一2随机技能3易伤4攻速5等级6时间7矿等8a核9爆破对冰
3	61283 31128	 * 	302.34	橙橙3易伤1矿等	1双倍秒伤245易伤3加一68核7时间9赏金塔a矿等
4	24324 85643	 * 	300.36	橙4易伤3矿等2随机技能1暴击	1加一27随机技能3678易伤4随机矿567矿等67序列升级9核a暴击
5	61283 31131	 * 	296.28	橙橙4易伤	1双倍秒伤245a易伤3加一68核7时间9平台
6	61283 31137	   	296.19	橙橙3易伤1伤害	1双倍秒伤245易伤3加一68核7时间9平台a伤害
7	24324 85641	   	295.01	橙4易伤3矿等2随机技能	1加一27随机技能3678易伤4随机矿567矿等67序列升级9核a时间
8	61283 34128	   	293.93	橙橙3易伤1矿等	1双倍秒伤245易伤3加一68核7挖尘9赏金塔a矿等
9	61283 31123	   	293.02	橙橙3易伤1技能	1双倍秒伤245易伤3加一68核7时间9赏金塔a技能
10	61283 31173	   	293.02	橙橙3易伤1技能	1双倍秒伤245易伤3加一68核7时间9赏金邻近a技能
11	61283 31152	   	292.38	橙橙3易伤1攻速	1双倍秒伤245易伤3加一68核7时间9低血量敌人a攻速
12	61283 31112	   	292.28	橙橙3易伤1攻速	1双倍秒伤245易伤3加一68核7时间9基地爆炸a攻速
13	61283 34182	   	292.28	橙橙3易伤1攻速	1双倍秒伤245易伤3加一68核7挖尘9时间a攻速
14	21472 26246	 * 	290.44	橙橙2易伤2攻速	1加一2雷电减费35攻速45易伤5序列升级6随机技能7时间8a核9爆破对冰
15	61283 31116	   	289.68	橙橙3易伤1暴击	1双倍秒伤245易伤3加一68核7时间9基地爆炸a暴击
16	61283 35131	   	287.97	橙橙4易伤	1双倍秒伤245a易伤3加一68核7低血量敌人9平台
17	61283 37131	   	287.97	橙橙4易伤	1双倍秒伤245a易伤3加一68核7最后敌人9平台
18	12213 14643	   	287.89	橙橙3易伤2暴击	1平台2火球减费3额外掉落46a易伤56暴击6序列升级7掉矿89核
19	61283 34131	   	287.87	橙橙4易伤	1双倍秒伤245a易伤3加一68核7挖尘9平台
20	61283 34137	   	287.79	橙橙3易伤1伤害	1双倍秒伤245易伤3加一68核7挖尘9平台a伤害
21	24324 85642	   	286.61	橙4易伤3矿等2随机技能	1加一27随机技能3678易伤4随机矿567矿等67序列升级9核a毒气减费
22	24324 85644	   	286.61	橙4易伤3矿等2随机技能	1加一27随机技能3678易伤4随机矿567矿等67序列升级9核a基地爆炸
23	24111 61671	   	285.86	橙橙1易伤1等级1技能1暴击	1加一2随机技能3激光对冰4易伤5技能6暴击79核8低血量敌人a等级
24	24111 61771	   	285.86	橙橙1易伤1等级1技能1暴击	1加一2随机技能3激光对冰4易伤5技能6暴击79核8最后敌人a等级
25	24342 71671	   	285.86	橙橙1易伤1等级1技能1暴击	1加一2随机技能3易伤4暴击5技能6激光对绿79核8低血量敌人a等级
26	24342 71771	   	285.86	橙橙1易伤1等级1技能1暴击	1加一2随机技能3易伤4暴击5技能6激光对绿79核8最后敌人a等级
27	22318 48338	   	285.74	橙橙1易伤1矿等1伤害1攻速	1加一2伤害3随机技能4双倍秒伤5攻速6矿等79核8敌人爆炸a易伤
28	22318 48834	   	285.64	橙橙1易伤1矿等1伤害1攻速	1加一2伤害3随机技能4双倍秒伤5攻速6矿等79核8基地爆炸a易伤
29	61283 35123	   	284.72	橙橙3易伤1技能	1双倍秒伤245易伤3加一68核7低血量敌人9赏金塔a技能
30	61283 37123	   	284.72	橙橙3易伤1技能	1双倍秒伤245易伤3加一68核7最后敌人9赏金塔a技能
31	61283 34123	   	284.62	橙橙3易伤1技能	1双倍秒伤245易伤3加一68核7挖尘9赏金塔a技能
32	61283 34173	   	284.62	橙橙3易伤1技能	1双倍秒伤245易伤3加一68核7挖尘9赏金邻近a技能
33	61283 37143	   	284.62	橙橙3易伤1技能	1双倍秒伤245易伤3加一68核7最后敌人9风暴减费a技能
34	61283 34152	   	283.98	橙橙3易伤1攻速	1双倍秒伤245易伤3加一68核7挖尘9低血量敌人a攻速
35	61283 35112	   	283.98	橙橙3易伤1攻速	1双倍秒伤245易伤3加一68核7低血量敌人9基地爆炸a攻速
36	61283 37112	   	283.98	橙橙3易伤1攻速	1双倍秒伤245易伤3加一68核7最后敌人9基地爆炸a攻速
37	61283 34112	   	283.88	橙橙3易伤1攻速	1双倍秒伤245易伤3加一68核7挖尘9基地爆炸a攻速
38	22342 46246	   	283.69	橙橙1易伤1等级1伤害	1加一2伤害3随机技能4随机矿5等级6易伤7时间8a核9散射对绿
39	24324 15648	   	283.35	橙3易伤3矿等1技能2随机技能	1加一27随机技能378易伤4随机矿567矿等7序列升级9核a技能
40	22352 52474	 * 	283.35	橙2矿等2等级2伤害1易伤1暴击	1加一26伤害3随机技能4a矿等56等级6序列升级7核8暴击9易伤
41	61283 31127	   	283.07	橙橙3易伤	1双倍秒伤245易伤3加一68核7时间9赏金塔a随机技能
42	61283 31134	   	283.07	橙橙3易伤	1双倍秒伤245易伤3加一68核7时间9平台a随机技能
43	61283 31118	   	282.97	橙橙3易伤	1双倍秒伤245易伤3加一68核7时间9基地爆炸a随机技能
44	21472 66443	 * 	282.85	橙3易伤2矿等3攻速	1加一2雷电减费35a攻速45a易伤5a序列升级6核7赏金塔8全技能9a矿等
45	61283 31154	   	282.68	橙橙3易伤2时间	1双倍秒伤245易伤3加一68核7a时间9低血量敌人
46	61283 31181	   	282.68	橙橙3易伤2时间	1双倍秒伤245易伤3加一68核79时间a最后敌人
47	61283 31183	   	282.68	橙橙3易伤2时间	1双倍秒伤245易伤3加一68核79时间a敌人爆炸
