0	Index      	 *	Score 	Summary	Detail	
1	53223 34412	 * 	327.31	橙橙2易伤1等级1矿等1攻速	1矿等2立即金币3等级4挖尘5全技能67易伤8a核9攻速
2	15331 34311	   	322.92	橙橙2易伤1等级1矿等1伤害	1暴雪减费24易伤34雷电4序列升级5矿等6等级7伤害8a核9立即金币
3	51233 34412	   	310.28	橙橙2易伤1矿等1攻速2时间	1矿等24时间34金币生成4序列升级5全技能67易伤8a核9攻速
4	64221 13142	   	304.92	橙橙2易伤1等级1伤害	1随机矿2伤害35易伤4技能点6全技能7等级8掉矿9a核
5	64221 13362	   	304.92	橙橙2易伤1等级1伤害	1随机矿2伤害35易伤4技能点6全技能7等级8a核9掉矿
6	51213 34412	   	303.63	橙橙2易伤1矿等1攻速	1矿等2时间34金币生成5全技能67易伤8a核9攻速
7	63621 13142	   	301.75	橙橙2易伤1等级1技能	1随机矿25易伤3技能4技能点6全技能7等级8掉矿9a核
8	63621 13362	   	301.75	橙橙2易伤1等级1技能	1随机矿25易伤3技能4技能点6全技能7等级8a核9掉矿
9	15411 13412	   	301.11	橙橙2易伤1等级1攻速	1暴雪减费25易伤3敌人爆炸4金币生成6全技能7等级8a核9攻速
10	15421 13312	   	301.11	橙橙2易伤1等级1攻速	1暴雪减费25易伤3敌人爆炸4技能点6全技能7等级8a核9攻速
11	63111 13412	   	301.11	橙橙2易伤1等级1攻速	1随机矿25易伤3掉矿4金币生成6全技能7等级8a核9攻速
12	63121 13412	   	301.11	橙橙2易伤1等级1攻速	1随机矿25易伤3掉矿4技能点6全技能7等级8a核9攻速
13	63311 13312	   	301.11	橙橙2易伤1等级1攻速	1随机矿25易伤3最后敌人4烈焰减费6全技能7等级8a核9攻速
14	63341 13312	   	301.11	橙橙2易伤1等级1攻速	1随机矿25易伤3最后敌人4毒气减费6全技能7等级8a核9攻速
15	63351 13312	   	301.11	橙橙2易伤1等级1攻速	1随机矿25易伤3最后敌人4暴雪减费6全技能7等级8a核9攻速
16	15111 16412	   	301.01	橙橙2易伤1等级1攻速	1暴雪减费25易伤3挖青4金币生成6全技能7等级8a核9攻速
17	15111 43412	   	301.01	橙橙2易伤1等级1攻速	1暴雪减费25易伤3挖青4金币生成6等级7全技能8a核9攻速
18	15121 16312	   	301.01	橙橙2易伤1等级1攻速	1暴雪减费25易伤3挖青4技能点6全技能7等级8a核9攻速
19	15121 43312	   	301.01	橙橙2易伤1等级1攻速	1暴雪减费25易伤3挖青4技能点6等级7全技能8a核9攻速
20	15511 13412	   	301.01	橙橙2易伤1等级1攻速	1暴雪减费25易伤3挖尘4金币生成6全技能7等级8a核9攻速
21	15521 13412	   	301.01	橙橙2易伤1等级1攻速	1暴雪减费25易伤3挖尘4技能点6全技能7等级8a核9攻速
22	31233 14246	 * 	300.02	橙橙3易伤1等级	1平台25a易伤3金币生成4低血量敌人67核8基地爆炸9等级
23	31233 14653	   	300.02	橙橙3易伤1等级	1平台25a易伤3金币生成4低血量敌人67核8基础对甲9等级
24	36313 51363	 * 	297.32	橙橙2矿等1易伤1技能1暴击	1平台2暴击3最后敌人4毒气减费5技能67矿等89核a易伤
25	36333 51363	   	297.32	橙橙2矿等1易伤1技能1暴击	1平台2暴击3最后敌人4风暴减费5技能67矿等89核a易伤
