0	Index      	 *	Score 	Summary	Detail	
1	15113 36162	 * 	303.77	橙橙2易伤2伤害1矿等1卖塔	19易伤2卖塔3寒冰对冰49伤害59雷电6赏金邻近78核9序列升级a矿等
2	15113 36161	 * 	286.23	橙橙2易伤2伤害1卖塔	19易伤2卖塔3寒冰对冰49伤害59a雷电6赏金邻近78核9序列升级
3	15113 36163	 * 	286.23	橙橙2易伤2伤害1卖塔	19易伤2卖塔3寒冰对冰49伤害59雷电6赏金邻近78核9序列升级a等级
4	15113 36117	 * 	286.13	橙橙2易伤2伤害1卖塔	1a易伤2卖塔3寒冰对冰4a伤害5a雷电6赏金邻近78核9加一a序列升级
5	16313 36162	 * 	286.02	橙橙2易伤2暴击1矿等	19易伤2核弹3雷电49暴击59机枪对壮6赏金邻近78核9序列升级a矿等
6	15113 36126	   	283.50	橙橙2易伤1伤害2时间1卖塔	1a易伤2卖塔3a寒冰对冰4伤害5雷电6赏金邻近78核9a时间a序列升级
7	16633 62223	   	276.80	橙橙2易伤1伤害	15易伤2核弹3时间4伤害6双倍秒伤7技能8最后敌人9a核
8	16633 62323	   	276.80	橙橙2易伤1伤害	15易伤2核弹3时间4伤害6双倍秒伤7技能8低血量敌人9a核
9	33214 22412	 * 	275.73	橙橙2伤害1易伤1矿等	12敌人爆炸35伤害4矿等6赏金塔79核8易伤a雷电
10	33214 22413	   	275.73	橙橙2伤害1易伤1矿等	12敌人爆炸35伤害4矿等6赏金塔79核8易伤a低血量敌人
11	33214 22415	   	275.73	橙橙2伤害1易伤1矿等	12敌人爆炸35伤害4矿等6赏金塔79核8易伤a赏金邻近
12	33214 22411	   	275.63	橙橙2伤害1易伤1矿等	12敌人爆炸35伤害4矿等6赏金塔79核8易伤a挖青
13	33214 22414	   	275.63	橙橙2伤害1易伤1矿等	12敌人爆炸35伤害4矿等6赏金塔79核8易伤a挖尘
14	33214 22416	   	275.63	橙橙2伤害1易伤1矿等	12敌人爆炸35伤害4矿等6赏金塔79核8易伤a技能点
