0	Index      	 *	Score 	Summary	Detail	
1	52532 33173	 * 	297.73	橙橙3易伤1矿等	1矿等2加一3双倍秒伤47a易伤5时间69核8随机矿
2	11621 23662	 * 	292.00	橙橙2易伤1伤害1攻速	15敌人爆炸2伤害3技能点45易伤5序列升级6双倍矿7攻速89核a平台
3	52222 43772	 * 	291.23	橙橙2易伤2矿等	14矿等2加一34激光减费4序列升级56易伤7敌人爆炸89核a平台
4	52532 33174	   	283.93	橙橙2易伤1矿等	1矿等2加一3双倍秒伤47易伤5时间69核8随机矿a全技能
5	11621 23661	   	282.34	橙橙2易伤1伤害1攻速	15敌人爆炸2伤害3技能点45易伤5序列升级6双倍矿7攻速89核a低血量敌人
6	11621 23663	   	282.24	橙橙2易伤1伤害1攻速	15敌人爆炸2伤害3技能点45易伤5序列升级6双倍矿7攻速89核a挖尘
7	52222 43771	   	281.57	橙橙2易伤2矿等	14矿等2加一34激光减费4序列升级56易伤7敌人爆炸89核a低血量敌人
8	52222 43773	   	281.47	橙橙2易伤2矿等	14矿等2加一34激光减费4序列升级56易伤7敌人爆炸89核a挖尘
9	52222 43774	   	281.47	橙橙2易伤2矿等	14矿等2加一34激光减费4序列升级56易伤7敌人爆炸89核a掉矿
10	52532 33171	   	274.27	橙橙2易伤1矿等	1矿等2加一3双倍秒伤47易伤5时间69核8随机矿a雷电
11	52532 33172	   	274.27	橙橙2易伤1矿等	1矿等2加一3双倍秒伤47易伤5时间69核8随机矿a金币生成
12	52532 31173	   	274.27	橙橙2易伤1矿等	1矿等2加一3双倍秒伤4a易伤5时间69核7立即金币8随机矿
13	25252 22116	   	271.50	橙橙1易伤1伤害1矿等1攻速	1爆破对冰2伤害3赏金塔4易伤5挖尘6导弹对黄79核8攻速a矿等
