0	Index      	 *	Score 	Summary	Detail	
1	14522 11312	 * 	291.01	橙橙2易伤2伤害1平台	19易伤258挖尘35伤害4平台5序列升级6a核7等级
2	12351 24431	   	277.17	橙橙2易伤1伤害1暴击1策反	14易伤2暴击3基地爆炸5基础对愈6策反7伤害8电塔对黄9a核
3	12351 24531	   	277.17	橙橙2易伤1伤害1暴击1策反	14易伤2暴击3基地爆炸5基础对愈6策反7伤害8喷火对黄9a核
4	12422 24431	   	277.17	橙橙2易伤1伤害1暴击1策反	13易伤2暴击4基础对甲5最后敌人6策反7伤害8电塔对黄9a核
5	12422 24531	   	277.17	橙橙2易伤1伤害1暴击1策反	13易伤2暴击4基础对甲5最后敌人6策反7伤害8喷火对黄9a核
6	33322 62631	 * 	275.60	橙橙3易伤1平台	1随机矿27狙击对黄3平台4导弹对毒57金币生成678易伤7序列升级9a核
7	33326 62631	   	275.60	橙橙3易伤1平台	1随机矿27狙击对黄3平台4导弹对毒57等级678易伤7序列升级9a核
8	14222 11312	   	275.50	橙橙3易伤1平台	159易伤258挖尘3技能4平台5序列升级6a核7等级
9	33322 66631	   	275.50	橙橙3易伤1平台	1随机矿2狙击对黄3平台4导弹对毒5金币生成678易伤9a核
10	34221 41333	   	270.99	橙橙2易伤1矿等1全技能	1随机矿2激光减费3金币生成4全技能5等级67核8矿等9a易伤
11	34251 41333	   	270.99	橙橙2易伤1矿等1全技能	1随机矿2激光减费3金币生成4等级5全技能67核8矿等9a易伤
12	36521 41333	   	270.99	橙橙2易伤1矿等1全技能	1随机矿2金币生成3激光减费4全技能5等级67核8矿等9a易伤
13	34261 41333	   	270.89	橙橙2易伤1矿等1全技能	1随机矿2激光减费3金币生成4掉矿5全技能67核8矿等9a易伤
14	35521 41333	   	270.89	橙橙2易伤1矿等1全技能	1随机矿2掉矿3激光减费4全技能5等级67核8矿等9a易伤
15	12463 34123	 * 	269.90	橙橙2易伤3暴击	13易伤256暴击4随机矿7a核89金币生成
16	12433 34123	   	269.80	橙橙2易伤3暴击	13易伤256暴击4掉矿7a核89金币生成
17	12433 54123	   	269.80	橙橙2易伤3暴击	13易伤256暴击46掉矿6序列升级7a核89金币生成
18	12211 24431	 * 	265.58	橙橙1易伤1伤害2暴击1策反	1易伤24暴击3时间5基础对愈6策反7伤害8电塔对黄9a核
19	12211 24531	 * 	265.58	橙橙1易伤1伤害2暴击1策反	1易伤24暴击3时间5基础对愈6策反7伤害8喷火对黄9a核
20	14522 11122	   	264.90	橙橙2伤害1易伤1平台	1易伤25挖尘35伤害4平台5序列升级6a核7等级8赏金塔9基地爆炸
21	14522 12632	   	264.90	橙橙2伤害1易伤1平台	1易伤25挖尘35伤害4平台5序列升级6a核7最后敌人8赏金邻近9等级
22	14522 13632	   	264.90	橙橙2伤害1易伤1平台	1易伤25挖尘35伤害4平台5序列升级6a核7敌人爆炸8赏金邻近9等级
23	14522 11112	   	264.80	橙橙2伤害1易伤1平台	1易伤25挖尘35伤害4平台5序列升级6a核7等级8赏金塔9挖青
24	14522 12622	   	264.80	橙橙2伤害1易伤1平台	1易伤25挖尘35伤害4平台5序列升级6a核7最后敌人8赏金邻近9掉矿
25	14522 13622	   	264.80	橙橙2伤害1易伤1平台	1易伤25挖尘35伤害4平台5序列升级6a核7敌人爆炸8赏金邻近9掉矿
26	14522 16322	   	264.80	橙橙2伤害1易伤1平台	1易伤25挖尘35伤害4平台5序列升级6a核7赏金邻近8掉矿9基地爆炸
27	14522 16312	   	264.70	橙橙2伤害1易伤1平台	1易伤25挖尘35伤害4平台5序列升级6a核7赏金邻近8掉矿9挖青
