0	Index      	 *	Score 	Summary	Detail	
1	23165 22142	 * 	291.85	橙橙3易伤1伤害	1立即金币236易伤4激光对愈5伤害7a核89掉矿
2	23125 33356	   	291.31	橙橙3易伤1全技能1平台	1立即金币236易伤4平台5挖尘7a核8基地爆炸9全技能
3	14212 36212	   	290.45	橙橙2易伤1伤害1攻速	1时间2等级3伤害48掉矿5攻速69核7a易伤
4	61236 23522	   	286.79	橙橙2易伤2时间1攻速1平台	1随机矿2技能36时间46易伤5平台6序列升级7攻速8爆破对冰9a核
5	16353 22613	   	277.13	橙橙2易伤2时间1暴击	1a时间2双倍物品3随机矿4a最后敌人5基础对冰69核7暴击8a易伤a序列升级
6	33225 51322	   	275.77	橙橙1易伤1伤害1矿等1平台1策反	1矿等2立即金币3时间4易伤5策反6伤害7多重对愈8平台9a核
7	33225 53522	   	275.77	橙橙1易伤1伤害1矿等1平台1策反	1矿等2立即金币3时间4易伤5策反6伤害7平台8机枪对壮9a核
8	14212 35112	 * 	274.92	橙橙1易伤2攻速1伤害	1时间2等级3伤害4掉矿57攻速69核8最后敌人a易伤
9	14212 35412	   	274.92	橙橙1易伤2攻速1伤害	1时间2等级3伤害4掉矿57攻速69核8低血量敌人a易伤
10	36162 36112	 * 	274.37	紫橙3易伤1矿等1攻速	1矿等2技能37a易伤49核5攻速6随机矿8最后敌人
11	23121 63356	   	273.04	橙橙2易伤2平台1全技能	1立即金币23易伤45平台6挖尘7a核8基地爆炸9全技能
12	61233 33522	   	273.04	橙橙2易伤2时间1平台	1随机矿2技能36时间46易伤5核弹6序列升级7平台8爆破对冰9a核
13	61136 23522	   	271.94	橙橙2易伤1攻速1平台	1随机矿2技能36最后敌人46易伤5平台6序列升级7攻速8爆破对冰9a核
14	23526 22632	   	271.89	橙橙3易伤	1立即金币246易伤3技能点5毒液对黄7a核89技能
15	23526 22332	   	271.79	橙橙3易伤	1立即金币246易伤38技能点5毒液对黄7a核9技能
16	23664 32112	   	268.69	橙橙2易伤1伤害	1立即金币2a易伤3敌人爆炸47技能5伤害69核8最后敌人
17	24164 32112	   	268.69	橙橙2易伤1伤害	1立即金币2低血量敌人3a易伤47技能5伤害69核8最后敌人
18	21164 32112	   	268.59	橙橙2易伤1伤害	1立即金币2挖尘3a易伤47技能5伤害69核8最后敌人
19	21164 32412	   	268.59	橙橙2易伤1伤害	1立即金币2挖尘3a易伤47技能5伤害69核8低血量敌人
20	23664 33112	   	268.59	橙橙2易伤1伤害	1立即金币2a易伤3敌人爆炸4技能5伤害69核7激光减费8最后敌人
21	24164 33112	   	268.59	橙橙2易伤1伤害	1立即金币2低血量敌人3a易伤4技能5伤害69核7激光减费8最后敌人
22	61424 32112	   	268.59	橙橙2易伤1伤害	1随机矿27技能3掉矿4a易伤5伤害69核8最后敌人
23	21164 33112	   	268.49	橙橙2易伤1伤害	1立即金币2挖尘3a易伤4技能5伤害69核7激光减费8最后敌人
24	21164 33412	   	268.49	橙橙2易伤1伤害	1立即金币2挖尘3a易伤4技能5伤害69核7激光减费8低血量敌人
25	61424 31212	   	268.49	橙橙2易伤1伤害	1随机矿2技能38掉矿4a易伤5伤害69核7最后敌人
26	61424 33112	   	268.49	橙橙2易伤1伤害	1随机矿2技能3掉矿4a易伤5伤害69核7激光减费8最后敌人
27	65214 31212	   	268.39	橙橙2易伤1伤害	1随机矿2a易伤3伤害48掉矿5核弹69核7最后敌人
28	65214 33212	   	268.39	橙橙2易伤1伤害	1随机矿2a易伤3伤害48掉矿5核弹69核7基地爆炸
29	66114 31212	   	268.25	橙橙2易伤1伤害1策反	1随机矿2策反3a易伤48掉矿5伤害69核7最后敌人
30	66114 33212	   	268.25	橙橙2易伤1伤害1策反	1随机矿2策反3a易伤48掉矿5伤害69核7基地爆炸
31	66114 11322	   	267.36	橙橙1易伤1伤害1矿等1平台1策反	1随机矿2策反3易伤4掉矿5伤害6矿等7防空对愈8平台9a核
32	36162 21412	 * 	266.52	紫橙2易伤2矿等1攻速	1a矿等2技能3a易伤49核5攻速68基地爆炸7a技能点a序列升级
33	36162 24212	   	266.42	紫橙2易伤2矿等1攻速	1a矿等2技能3a易伤49核5攻速6基地爆炸78a掉矿a序列升级
34	35113 33611	   	265.96	橙橙2易伤1矿等	1矿等25随机矿3a易伤4掉矿69核7金币生成8机枪对壮
35	36162 35112	 * 	263.36	紫橙2易伤2攻速1矿等	1矿等2技能3a易伤49核57攻速6随机矿8最后敌人
36	36162 63112	   	263.36	紫橙2易伤2攻速1矿等	1矿等2技能3a易伤49核56攻速7金币生成8最后敌人
37	33121 32216	   	262.50	橙橙1易伤1矿等2平台1全技能	1矿等2立即金币3掉矿45平台6全技能7易伤8a核9敌人爆炸
