0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22221 63463	10	 * 	269.80	橙2易伤3时间2伤害1等级1暴击	1额外掉落289时间3敌人爆炸48易伤5暴击6等级78伤害8序列升级a核
2	15523 31323	3	 * 	268.20	橙4易伤2时间2等级1全技能	17低血量敌人2全技能34等级579a易伤67时间7序列升级8核
3	61113 32541	10	 * 	262.04	橙3易伤2等级1伤害1时间1攻速1全技能	17金币生成2全技能37等级4伤害5攻速67a易伤7序列升级8核9时间
4	41113 32541	10	   	261.84	橙3易伤2等级1伤害1时间1攻速1全技能	17掉矿2全技能37等级4伤害5攻速67a易伤7序列升级8核9时间
5	21421 63232	10	 * 	260.25	橙4易伤2伤害2雷电	1额外掉落2立即金币3随机矿4a雷电578a易伤6a伤害9核a序列升级
6	21521 63232	10	   	260.15	橙4易伤2伤害2雷电1核弹	1额外掉落2立即金币3核弹4a雷电578a易伤6a伤害9核a序列升级
7	24313 21511	7	 * 	259.48	橙5易伤1等级1时间	1额外掉落24569易伤34掉矿4序列升级7核8等级a时间
8	24323 21511	7	   	259.48	橙5易伤1等级1时间	1额外掉落24569易伤3掉矿7核8等级a时间
9	61422 21421	3	   	259.21	橙3易伤2时间2等级1暴击1全技能	17金币生成2全技能3a时间47等级567易伤7序列升级8暴击9核
10	15523 31321	3	 * 	258.78	橙3易伤3时间2等级1全技能	17低血量敌人2全技能34等级579易伤67a时间7序列升级8核
11	24313 21226	7	 * 	258.01	橙5易伤2时间	1额外掉落2456a易伤34掉矿4a序列升级7核8a低血量敌人9a时间
12	24313 21316	9	   	258.01	橙5易伤2时间	1额外掉落2456a易伤34掉矿4a序列升级7核8a低血量敌人9a时间
13	24313 21326	8	   	258.01	橙5易伤2时间	1额外掉落2456a易伤34掉矿4a序列升级7核8a低血量敌人9a时间
14	24323 21226	7	   	258.01	橙5易伤2时间	1额外掉落2456a易伤3掉矿7核8a低血量敌人9a时间a序列升级
15	24323 21316	9	   	258.01	橙5易伤2时间	1额外掉落2456a易伤3掉矿7核8a低血量敌人9a时间a序列升级
16	24323 21326	8	   	258.01	橙5易伤2时间	1额外掉落2456a易伤3掉矿7核8a低血量敌人9a时间a序列升级
17	24313 21127	7	   	257.81	橙5易伤2时间	1额外掉落2456a易伤34a掉矿4a序列升级7核8加一9a时间
18	24323 21127	7	   	257.81	橙5易伤2时间	1额外掉落2456a易伤3a掉矿7核8加一9a时间a序列升级
19	24511 22631	6	   	257.60	橙4易伤1伤害1时间1暴击	1额外掉落2489易伤34金币生成4序列升级5暴击6伤害7核a时间
20	24621 22631	6	   	257.60	橙4易伤1伤害1时间1暴击	1额外掉落2489易伤34策反4序列升级5暴击6伤害7核a时间
21	24521 22631	6	   	257.50	橙4易伤1伤害1时间1暴击	1额外掉落2489易伤3金币生成5暴击6伤害7核a时间
22	12211 41116	7	   	257.40	橙4易伤1伤害1时间1暴击	1低血量敌人2掉矿3伤害467a易伤5暴击8核9时间
23	12211 41366	9	   	257.40	橙4易伤1伤害1时间1暴击	1低血量敌人2掉矿3伤害467a易伤5暴击8时间9核
24	24311 22631	6	   	257.40	橙4易伤1伤害1时间1暴击	1额外掉落2489易伤34掉矿4序列升级5暴击6伤害7核a时间
25	24321 22631	6	   	257.40	橙4易伤1伤害1时间1暴击	1额外掉落2489易伤3掉矿5暴击6伤害7核a时间
26	34411 41331	10	   	257.40	橙4易伤1伤害1时间1暴击	1挖尘2金币生成3伤害4679易伤5暴击8时间a核
27	43211 41116	7	   	257.40	橙4易伤1伤害1时间1暴击	1掉矿2低血量敌人3伤害467a易伤5暴击8核9时间
28	62411 41331	10	   	257.40	橙4易伤1伤害1时间1暴击	1金币生成2挖青3伤害4679易伤5暴击8时间a核
29	32411 41116	7	   	257.30	橙4易伤1伤害1时间1暴击	1挖尘2掉矿3伤害467a易伤5暴击8核9时间
30	32411 41331	10	   	257.30	橙4易伤1伤害1时间1暴击	1挖尘2掉矿3伤害4679易伤5暴击8时间a核
31	42411 41331	10	   	257.30	橙4易伤1伤害1时间1暴击	1掉矿2挖青3伤害4679易伤5暴击8时间a核
32	22221 63432	9	   	256.57	橙2易伤2伤害2时间1等级1暴击	1额外掉落28时间3敌人爆炸48易伤5暴击6等级78伤害8序列升级9策反a核
33	22221 63452	8	   	256.57	橙2易伤2伤害2时间1等级1暴击	1额外掉落28时间3敌人爆炸48易伤5暴击6等级78伤害8序列升级9金币生成a核
34	41422 32225	7	 * 	256.23	橙3易伤3攻速2时间1全技能	178掉矿2全技能36时间478攻速578易伤78序列升级9最后敌人a核
35	24311 21164	9	 * 	255.86	橙3易伤2时间1伤害2暴击	1额外掉落249易伤34掉矿49序列升级59暴击6伤害7金币生成89时间a核
36	24321 21164	9	   	255.86	橙3易伤2时间1伤害2暴击	1额外掉落249易伤3掉矿59暴击6伤害7金币生成89时间9序列升级a核
37	24313 21514	7	   	254.23	橙5易伤1等级1攻速	1额外掉落24569易伤34掉矿4序列升级7核8等级a攻速
38	24323 21514	7	   	254.23	橙5易伤1等级1攻速	1额外掉落24569易伤3掉矿7核8等级a攻速
39	24136 11316	9	 * 	253.58	橙3易伤2伤害2时间	1额外掉落26a易伤3双倍矿4a时间5策反7核8金币生成9a伤害a序列升级
40	21116 11316	9	   	253.58	橙3易伤2伤害2时间	1额外掉落2立即金币3a时间46a易伤5策反7核8金币生成9a伤害a序列升级
41	21116 11416	9	   	253.58	橙3易伤2伤害2时间	1额外掉落2立即金币3a时间46a易伤5策反7核8矿等9a伤害a序列升级
42	22421 11412	2	   	253.58	橙3易伤2伤害2时间	1额外掉落2a时间38a易伤4低血量敌人5基地爆炸6平台7核9a伤害a序列升级
43	22422 61412	2	   	253.58	橙3易伤2伤害2时间	1额外掉落2a时间38a易伤4低血量敌人5平台6敌人爆炸7核9a伤害a序列升级
44	22122 11412	3	   	253.48	橙3易伤2伤害2时间	1额外掉落2a时间3挖青4基地爆炸5平台68a易伤7核9a伤害a序列升级
45	22123 11412	3	   	253.48	橙3易伤2伤害2时间	1额外掉落2a时间3挖青4基地爆炸58a易伤6平台7核9a伤害a序列升级
46	22142 11412	4	   	253.48	橙3易伤2伤害2时间	1额外掉落2a时间3挖青4基地爆炸5平台68a易伤7核9a伤害a序列升级
47	22143 11412	4	   	253.48	橙3易伤2伤害2时间	1额外掉落2a时间3挖青4基地爆炸58a易伤6平台7核9a伤害a序列升级
48	22422 21412	2	   	253.48	橙3易伤2伤害2时间	1额外掉落2a时间38a易伤4低血量敌人5平台6挖尘7核9a伤害a序列升级
49	22451 11412	2	   	253.48	橙3易伤2伤害2时间	1额外掉落2a时间38a易伤4挖尘5敌人爆炸6平台7核9a伤害a序列升级
50	21116 11516	9	   	253.48	橙3易伤2伤害2时间	1额外掉落2立即金币3a时间46a易伤5策反7核8掉矿9a伤害a序列升级
51	15523 34323	3	   	253.41	橙4易伤2等级1时间1全技能	1低血量敌人2全技能34等级579a易伤6时间8核
52	24323 63213	6	   	253.41	橙4易伤2等级1时间1全技能	1额外掉落2458易伤38掉矿68等级7全技能8序列升级9时间a核
53	22152 11412	3	   	253.38	橙3易伤2伤害2时间	1额外掉落2a时间3挖青4挖尘5平台68a易伤7核9a伤害a序列升级
54	22153 11412	3	   	253.38	橙3易伤2伤害2时间	1额外掉落2a时间3挖青4挖尘58a易伤6平台7核9a伤害a序列升级
55	24232 51412	3	   	253.38	橙3易伤2伤害2时间	1额外掉落28a易伤3挖尘4挖青5平台6a时间7核9a伤害a序列升级
