0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35331 41432	9	 * 	308.99	橙5易伤3时间2伤害	129时间3低血量敌人45789易伤69伤害9序列升级a核
2	13342 43134	2	 * 	297.34	橙4易伤2伤害2时间2攻速	156a易伤28时间3a攻速4赏金邻近7a伤害9核a序列升级
3	13553 61332	10	   	296.19	橙4易伤2伤害2时间2等级	1579易伤29时间3低血量敌人46伤害89等级9序列升级a核
4	32553 61332	10	   	296.19	橙4易伤2伤害2时间2等级	19时间2579易伤3低血量敌人46伤害89等级9序列升级a核
5	35331 61432	9	 * 	292.55	橙5易伤3时间2攻速	129时间3低血量敌人45789易伤69攻速9序列升级a核
6	12543 23134	2	   	289.45	橙4易伤3时间2伤害	125a易伤3赏金邻近45策反5a序列升级68a时间7a伤害9核
7	13543 23134	1	   	289.45	橙4易伤3时间2伤害	125a易伤25a序列升级3赏金邻近45策反68a时间7a伤害9核
8	14333 15134	2	   	289.45	橙4易伤3时间2伤害	135a易伤25策反4赏金塔5a序列升级6a伤害78a时间9核
9	14333 23134	2	   	289.45	橙4易伤3时间2伤害	135a易伤25策反4赏金塔5a序列升级68a时间7a伤害9核
10	14433 23134	3	   	289.45	橙4易伤3时间2伤害	135a易伤25策反4赏金塔5a序列升级68a时间7a伤害9核
11	14331 15134	2	   	289.35	橙4易伤3时间2伤害	135a易伤2策反4赏金塔6a伤害78a时间9核a序列升级
12	12541 23134	2	   	289.35	橙4易伤3时间2伤害	125a易伤3赏金邻近4策反68a时间7a伤害9核a序列升级
13	13541 23134	1	   	289.35	橙4易伤3时间2伤害	125a易伤2a序列升级3赏金邻近4策反68a时间7a伤害9核
14	14331 23134	2	   	289.35	橙4易伤3时间2伤害	135a易伤2策反4赏金塔68a时间7a伤害9核a序列升级
15	14431 23134	3	   	289.35	橙4易伤3时间2伤害	135a易伤2策反4赏金塔68a时间7a伤害9核a序列升级
16	32342 43134	2	 * 	287.92	橙3易伤3时间2伤害2攻速	18a时间256易伤3a攻速4赏金邻近7a伤害9核a序列升级
17	12243 61521	2	   	284.24	橙4易伤2时间2攻速1等级	128a易伤38时间4雷电5等级68攻速7加一8序列升级9核
18	13243 61521	1	   	284.24	橙4易伤2时间2攻速1等级	128a易伤28序列升级38时间4雷电5等级68攻速7加一9核
19	13342 11524	2	 * 	284.22	橙3易伤2伤害3攻速2时间	15a易伤27时间39a攻速4赏金邻近6a伤害8核a序列升级
20	13353 31552	9	   	281.18	橙5易伤2伤害1时间	15679易伤2时间389基地爆炸49伤害9序列升级a核
21	32313 14332	2	   	279.33	橙5易伤2时间2攻速	17时间2678a易伤37攻速4随机矿5平台7序列升级9核
22	13313 14332	2	   	279.33	橙5易伤2时间2攻速	1678a易伤27时间37攻速4随机矿5平台7序列升级9核
23	15313 14332	1	   	279.33	橙5易伤2时间2攻速	1678a易伤27时间37攻速4随机矿5平台7序列升级9核
