0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23335 47224	9	 * 	297.64	橙3易伤3时间2伤害3攻速	18a易伤28a攻速3加一458时间6平台7核8a序列升级9a伤害
2	23334 17217	3	 * 	292.45	橙5易伤3时间2攻速	14789易伤29攻速3加一569时间9序列升级a核
3	34333 23214	7	 * 	291.68	橙4易伤3伤害2时间	139挖尘23时间39序列升级459伤害6789易伤a核
4	15653 32322	9	   	291.08	橙4易伤2伤害2时间2雷电	18时间26雷电3平台489a易伤58伤害7核8序列升级
5	21221 23626	2	   	286.98	橙4易伤2伤害2时间1攻速1卖塔	1239易伤29序列升级4卖塔5攻速69时间79伤害8平台a核
6	21333 31411	6	   	285.56	橙4易伤3伤害2雷电	1259易伤29序列升级3敌人爆炸479伤害6全技能89雷电a核
7	21333 33411	7	   	285.56	橙4易伤3伤害2雷电	1259易伤29序列升级3敌人爆炸479伤害6全技能89雷电a核
8	21133 24411	7	   	285.46	橙4易伤3伤害2雷电	1269易伤29序列升级3挖尘459伤害7全技能89雷电a核
9	23113 22121	7	 * 	284.70	橙5易伤2攻速2暴击1等级	1569a易伤2a攻速3等级4矿等7核8a暴击a序列升级
10	21357 24147	8	   	282.96	橙3易伤3时间2伤害1等级	127易伤27序列升级3敌人爆炸4加一578时间67伤害9核a等级
11	21357 24447	7	   	282.96	橙3易伤3时间2伤害1等级	127易伤27序列升级3敌人爆炸4加一578时间67伤害9核a等级
12	21636 13133	9	   	280.82	橙5易伤2暴击2全技能1时间	12478易伤27序列升级35全技能67暴击9核a时间
13	21333 26414	6	 * 	280.58	橙5易伤3伤害	12569易伤29序列升级3敌人爆炸479伤害89最后敌人a核
14	21333 61214	5	   	280.58	橙5易伤3伤害	12589易伤29序列升级3敌人爆炸469伤害79基地爆炸a核
15	21133 13214	7	   	280.48	橙5易伤3伤害	12789易伤29序列升级3挖尘459伤害69敌人爆炸a核
16	21133 21214	6	   	280.48	橙5易伤3伤害	12689易伤29序列升级3挖尘459伤害79基地爆炸a核
17	21133 25214	6	   	280.48	橙5易伤3伤害	12689易伤29序列升级3挖尘459伤害79敌人爆炸a核
18	21134 61214	5	   	280.48	橙5易伤3伤害	12589易伤29序列升级3挖尘469伤害79基地爆炸a核
19	21216 23211	2	   	278.38	橙5易伤2伤害1暴击	1234a易伤24序列升级57伤害6额外掉落8暴击9核
20	21211 26462	2	   	278.38	橙5易伤2伤害1暴击	12348易伤24序列升级5低血量敌人69伤害7暴击a核
21	21212 26462	2	   	278.38	橙5易伤2伤害1暴击	12348易伤24序列升级5最后敌人69伤害7暴击a核
