0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61261 33233	3	 * 	275.75	橙5易伤1等级1伤害1时间	13掉矿23478易伤3序列升级5伤害6等级9核a时间
2	61261 33314	3	 * 	271.99	橙4易伤2时间1等级1伤害	13掉矿2347易伤3序列升级5伤害6等级89时间a核
3	61261 33232	3	   	267.80	橙5易伤1等级1伤害	13掉矿23478易伤3序列升级5伤害6等级9核a攻速
4	61132 46113	6	 * 	267.59	橙3易伤2伤害1等级1时间1暴击	18掉矿268易伤3时间4暴击58伤害7赏金邻近8序列升级9等级a核
5	21324 33233	5	   	263.99	橙5易伤1等级1时间	1攻速2掉矿34578易伤6等级9核a时间
6	61224 33233	5	   	263.99	橙5易伤1等级1时间	13掉矿23578易伤3序列升级4攻速6等级9核a时间
7	31243 41631	4	 * 	263.84	橙3易伤2等级2时间1暴击	13金币生成236易伤36序列升级4平台56等级7核89时间a暴击
8	31123 54121	7	 * 	263.15	橙2易伤2等级2伤害2时间	17金币生成27易伤3a时间48等级5额外掉落67伤害7序列升级9核
9	55343 23333	9	   	262.50	橙5易伤1时间2雷电1全技能	14雷电2全技能34567易伤4序列升级8时间9攻速a核
10	31243 41213	4	 * 	262.36	橙4易伤2等级1暴击	13金币生成236a易伤36序列升级4平台56等级7核8雷电9暴击
11	11143 63522	8	 * 	261.95	橙3易伤3伤害1等级	158基地爆炸2挖尘378易伤458伤害58序列升级6核9攻速a等级
12	31243 41413	4	 * 	260.47	橙4易伤2等级1伤害	138金币生成2369易伤36序列升级4平台56等级7核a伤害
13	31243 41351	4	   	260.37	橙4易伤2等级1伤害	13金币生成236a易伤36序列升级4平台56等级7核8赏金邻近9伤害
14	21111 23144	1	   	260.33	橙4易伤2时间1等级	1攻速2矿等3579易伤46时间8等级a核
15	21324 33314	5	   	260.23	橙4易伤2时间1等级	1攻速2掉矿3457易伤6等级89时间a核
16	61224 33314	5	   	260.23	橙4易伤2时间1等级	13掉矿2357易伤3序列升级4攻速6等级89时间a核
17	31242 34153	10	   	259.83	橙4易伤2时间1伤害1暴击	139金币生成2389易伤39序列升级4平台5伤害6暴击79时间a核
18	61261 33231	3	   	259.40	橙5易伤1等级1伤害	13掉矿23478易伤3序列升级5伤害6等级9核a挖尘
19	61261 33234	3	   	259.40	橙5易伤1等级1伤害	13掉矿23478易伤3序列升级5伤害6等级9核a赏金邻近
20	61261 33236	3	   	259.40	橙5易伤1等级1伤害	13a掉矿23478易伤3序列升级5伤害6等级9核
21	61132 11121	4	   	259.28	橙2易伤2等级1伤害1时间2雷电1暴击	1掉矿2a易伤3时间4暴击5a雷电6核7伤害8a等级9双倍物品a序列升级
22	61134 11121	5	   	259.28	橙2易伤2等级1伤害1时间2雷电1暴击	1掉矿2a易伤3时间4暴击5a雷电6核7伤害8a等级9双倍物品a序列升级
23	31243 41632	4	   	258.49	橙3易伤2等级2时间	13金币生成236易伤36序列升级4平台56等级7核89时间a雷电
24	31243 41215	4	   	257.56	橙3易伤2等级1时间1暴击	13金币生成236易伤36序列升级4平台56等级7核8雷电9暴击a时间
25	61261 32413	3	   	257.40	橙4易伤1等级1伤害1时间	13掉矿2348易伤3序列升级5伤害6等级7最后敌人9时间a核
26	61261 33351	3	   	257.40	橙4易伤1等级1伤害1时间	13掉矿2347易伤3序列升级5伤害6等级8时间9额外掉落a核
27	31123 54321	8	 * 	257.36	橙2易伤3时间2伤害1等级	17金币生成27易伤38a时间4等级5额外掉落67伤害7序列升级9核
28	13611 23353	4	 * 	257.00	橙3易伤2等级2伤害	18基地爆炸2低血量敌人38等级4金币生成56a易伤78伤害8序列升级9核
29	13611 23353	5	   	257.00	橙3易伤2等级2伤害	18基地爆炸2低血量敌人38等级4金币生成56a易伤78伤害8序列升级9核
30	13611 33353	6	   	257.00	橙3易伤2等级2伤害	18基地爆炸2低血量敌人38等级4金币生成56a易伤78伤害8序列升级9核
31	16611 23353	5	   	257.00	橙3易伤2等级2伤害	18基地爆炸2最后敌人38等级4金币生成56a易伤78伤害8序列升级9核
32	16611 23353	4	   	257.00	橙3易伤2等级2伤害	18基地爆炸2最后敌人38等级4金币生成56a易伤78伤害8序列升级9核
33	11611 53333	7	   	256.90	橙3易伤2等级2伤害	18基地爆炸2挖尘38等级4金币生成57a易伤68伤害8序列升级9核
34	31123 54123	7	   	256.87	橙2易伤2等级2伤害1时间	17金币生成27易伤3时间48等级5额外掉落67伤害7序列升级9核a攻速
35	31123 54152	7	   	256.87	橙2易伤2等级2伤害1时间	17金币生成27易伤3时间48等级5额外掉落67伤害7序列升级9攻速a核
36	11143 63521	8	 * 	256.80	橙4易伤3伤害	158基地爆炸2挖尘378a易伤458伤害58序列升级6核9攻速
37	61213 22244	10	   	256.45	橙4易伤2等级1时间	13a掉矿236a易伤3a序列升级4低血量敌人5时间7a等级8平台9核
38	31124 22344	8	   	256.45	橙4易伤2等级1时间	1金币生成2689易伤3时间47等级5矿等a核
39	61111 12344	8	   	256.35	橙4易伤2等级1时间	1掉矿2589易伤3时间4金币生成67等级a核
40	55342 13211	9	   	255.59	橙3易伤2时间1等级2雷电1全技能	14雷电2全技能34a易伤4序列升级5金币生成67时间8等级9核
41	21324 33232	5	   	255.58	橙5易伤1等级2攻速	1a攻速2掉矿34578易伤6等级9核
42	61224 33232	5	   	255.58	橙5易伤1等级2攻速	13掉矿23578易伤3序列升级4a攻速6等级9核
43	31242 41213	5	   	254.79	橙4易伤2伤害1暴击	13金币生成236a易伤36序列升级4平台56伤害7核8雷电9暴击
44	61242 41213	5	   	254.59	橙4易伤2伤害1暴击	13掉矿236a易伤36序列升级4平台56伤害7核8雷电9暴击
45	31242 41161	5	   	254.24	橙3易伤2伤害1等级1时间	13金币生成236易伤36序列升级4平台56伤害7核8最后敌人9时间a等级
46	55343 21323	8	   	254.20	橙5易伤1时间2雷电1全技能	14雷电2全技能34569易伤4序列升级7金币生成8时间a核
47	55343 22323	8	   	254.20	橙5易伤1时间2雷电1全技能	14雷电2全技能34569易伤4序列升级7随机矿8时间a核
48	31123 54152	8	   	254.14	橙3易伤2伤害1等级1时间	17金币生成279易伤3时间4等级5额外掉落67伤害7序列升级8掉矿a核
49	11143 63512	9	   	253.64	橙3易伤3伤害1等级	158基地爆炸2挖尘378易伤458伤害58序列升级6核9金币生成a等级
50	11143 63522	9	   	253.64	橙3易伤3伤害1等级	158基地爆炸2挖尘378易伤458伤害58序列升级6核9策反a等级
51	11143 63533	8	   	253.35	橙3易伤3伤害1时间1全技能	158基地爆炸2挖尘378易伤458伤害58序列升级6核9时间a全技能
52	25224 14113	1	 * 	252.60	橙3易伤1等级2暴击2攻速1时间	18攻速28暴击3时间4金币生成5赏金塔678易伤8序列升级9等级a核
53	31123 54323	8	   	252.44	橙2易伤2伤害2时间1等级	17金币生成27易伤38时间4等级5额外掉落67伤害7序列升级9核a攻速
54	31123 54352	9	   	252.44	橙2易伤2伤害2时间1等级	17金币生成27易伤38时间4等级5额外掉落67伤害7序列升级9攻速a核
55	31123 54352	8	   	252.44	橙2易伤2伤害2时间1等级	17金币生成27易伤38时间4等级5额外掉落67伤害7序列升级9攻速a核
56	31121 13114	6	   	252.02	橙4易伤2时间1等级	1金币生成2567易伤39时间4等级8矿等a核
57	31121 13114	7	   	252.02	橙4易伤2时间1等级	1金币生成2567易伤39时间4等级8矿等a核
58	31121 13514	8	   	252.02	橙4易伤2时间1等级	1金币生成2567易伤39时间4等级8矿等a核
59	15111 23144	1	   	252.02	橙4易伤2时间1等级	1基地爆炸2立即金币3579易伤46时间8等级a核
60	31121 12144	7	   	252.02	橙4易伤2时间1等级	1金币生成2569易伤37时间4等级8矿等a核
61	31121 12544	8	   	252.02	橙4易伤2时间1等级	1金币生成2569易伤37时间4等级8矿等a核
62	31121 23144	4	   	252.02	橙4易伤2时间1等级	1金币生成2579易伤36时间4等级8矿等a核
63	31121 23144	5	   	252.02	橙4易伤2时间1等级	1金币生成2579易伤36时间4等级8矿等a核
64	31121 63144	6	   	252.02	橙4易伤2时间1等级	1金币生成2579易伤36时间4等级8矿等a核
65	31121 63144	7	   	252.02	橙4易伤2时间1等级	1金币生成2579易伤36时间4等级8矿等a核
66	11143 63532	8	   	252.00	橙3易伤3伤害1时间	158基地爆炸2挖尘378易伤458伤害58序列升级6核9时间a攻速
67	31121 15314	8	   	251.92	橙4易伤2时间1等级	1金币生成2568易伤39时间4等级7掉矿a核
68	31121 15414	7	   	251.92	橙4易伤2时间1等级	1金币生成2568易伤39时间4等级7掉矿a核
69	31121 15414	6	   	251.92	橙4易伤2时间1等级	1金币生成2568易伤39时间4等级7掉矿a核
70	31242 41531	5	   	251.64	橙3易伤2伤害1等级1暴击	13金币生成236易伤36序列升级4平台56伤害7核8等级9策反a暴击
71	31261 31414	3	   	251.14	橙3易伤2时间1等级1伤害	137金币生成234易伤3序列升级5伤害6等级89时间a核
72	11121 11522	3	 * 	251.08	橙5易伤2伤害	1a基地爆炸2挖尘3457a易伤6额外掉落8a伤害9核a序列升级
73	31121 12651	6	   	251.04	橙3易伤2时间1等级1伤害	1金币生成256易伤3a时间4等级7最后敌人8伤害9核
74	31121 14651	7	   	251.04	橙3易伤2时间1等级1伤害	1金币生成256易伤3a时间4等级7最后敌人8伤害9核
75	31121 16651	6	   	251.04	橙3易伤2时间1等级1伤害	1金币生成256易伤3a时间4等级7基地爆炸8伤害9核
76	32121 56151	8	   	251.04	橙3易伤2时间1等级1伤害	1金币生成2低血量敌人3a时间4等级578易伤6伤害9核
77	31121 11631	7	   	250.94	橙3易伤2时间1等级1伤害	1金币生成256易伤3a时间4等级7挖尘8伤害9核
78	31121 14651	6	   	250.94	橙3易伤2时间1等级1伤害	1金币生成256易伤3a时间4等级7挖青8伤害9核
79	61213 22651	7	   	250.94	橙3易伤2时间1等级1伤害	13掉矿236易伤3序列升级4低血量敌人5a时间7等级8伤害9核
80	61361 33314	3	   	250.94	橙3易伤2时间1等级1伤害	1掉矿247易伤3立即金币5伤害6等级89时间a核
81	61361 33314	2	   	250.84	橙3易伤2时间1等级1伤害	13掉矿247易伤5伤害6等级89时间a核
82	31232 36144	10	   	250.29	橙3易伤2等级2时间	13a金币生成23a易伤3a序列升级4敌人爆炸5平台67等级8a时间9核
83	31243 41633	4	   	250.19	橙3易伤2等级2时间	13金币生成236易伤36序列升级4平台56等级7核89时间a基地爆炸
84	31242 41215	5	   	249.99	橙3易伤2伤害1时间1暴击	13金币生成236易伤36序列升级4平台56伤害7核8雷电9暴击a时间
85	31121 62115	4	   	249.99	橙3易伤2等级2时间	1金币生成259易伤3a时间48等级6核7双倍矿
86	31121 62115	5	   	249.99	橙3易伤2等级2时间	1金币生成259易伤3a时间48等级6核7双倍矿
87	31121 64115	5	   	249.99	橙3易伤2等级2时间	17金币生成259易伤3a时间48等级6核
88	31121 64115	4	   	249.99	橙3易伤2等级2时间	17金币生成259易伤3a时间48等级6核
89	31124 22314	8	   	249.99	橙3易伤2等级2时间	1金币生成268易伤39时间47等级5矿等a核
90	31124 22414	7	   	249.99	橙3易伤2等级2时间	1金币生成268易伤39时间47等级5矿等a核
91	61131 62115	3	   	249.89	橙3易伤2等级2时间	1掉矿249易伤3a时间58等级6核7双倍矿
92	61111 12314	8	   	249.89	橙3易伤2等级2时间	1掉矿258易伤39时间4金币生成67等级a核
93	61111 12414	7	   	249.89	橙3易伤2等级2时间	1掉矿258易伤39时间4金币生成67等级a核
94	61111 12414	6	   	249.89	橙3易伤2等级2时间	1掉矿258易伤39时间4金币生成67等级a核
95	32288 51434	1	   	249.74	橙3易伤2等级2时间1卖塔	1金币生成2加一3卖塔46等级56a易伤6序列升级7核89时间
96	31242 43153	10	   	249.74	橙5易伤1伤害1时间	13金币生成2369a易伤3序列升级4平台5伤害7核8时间
97	31242 43533	8	   	249.66	橙4易伤1等级1伤害	13金币生成2368易伤3序列升级4平台5伤害7核9攻速a等级
98	61221 11413	9	   	249.36	橙4易伤1等级1伤害	135掉矿2369易伤3序列升级4攻速7等级8核a伤害
99	31243 41162	4	   	249.25	橙3易伤2等级1时间1暴击	13金币生成236易伤36序列升级4平台56等级7核8最后敌人9时间a暴击
100	31243 41622	4	   	249.25	橙3易伤2等级1时间1暴击	13金币生成236易伤36序列升级4平台56等级7核8时间9最后敌人a暴击
101	61132 36113	6	 * 	249.21	橙2易伤2伤害1等级2暴击1时间	18掉矿28易伤3时间46暴击58伤害7赏金邻近8序列升级9等级a核
102	31243 41612	4	   	249.15	橙3易伤2等级1时间1暴击	13金币生成236易伤36序列升级4平台56等级7核8时间9挖青a暴击
103	21335 62342	8	   	249.05	橙3易伤2等级2攻速1暴击	1a攻速2掉矿37a易伤4矿等5平台6核8暴击9a等级a序列升级
104	31243 41253	4	   	248.71	橙4易伤2等级	13金币生成2369易伤36序列升级4平台56等级7核8雷电a低血量敌人
105	31243 41223	4	   	248.61	橙4易伤2等级	13金币生成236a易伤36序列升级4平台56等级7核8雷电9挖尘
106	31243 41251	4	   	248.61	橙4易伤2等级1核弹	13金币生成2369易伤36序列升级4平台56等级7核8雷电a核弹
107	31243 41252	4	   	248.61	橙4易伤2等级	13金币生成2369易伤36序列升级4平台56等级7核8雷电a挖尘
108	31243 41361	4	   	248.61	橙4易伤2等级	13金币生成236a易伤36序列升级4平台56等级7核8赏金邻近9攻速
109	31242 42112	5	   	248.59	橙4易伤3伤害	138金币生成2368易伤368序列升级4平台568伤害7赏金塔9额外掉落a核
110	31242 46112	5	   	248.59	橙4易伤3伤害	138金币生成2368易伤368序列升级4平台568伤害7赏金邻近9额外掉落a核
111	13611 23351	4	   	248.56	橙2易伤2等级2伤害1时间	18基地爆炸2低血量敌人38等级4金币生成56易伤78伤害8序列升级9核a时间
112	13611 23351	5	   	248.56	橙2易伤2等级2伤害1时间	18基地爆炸2低血量敌人38等级4金币生成56易伤78伤害8序列升级9核a时间
113	13611 33351	6	   	248.56	橙2易伤2等级2伤害1时间	18基地爆炸2低血量敌人38等级4金币生成56易伤78伤害8序列升级9核a时间
114	16611 23351	5	   	248.56	橙2易伤2等级2伤害1时间	18基地爆炸2最后敌人38等级4金币生成56易伤78伤害8序列升级9核a时间
115	16611 23351	4	   	248.56	橙2易伤2等级2伤害1时间	18基地爆炸2最后敌人38等级4金币生成56易伤78伤害8序列升级9核a时间
116	31123 54122	7	   	248.56	橙2易伤2等级2伤害1时间	17金币生成27易伤3时间48等级5额外掉落67伤害7序列升级9核a基地爆炸
117	31123 54125	7	   	248.56	橙2易伤2等级2伤害1时间	17金币生成27易伤3时间48等级5额外掉落67伤害7序列升级9核a随机矿
118	31123 54126	7	   	248.56	橙2易伤2等级2伤害1时间	17金币生成27易伤3时间48等级5额外掉落67伤害7序列升级9核a低血量敌人
119	31123 54131	7	   	248.56	橙2易伤2等级2伤害1时间	179金币生成27易伤3时间48等级5额外掉落67伤害7序列升级a核
120	61221 11414	8	   	248.51	橙4易伤2等级	135掉矿236a易伤3a序列升级4攻速7a等级8核9a策反
121	61221 11434	9	   	248.51	橙4易伤2等级	135掉矿236a易伤3a序列升级4攻速7a等级8核9a策反
122	11143 63511	9	   	248.49	橙4易伤3伤害	158基地爆炸2挖尘378a易伤458伤害58序列升级6核9金币生成
123	11143 63521	9	   	248.49	橙4易伤3伤害	158基地爆炸2挖尘378a易伤458伤害58序列升级6核9策反
124	31242 41413	5	   	248.49	橙4易伤3伤害	138金币生成2369易伤36序列升级4平台56a伤害7核
125	31242 41613	5	   	248.49	橙4易伤3伤害	13金币生成2369易伤36序列升级48平台56a伤害7核
126	31423 54121	7	   	248.46	橙2易伤2等级2伤害1时间	17金币生成27易伤3挖尘48等级5额外掉落67伤害7序列升级9核a时间
127	11611 53331	7	   	248.46	橙2易伤2等级2伤害1时间	18基地爆炸2挖尘38等级4金币生成57易伤68伤害8序列升级9核a时间
128	31242 43413	8	   	248.39	橙4易伤3伤害	13金币生成2369易伤3序列升级4平台58a伤害7核
129	61221 11425	8	   	248.31	橙4易伤2等级	135掉矿236a易伤3序列升级4攻速79等级8核
130	11143 63111	10	   	248.29	橙4易伤3伤害	15基地爆炸2挖尘378a易伤459伤害5序列升级6核
131	52345 32338	1	   	248.11	橙2易伤3时间1等级2雷电1暴击	17雷电2暴击3加一457时间67易伤7序列升级8等级9金币生成a核
132	31222 34153	10	   	248.08	橙4易伤2时间1暴击	139金币生成2389易伤39序列升级4攻速5平台6暴击79时间a核
133	52345 32328	1	   	248.01	橙2易伤3时间1等级2雷电1暴击	17雷电2暴击3加一457时间67易伤7序列升级8等级9掉矿a核
134	31423 54122	7	 * 	247.87	橙2易伤3伤害2等级	17金币生成27易伤3挖尘48等级5额外掉落67a伤害7序列升级9核
135	31243 41211	4	   	247.86	橙3易伤2等级2雷电1暴击	13金币生成236易伤36序列升级4平台56等级7核8a雷电9暴击
136	11121 23415	3	   	247.74	橙5易伤1等级	1基地爆炸2挖尘34567易伤8等级9雷电a核
137	61221 11415	9	   	247.64	橙5易伤1等级	135掉矿2369a易伤3序列升级4攻速7等级8核
138	21324 33231	5	   	247.64	橙5易伤1等级	1攻速2掉矿34578易伤6等级9核a挖尘
139	21324 33234	5	   	247.64	橙5易伤1等级	1攻速2掉矿34578易伤6等级9核a赏金邻近
