0	Index      	 *	Score 	Summary	Detail	Bounty	
1	26442 33133	 * 	311.95	橙5易伤3伤害3等级	1加一289伤害358等级45678易伤58序列升级a核	4
2	26444 33171	   	311.95	橙5易伤3伤害2等级	1加一258伤害38等级4678a易伤8序列升级9核	5
3	26444 73171	   	311.95	橙5易伤3伤害2等级	1加一258伤害38等级4678a易伤8序列升级9核	6
4	26444 74171	   	311.95	橙5易伤3伤害2等级	1加一258伤害38等级4678a易伤8序列升级9核	7
5	26414 77114	   	309.96	橙4易伤3伤害3等级1时间	1加一278伤害378等级4立即金币5678易伤78序列升级9核a时间	7
6	26444 33178	   	309.86	橙4易伤3伤害2等级1时间	1加一258伤害38等级4678易伤8序列升级9核a时间	5
7	27762 33114	   	309.86	橙4易伤3伤害3等级1时间	1加一2678易伤358等级458伤害58序列升级9核a时间	3
8	52222 36143	 * 	305.63	橙4易伤3伤害2时间1等级	158伤害27矿等38时间4568易伤58序列升级9等级a核	3
9	52226 33143	   	305.53	橙4易伤3伤害2时间1等级	158伤害2矿等38时间4678易伤8序列升级9等级a核	3
10	32322 21123	 * 	303.49	橙3易伤3伤害3等级2时间	1平台28时间357等级458易伤58序列升级689伤害a核	5
11	26414 77111	   	302.02	橙4易伤3伤害3等级	1加一278伤害378等级4立即金币5678易伤78序列升级9核a攻速	7
12	26414 77113	   	302.02	橙4易伤3伤害3等级	1加一278伤害378等级4立即金币5678易伤78序列升级9核a雷电	7
13	27762 33111	   	301.92	橙4易伤3伤害3等级	1加一2678易伤358等级458伤害58序列升级9核a攻速	3
14	27762 33113	   	301.92	橙4易伤3伤害3等级	1加一2678易伤358等级458伤害58序列升级9核a雷电	3
15	51123 25336	 * 	297.90	橙3易伤3伤害3时间1等级	179伤害279易伤3立即金币4低血量敌人5基地爆炸679时间79序列升级8核a等级	7
16	51322 25336	   	297.90	橙3易伤3伤害3时间1等级	179伤害279易伤35低血量敌人4敌人爆炸679时间79序列升级8核a等级	7
17	32222 43333	 * 	297.87	橙5易伤3伤害2时间	1平台2a时间356伤害4569a易伤56a序列升级7a敌人爆炸8核	9
18	52222 33116	   	297.77	橙5易伤3伤害2时间	158伤害2矿等38时间45678易伤58序列升级9立即金币a核	3
19	52222 33146	   	297.77	橙5易伤3伤害2时间	158伤害2矿等38时间45678易伤58序列升级9策反a核	3
20	52222 36116	   	297.77	橙5易伤3伤害2时间	158伤害27矿等38时间45689易伤58序列升级a核	3
21	56222 33116	   	297.77	橙5易伤3伤害2时间	158伤害2金币生成38时间45678易伤58序列升级9立即金币a核	3
22	52226 33116	   	297.67	橙5易伤3伤害2时间	158伤害2矿等38时间46789易伤8序列升级a核	3
23	26444 77314	   	297.11	橙3易伤3伤害2等级1时间	1加一257伤害37等级467易伤7序列升级8核9攻速a时间	7
24	32236 22361	   	296.87	橙2易伤3伤害2等级2时间	1平台2a时间35a伤害45等级5a序列升级6全技能7攻速8a易伤9核	9
25	26442 33113	   	296.30	橙5易伤3等级2伤害	1加一28伤害358等级45678易伤58序列升级9立即金币a核	4
26	26442 33156	   	296.30	橙5易伤3等级2伤害	1加一28伤害358等级45678易伤58序列升级9平台a核	4
