0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14542 22231	9	 * 	312.15	橙5易伤3伤害3等级	1489a易伤289等级3立即金币5平台689伤害7核89a序列升级
2	14542 22232	9	   	310.06	橙4易伤3伤害3等级1时间	1489易伤289等级3立即金币5平台689伤害7核89序列升级a时间
3	14215 53311	3	 * 	308.89	橙4易伤3等级2伤害2时间	139a易伤235等级3a序列升级4基地爆炸6a时间7核8a伤害
4	14242 22225	9	   	307.95	橙4易伤3等级2伤害1时间1暴击	1348易伤238等级38序列升级5平台68伤害7核9时间a暴击
5	14242 22215	10	   	304.70	橙5易伤3等级2伤害	1348a易伤238等级38序列升级5平台68伤害7核9攻速
6	14242 22223	8	   	303.97	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9全技能a时间
7	14242 22224	10	   	302.61	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9时间a攻速
8	14242 22212	9	   	302.02	橙4易伤3伤害3等级	1348易伤238等级38序列升级5平台68a伤害7核9攻速
9	12255 43121	7	 * 	296.96	橙4易伤3时间2伤害3雷电	158a易伤2基地爆炸38a时间468雷电7核8a序列升级9a伤害
10	14242 22264	10	   	296.30	橙5易伤3等级2伤害	1348a易伤238等级38序列升级5平台68伤害7核9加一
11	14245 11213	9	   	296.20	橙5易伤2等级2伤害	1348a易伤23等级3序列升级57伤害6挖青9核
12	14242 22226	8	   	296.02	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9全技能a雷电
13	14242 22221	8	   	295.49	橙4易伤3等级2伤害2全技能	1348易伤238等级38序列升级5平台68伤害7核9a全技能
14	14242 22221	10	   	294.30	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9时间a低血量敌人
15	14242 22222	9	   	294.30	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9时间a策反
16	14242 22223	9	   	294.30	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9时间a立即金币
17	14242 22223	10	   	294.30	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9时间a额外掉落
18	14242 22225	10	   	294.30	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9时间a基地爆炸
19	14242 22221	9	   	294.20	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9时间a赏金邻近
20	14242 22224	9	   	294.20	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9时间a加一
21	14242 22226	9	   	294.20	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9时间a赏金塔
22	14242 22226	10	   	294.20	橙4易伤3等级2伤害1时间	1348易伤238等级38序列升级5平台68伤害7核9时间a挖尘
23	14242 22222	10	   	294.06	橙4易伤3等级2伤害1时间1卖塔	1348易伤238等级38序列升级5平台68伤害7核9时间a卖塔
24	14241 41122	5	 * 	294.03	橙4易伤2等级3时间	1345易伤23等级3序列升级69a时间7核8全技能
25	14542 22231	10	   	293.81	橙4易伤3伤害3等级	1489易伤289等级3a立即金币5平台689伤害7核89序列升级
26	14542 22233	10	   	293.81	橙4易伤3伤害3等级	1489易伤289等级3立即金币5平台689伤害7核89序列升级a最后敌人
27	14542 22232	10	   	293.71	橙4易伤3伤害3等级	1489易伤289等级3立即金币5平台689伤害7核89序列升级a挖尘
28	14542 22233	9	   	293.71	橙4易伤3伤害3等级	1489易伤289等级3立即金币5平台689伤害7核89序列升级a赏金塔
29	14213 43141	4	   	293.61	橙4易伤3伤害2等级	1367易伤23等级36序列升级4矿等568伤害9赏金邻近a核
30	14213 43631	4	   	293.61	橙4易伤3伤害2等级	1367易伤23等级36序列升级4矿等569伤害8赏金邻近a核
31	14245 11212	9	   	293.51	橙4易伤3伤害2等级	1348易伤23等级3序列升级57a伤害6挖青9核
32	14242 22235	8	   	291.71	橙4易伤3等级2伤害1暴击	1348易伤238等级38序列升级5平台68伤害7核9最后敌人a暴击
33	14231 34336	10	   	291.61	橙4易伤2等级2伤害1暴击	1389易伤23等级3序列升级4暴击5金币生成67伤害a核
34	14242 22215	8	   	291.61	橙4易伤3等级2伤害1暴击	1348易伤238等级38序列升级5平台68伤害7核9挖尘a暴击
35	14242 22235	9	   	291.61	橙4易伤3等级2伤害1暴击	1348易伤238等级38序列升级5平台68伤害7核9挖尘a暴击
36	14241 23342	5	   	291.51	橙5易伤2等级1时间	13457易伤23等级3序列升级6核8攻速9时间a雷电
37	14242 21263	6	   	291.20	橙4易伤2等级2时间1伤害	1349易伤23等级3序列升级5平台6伤害7核8a时间
38	14242 22263	7	   	291.20	橙4易伤2等级2时间1伤害	1349易伤23等级3序列升级5平台6伤害7核8a时间
39	11363 55122	3	   	289.48	橙4易伤2伤害2时间2攻速	139a易伤24时间5a伤害6全技能7核8a攻速a序列升级
40	14241 11113	5	 * 	289.48	橙5易伤2等级2时间	13459易伤23等级3序列升级6低血量敌人7核8a时间
41	14241 31113	5	   	289.48	橙5易伤2等级2时间	13459易伤23等级3序列升级6最后敌人7核8a时间
42	14241 41313	5	   	289.48	橙5易伤2等级2时间	13459易伤23等级3序列升级6a时间7核8敌人爆炸
43	14244 21113	4	   	289.48	橙5易伤2等级2时间	13469易伤23等级3序列升级5最后敌人7核8a时间
44	14241 23163	5	   	289.48	橙5易伤2等级2时间	13457易伤23等级3序列升级6核8基地爆炸9a时间
45	14241 23533	5	   	289.48	橙5易伤2等级2时间	13457易伤23等级3序列升级6核8敌人爆炸9a时间
46	14241 23623	5	   	289.48	橙5易伤2等级2时间	13457易伤23等级3序列升级6核8a时间9敌人爆炸
47	14241 23633	5	   	289.48	橙5易伤2等级2时间	13457易伤23等级3序列升级6核8a时间9基地爆炸
48	14241 33211	10	   	289.38	橙5易伤2等级2时间	13458易伤23等级3序列升级6掉矿7a时间9核
49	14241 11114	5	   	288.55	橙5易伤2等级1时间1暴击	13459易伤23等级3序列升级6低血量敌人7核8时间a暴击
50	14241 31114	5	   	288.55	橙5易伤2等级1时间1暴击	13459易伤23等级3序列升级6最后敌人7核8时间a暴击
51	14233 33216	8	   	288.45	橙5易伤3等级1时间1暴击	13568易伤237等级3序列升级4暴击9时间a核
52	11663 22612	9	   	288.34	橙4易伤2时间1等级1伤害2攻速	1356易伤23时间3序列升级48攻速7等级9核a伤害
53	11665 22212	9	   	288.34	橙4易伤2时间1等级1伤害2攻速	1368易伤23时间3序列升级45攻速7等级9核a伤害
54	15163 33331	6	   	287.96	橙5易伤1等级1伤害2暴击	13569易伤23暴击3序列升级4攻速7核8伤害a等级
55	14242 22222	8	   	287.72	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9全技能a敌人爆炸
56	14242 22225	8	   	287.62	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9全技能a挖尘
57	14241 23112	4	   	287.02	橙5易伤2等级1伤害	1347a易伤23等级3序列升级5立即金币6核8伤害9雷电
58	14241 23142	5	   	287.02	橙5易伤2等级1伤害	13457易伤23等级3序列升级6核8基地爆炸9伤害a雷电
59	14243 23112	5	   	287.02	橙5易伤2等级1伤害	1347a易伤23等级3序列升级5立即金币6核8伤害9雷电
60	11611 42522	6	   	286.56	橙4易伤3时间2伤害	139a易伤23a时间3a序列升级4策反5挖尘6核7a伤害8全技能
61	14242 22212	10	   	286.36	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9攻速a基地爆炸
62	14242 22213	10	   	286.36	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9攻速a敌人爆炸
63	14242 22214	9	   	286.36	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9攻速a低血量敌人
64	14242 22216	10	   	286.36	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9攻速a最后敌人
65	14242 22242	8	   	286.36	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9金币生成a攻速
66	14242 22211	10	   	286.26	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9攻速a掉矿
67	14242 22211	9	   	286.26	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9攻速a赏金塔
68	14242 22216	9	   	286.26	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9攻速a挖尘
69	14242 22234	10	   	286.26	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9挖尘a攻速
70	14242 22262	8	   	286.26	橙4易伤3等级2伤害	1348易伤238等级38序列升级5平台68伤害7核9掉矿a攻速
71	14245 11211	9	   	286.16	橙4易伤2等级2伤害	1348易伤23等级3序列升级57伤害6挖青9核a雷电
72	14242 22214	10	   	286.12	橙4易伤3等级2伤害1卖塔	1348易伤238等级38序列升级5平台68伤害7核9攻速a卖塔
73	14234 13341	4	   	285.37	橙3易伤2等级2伤害2暴击	139易伤23等级39序列升级49暴击5策反6攻速7核89伤害a低血量敌人
74	14234 13343	4	   	285.37	橙3易伤2等级2伤害2暴击	139易伤23等级39序列升级49暴击5策反6攻速7核89伤害a最后敌人
75	14234 13342	4	   	285.27	橙3易伤2等级2伤害2暴击	139易伤23等级39序列升级49暴击5策反6攻速7核89伤害a赏金邻近
76	14233 11116	5	   	284.79	橙4易伤2等级2时间1暴击	1357易伤23等级3序列升级4暴击6低血量敌人8a时间9核
77	14233 31116	6	   	284.79	橙4易伤2等级2时间1暴击	1356易伤23等级3序列升级4暴击7基地爆炸8a时间9核
78	14233 32116	7	   	284.79	橙4易伤2等级2时间1暴击	1356易伤23等级3序列升级4暴击7敌人爆炸8a时间9核
79	14233 34116	7	   	284.79	橙4易伤2等级2时间1暴击	1356易伤23等级3序列升级4暴击7低血量敌人8a时间9核
80	14233 35116	6	   	284.79	橙4易伤2等级2时间1暴击	1356易伤23等级3序列升级4暴击7最后敌人8a时间9核
81	14233 41116	6	   	284.79	橙4易伤2等级2时间1暴击	1357易伤23等级3序列升级4暴击6敌人爆炸8a时间9核
82	14233 51116	5	   	284.79	橙4易伤2等级2时间1暴击	1357易伤23等级3序列升级4暴击6基地爆炸8a时间9核
83	15122 23541	3	 * 	284.60	橙3易伤2等级2时间3暴击	139易伤239暴击39序列升级4攻速56时间7核89等级a敌人爆炸
84	15122 23542	3	   	284.60	橙3易伤2等级2时间3暴击	139易伤239暴击39序列升级4攻速56时间7核89等级a最后敌人
85	15122 23543	3	   	284.60	橙3易伤2等级2时间3暴击	139易伤239暴击39序列升级4攻速56时间7核89等级a基地爆炸
86	14231 31116	6	   	283.80	橙3易伤2等级2时间1伤害1暴击	137易伤23等级3序列升级4暴击5金币生成6伤害8a时间9核
87	14233 22116	7	   	283.70	橙3易伤2等级2时间1伤害1暴击	135易伤23等级3序列升级4暴击6掉矿7伤害8a时间9核
88	15163 33236	6	 * 	283.27	橙5易伤3暴击3攻速1伤害	13568易伤238暴击38序列升级489攻速7核a伤害
89	14241 11116	5	   	283.20	橙5易伤2等级1时间	13459易伤23等级3序列升级6低血量敌人7核8时间a攻速
90	14241 31116	5	   	283.20	橙5易伤2等级1时间	13459易伤23等级3序列升级6最后敌人7核8时间a攻速
91	14241 23242	5	   	283.20	橙5易伤2等级1时间	13457易伤23等级3序列升级6核8策反9时间a雷电
92	14241 23341	5	   	283.20	橙5易伤2等级1时间	13457易伤23等级3序列升级6核8攻速9时间a最后敌人
93	14241 23343	5	   	283.20	橙5易伤2等级1时间	13457易伤23等级3序列升级6核8攻速9时间a基地爆炸
94	14241 23413	5	   	283.20	橙5易伤2等级1时间	13457易伤23等级3序列升级6核8雷电9最后敌人a时间
95	14241 23423	5	   	283.20	橙5易伤2等级1时间	13457易伤23等级3序列升级6核8雷电9低血量敌人a时间
96	14241 33212	9	   	283.10	橙5易伤2等级1时间	13458易伤23等级3序列升级6掉矿7时间9核a雷电
97	14241 33252	8	   	283.10	橙5易伤2等级1时间	13458易伤23等级3序列升级6掉矿7时间9核a雷电
98	14241 23332	5	   	283.10	橙5易伤2等级1时间	13457易伤23等级3序列升级6核8攻速9掉矿a时间
99	14241 41131	5	   	282.29	橙4易伤2等级2全技能1时间	1345易伤23等级3序列升级6时间7核8a全技能9雷电
