0	Index      	 *	Score 	Summary	Detail	
1	13335 34631	 * 	291.53	DCR|3VULN|2TLV|1LIT|1ASPD|1CDMG	17MSLREG|27TLV|3ASPD|4CDMG|5RPLT|679VULN|7BPWR|8RCR|aLIT
2	11251 31651	 * 	285.70	DCR|2VULN|2TLV|1LIT|2CDMG|1RPLT|1ASPD	19MSLREG|2RPLT|39CDMG|4ASPD|56VULN|79TLV|8RCR|9BPWR|aLIT
3	11251 31631	   	280.88	DCR|3VULN|1TLV|1LIT|1RPLT|1ASPD|1CDMG	1MSLREG|2RPLT|3CDMG|4ASPD|569VULN|7TLV|8RCR|aLIT
4	51251 31631	   	280.88	DCR|3VULN|1TLV|1LIT|1RPLT|1ASPD|1CDMG	1AIRHEL|2RPLT|3CDMG|4ASPD|569VULN|7TLV|8RCR|aLIT
5	13511 32526	 * 	276.76	DCR|2VULN|2LIT|1TLV|2DMG	19MSLREG|2TLV|39DMG|45VULN|6CGEN|7TBNT|89LIT|9BPWR|aRCR
6	13511 12526	   	276.66	DCR|2VULN|2LIT|2DMG|1TLV	19MSLREG|2TLV|39DMG|45VULN|6ERES|7TBNT|89LIT|9BPWR|aRCR
7	13511 21363	   	276.66	DCR|2VULN|2LIT|1TLV|2DMG	1aMSLREG|2TLV|3aDMG|45VULN|6TBNT|7MULHEA|8aLIT|9RCR|aBPWR
8	13512 32526	   	276.66	DCR|2VULN|2LIT|2DMG|1TLV	19MSLREG|2TLV|39DMG|46VULN|5ERES|7TBNT|89LIT|9BPWR|aRCR
9	53511 21363	   	276.66	DCR|2VULN|2LIT|1TLV|2DMG	1aAIRHEL|2TLV|3aDMG|45VULN|6TBNT|7MULHEA|8aLIT|9RCR|aBPWR
10	22623 56311	 * 	275.40	DCR|DCR|2MLV|1TLV|1VULN	1CGEN|24MLV|3VULN|5AEFBLL|68RCR|7ZMB|9TLV|aAART
11	22623 56312	   	275.40	DCR|DCR|2MLV|1TLV|1VULN	1CGEN|24MLV|3VULN|5AEFBLL|68RCR|7ZMB|9TLV|aRPLT
12	13335 34611	   	271.98	DCR|2VULN|2TLV|1LIT|1ASPD|1CDMG|2RPLT	17MSLREG|27TLV|3ASPD|4CDMG|59RPLT|67VULN|7BPWR|8RCR|aLIT
13	13335 34621	 * 	269.48	DCR|2VULN|2TLV|1MLV|1ASPD|1CDMG	17MSLREG|27TLV|3ASPD|4CDMG|5RPLT|67VULN|7BPWR|8RCR|9MLV|aLHND
14	13335 34623	   	269.48	DCR|2VULN|2TLV|1MLV|1ASPD|1CDMG	17MSLREG|27TLV|3ASPD|4CDMG|5RPLT|67VULN|7BPWR|8RCR|9MLV|aZMB
15	13335 34622	   	269.38	DCR|2VULN|2TLV|1MLV|1ASPD|1CDMG	17MSLREG|27TLV|3ASPD|4CDMG|5RPLT|67VULN|7BPWR|8RCR|9MLV|aBASARM
16	13311 34526	 * 	269.31	DCR|2VULN|2LIT|1TLV|2ASPD|1BBNT	19MSLREG|2TLV|39ASPD|45VULN|6CGEN|7BBNT|89LIT|9BPWR|aRCR
17	13311 14526	   	269.21	DCR|2VULN|2LIT|1TLV|2ASPD|1BBNT	19MSLREG|2TLV|39ASPD|45VULN|6ERES|7BBNT|89LIT|9BPWR|aRCR
18	13312 34526	   	269.21	DCR|2VULN|2LIT|1TLV|2ASPD|1BBNT	19MSLREG|2TLV|39ASPD|46VULN|5ERES|7BBNT|89LIT|9BPWR|aRCR
19	14262 32433	 * 	268.30	DCR|DCR|2VULN|2LIT	1aMSLREG|2RCVC|3TBNT|4BEXP|5aLIT|6DLOT|79RCR|8aVULN|aBPWR
20	13335 34632	   	267.74	DCR|3VULN|2TLV|1ASPD|1CDMG	17MSLREG|27TLV|3ASPD|4CDMG|5RPLT|679VULN|7BPWR|8RCR|aAART
21	22623 56313	   	267.10	DCR|DCR|2MLV|1TLV|1VULN	1CGEN|24MLV|3VULN|5AEFBLL|68RCR|7ZMB|9TLV|aBEXP
22	15253 11512	 * 	266.60	DCR|3LIT|2VULN|1TLV|1MLV	1MSLREG|2LEGI|356LIT|45VULN|5BPWR|7LHND|8RCR|9TLV|aMLV
23	15253 14112	   	266.50	DCR|3LIT|2VULN|1TLV|1MLV	1MSLREG|2LEGI|356LIT|45VULN|5BPWR|7RCR|8DUST|9TLV|aMLV
24	13311 32526	   	265.21	DCR|2VULN|2LIT|1TLV|2ASPD	19MSLREG|2TLV|39ASPD|45VULN|6CGEN|7TBNT|89LIT|9BPWR|aRCR
25	53311 32526	   	265.21	DCR|2VULN|2LIT|1TLV|2ASPD	19AIRHEL|2TLV|39ASPD|45VULN|6CGEN|7TBNT|89LIT|9BPWR|aRCR
26	13311 12526	   	265.11	DCR|2VULN|2LIT|1TLV|2ASPD	19MSLREG|2TLV|39ASPD|45VULN|6ERES|7TBNT|89LIT|9BPWR|aRCR
27	13311 21363	   	265.11	DCR|2VULN|2LIT|1TLV|2ASPD	1aMSLREG|2TLV|3aASPD|45VULN|6TBNT|7MULHEA|8aLIT|9RCR|aBPWR
28	13312 32526	   	265.11	DCR|2VULN|2LIT|1TLV|2ASPD	19MSLREG|2TLV|39ASPD|46VULN|5ERES|7TBNT|89LIT|9BPWR|aRCR
29	53311 12526	   	265.11	DCR|2VULN|2LIT|1TLV|2ASPD	19AIRHEL|2TLV|39ASPD|45VULN|6ERES|7TBNT|89LIT|9BPWR|aRCR
30	53311 21363	   	265.11	DCR|2VULN|2LIT|1TLV|2ASPD	1aAIRHEL|2TLV|3aASPD|45VULN|6TBNT|7MULHEA|8aLIT|9RCR|aBPWR
31	53312 32526	   	265.11	DCR|2VULN|2LIT|1TLV|2ASPD	19AIRHEL|2TLV|39ASPD|46VULN|5ERES|7TBNT|89LIT|9BPWR|aRCR
32	15253 11513	   	264.88	DCR|3LIT|2VULN|1TLV|1CDMG	1MSLREG|2LEGI|356LIT|45VULN|5BPWR|7LHND|8RCR|9TLV|aCDMG
33	15253 14113	   	264.78	DCR|3LIT|2VULN|1TLV|1CDMG	1MSLREG|2LEGI|356LIT|45VULN|5BPWR|7RCR|8DUST|9TLV|aCDMG
34	13123 36526	 * 	263.75	DCR|2VULN|2TLV|2LIT|1BBNT	19MSLREG|29TLV|3RCVC|46VULN|5FEWX|7BBNT|89LIT|9BPWR|aRCR
35	22263 56311	   	262.37	DCR|DCR|1TLV|1VULN|1MLV	1CGEN|2MLV|3RCVC|4VULN|5AEFBLL|68RCR|7ZMB|9TLV|aAART
36	22263 56312	   	262.37	DCR|DCR|1TLV|1VULN|1MLV	1CGEN|2MLV|3RCVC|4VULN|5AEFBLL|68RCR|7ZMB|9TLV|aRPLT
37	11251 31652	   	261.91	DCR|2VULN|2TLV|2CDMG|1RPLT|1ASPD	19MSLREG|2RPLT|39CDMG|4ASPD|56VULN|79TLV|8RCR|9BPWR|aAART
