0	Index      	 *	Score 	Summary	Detail	
1	33264 21352	 * 	309.49	DCR|DCR|2TLV|1LIT|1MLV	1ZMB|2DUR|3BEXP|4LIT|5aTLV|6AART|7MLV|89RCR
2	21113 22523	 * 	304.55	DCR|DCR|2TLV|2MLV|1LIT	19LSRREG|2RMIN|3CGEN|49MLV|5LIT|6FEWX|79TLV|8aRCR|9BPWR
3	21113 62523	   	304.45	DCR|DCR|2TLV|2MLV|1LIT	19LSRREG|2RMIN|3CGEN|49MLV|5LIT|6DUST|79TLV|8aRCR|9BPWR
4	21613 22523	   	304.45	DCR|DCR|2TLV|2MLV|1LIT	19LSRREG|2RMIN|3AME|49MLV|5LIT|6FEWX|79TLV|8aRCR|9BPWR
5	21613 62523	   	304.35	DCR|DCR|2TLV|2MLV|1LIT	19LSRREG|2RMIN|3AME|49MLV|5LIT|6DUST|79TLV|8aRCR|9BPWR
6	61633 32313	 * 	291.33	DCR|DCR|2TLV|1LIT|1VULN	1LWND|2VULN|3MDPS|47TLV|5LHND|69RCR|8BELT|aLIT
7	61636 32313	   	291.23	DCR|DCR|2TLV|1LIT|1VULN	1LWND|2VULN|3MDPS|47TLV|5LEGI|69RCR|8BELT|aLIT
8	12536 31633	 * 	288.59	DCR|2VULN|2TLV|1MLV|2RPLT|2CDMG|1ASPD	17CDMG|23RPLT|4MLV|57TLV|67VULN|7BPWR|8LHND|9ASPD|aRCR
9	21616 32523	 * 	287.41	DCR|DCR|2LIT|2MLV|1TLV	19LSRREG|2RMIN|3AME|49MLV|5LWND|6TLV|79LIT|8aRCR|9BPWR
10	13335 25213	 * 	285.17	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1CDMG|28VULN|3BEXP|4aTLV|5MLV|6TBNT|7LIT|9RCR
11	12463 31131	   	283.27	DCR|2VULN|2TLV|1LIT|1RPLT|2DUR|1CDMG	1CDMG|2RPLT|35DUR|45TLV|5BPWR|6RCR|7ZMB|8LIT|9aVULN
12	12463 33131	   	283.27	DCR|2VULN|2TLV|1LIT|1RPLT|2DUR|1CDMG	1CDMG|2RPLT|35DUR|45TLV|5BPWR|6RCR|7CGEN|8LIT|9aVULN
13	12463 34131	   	283.17	DCR|2VULN|2TLV|1LIT|1RPLT|2DUR|1CDMG	1CDMG|2RPLT|35DUR|45TLV|5BPWR|6RCR|7AME|8LIT|9aVULN
14	12463 36131	   	283.17	DCR|2VULN|2TLV|1LIT|1RPLT|2DUR|1CDMG	1CDMG|2RPLT|35DUR|45TLV|5BPWR|6RCR|7ERES|8LIT|9aVULN
15	11312 15441	   	282.07	DCR|DCR|1TLV|1LIT|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4CGEN|5MDPS|6LIT|79RCR|8TLV|aDUR
16	11312 15443	   	280.71	DCR|DCR|1TLV|1LIT|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4CGEN|5MDPS|6LIT|79RCR|8TLV|aAART
