0	Index      	 *	Score 	Summary	Detail	
1	63153 48141	 * 	314.66	DCR|DCR|3VULN|1TLV	1DUR|2TLV|3BBNT|4MBVNT|589VULN|6aRCR|7RPLT
2	33222 21251	 * 	312.93	DCR|DCR|1TLV|1VULN|2ASPD|1DMG|1RPLT	1BBNT|24ASPD|3RPLT|5TLV|6DMG|7VULN|8LHND|9aRCR
3	33222 21651	   	312.93	DCR|DCR|1TLV|1VULN|2ASPD|1DMG|1RPLT	1BBNT|24ASPD|3RPLT|5TLV|6DMG|7VULN|8FEWX|9aRCR
4	33222 21151	   	312.83	DCR|DCR|1TLV|1VULN|2ASPD|1DMG|1RPLT	1BBNT|24ASPD|3RPLT|5TLV|6DMG|7VULN|8DUST|9aRCR
5	33222 21351	   	312.83	DCR|DCR|1TLV|1VULN|2ASPD|1DMG|1RPLT	1BBNT|24ASPD|3RPLT|5TLV|6DMG|7VULN|8LEGI|9aRCR
6	23256 32325	 * 	310.62	DCR|DCR|2TLV|1VULN|1RPLT|1CDMG	1LWND|25TLV|3RPLT|4BBNT|68RCR|7CDMG|9DUR|aVULN
7	23266 32325	   	306.51	DCR|DCR|2TLV|1VULN|1RPLT|1CDMG	1LWND|25TLV|3RPLT|4TBNT|68RCR|7CDMG|9DUR|aVULN
8	33252 21251	 * 	303.07	DCR|DCR|1TLV|1VULN|2RPLT|1DMG|1ASPD	1BBNT|2ASPD|34RPLT|5TLV|6DMG|7VULN|8LHND|9aRCR
9	33252 21651	   	303.07	DCR|DCR|1TLV|1VULN|2RPLT|1DMG|1ASPD	1BBNT|2ASPD|34RPLT|5TLV|6DMG|7VULN|8FEWX|9aRCR
10	33252 21151	   	302.97	DCR|DCR|1TLV|1VULN|2RPLT|1DMG|1ASPD	1BBNT|2ASPD|34RPLT|5TLV|6DMG|7VULN|8DUST|9aRCR
11	33252 21351	   	302.97	DCR|DCR|1TLV|1VULN|2RPLT|1DMG|1ASPD	1BBNT|2ASPD|34RPLT|5TLV|6DMG|7VULN|8LEGI|9aRCR
12	63314 15113	 * 	302.88	DCR|DCR|2TLV|1VULN|3DUR|1DMG	169DUR|28TLV|3DMG|4ERES|5VULN|7aRCR
13	23256 32316	   	300.85	DCR|DCR|2TLV|1VULN|1RPLT|1CDMG	1LWND|25TLV|3RPLT|4BBNT|68RCR|7CDMG|9MBVNT|aVULN
14	63153 47241	   	300.29	DCR|DCR|2VULN|1TLV|2DUR	17DUR|2TLV|3BBNT|4MBVNT|59VULN|6aRCR|8RPLT
15	63153 48111	   	300.29	DCR|DCR|2VULN|1TLV|2DUR	19DUR|2TLV|3BBNT|4MBVNT|58VULN|6aRCR|7RPLT
